1'比赛开始了                   1'有不小的保级压力的权健，第1分钟踢的非常主动
1'上半场申花开球，从画面右侧向左侧进攻                   1'有不小的保级压力的权健，第1分钟踢的非常主动
1'回敲给到栗鹏，后场起球                   1'有不小的保级压力的权健，第1分钟踢的非常主动
1'长传向前，，左侧孙可把球破坏出界外                   1'有不小的保级压力的权健，第1分钟踢的非常主动
2'界外球，给到柏家骏。回敲给到艾迪                   1'有不小的保级压力的权健，第1分钟踢的非常主动
2'短传给到身前莫雷诺，再交给艾迪                   1'有不小的保级压力的权健，第1分钟踢的非常主动
2'长传到前场，，，刘奕鸣把球拦截                   1'有不小的保级压力的权健，第1分钟踢的非常主动
2'回敲给到张鹭，，，大脚送出来                   1'有不小的保级压力的权健，第1分钟踢的非常主动
2'中圈附近的拼抢，，，栗鹏得球                   1'有不小的保级压力的权健，第1分钟踢的非常主动
2'回敲给到李帅，，再长传给到前场右侧                   1'有不小的保级压力的权健，第1分钟踢的非常主动
3'荣昊停球，，没接到出了界外                   1'有不小的保级压力的权健，第1分钟踢的非常主动
3'权健界外球，给出来                   1'有不小的保级压力的权健，第1分钟踢的非常主动
3'双方争顶，，第二点到了帕托脚下                   1'有不小的保级压力的权健，第1分钟踢的非常主动
3'带球推进向前，，中路遭到逼抢                   1'有不小的保级压力的权健，第1分钟踢的非常主动
3'登巴巴拼抢，身后放铲犯规了                   1'有不小的保级压力的权健，第1分钟踢的非常主动
3'踢翻了帕托，，中路权健定位球                   1'有不小的保级压力的权健，第1分钟踢的非常主动
3'帕托亲自主罚，，距离大门32米                   1'有不小的保级压力的权健，第1分钟踢的非常主动
4'稍远。而且角度很正。。。纯正面啊                   1'有不小的保级压力的权健，第1分钟踢的非常主动
4'帕托定位球，，直接射了                   1'有不小的保级压力的权健，第1分钟踢的非常主动
4'绕过人墙，，，高出了横梁                   1'有不小的保级压力的权健，第1分钟踢的非常主动
4'门球，李帅大脚开起                   1'有不小的保级压力的权健，第1分钟踢的非常主动
4'中圈拼抢，，，争顶，，下来                   1'有不小的保级压力的权健，第1分钟踢的非常主动
4'到了帕托脚下，，短传向前，，被拦截                   1'有不小的保级压力的权健，第1分钟踢的非常主动
4'莫雷诺得球，回敲给到艾迪                   1'有不小的保级压力的权健，第1分钟踢的非常主动
5'长传向前，，，刘奕鸣后场把球拦截                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
5'交给身前的赵旭日，，再分左侧                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
5'张修维拿球，，斜传送到前场                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
5'右侧，柏家骏拦截，长传出来                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
5'左侧曹赟定拿球，裁判哨响了，，越位在先                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
6'权健后场定位球                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
6'右侧给到了孙可，斜传                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
6'45度吊入禁区，，质量很高啊                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
6'禁区中路找到帕托                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
6'跟进，，和出击的李帅相撞                   5'第5分钟孙可右路长传入禁区，杨旭在受迫前提下头球没顶正，而李帅出击也把杨旭撞得倒地不起，好在事情不大
