3'王燊超中场拼抢犯规了！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
3'人和中场右侧任意球！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
3'任意球长传小禁区！颜骏凌跃起摘下球！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
3'交给左侧王燊超！横传给中路奥斯卡！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
4'挑传右侧傅欢！回传给贺惯！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
4'转移左侧王燊超！横传中路被解围了！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
5'上港左侧进攻拿到角球！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
5'角球给到前点！埃尔克森得球回传王燊超！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
5'分左路奥斯卡！传中到前点！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
5'蔡慧康头球攻门！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
5'张烈把球拿到！                   3'开场第3分钟艾哈迈多夫左路传中，埃尔克森门前抢点推射时被万厚良抢先踢出
7'上港左侧传中！球被破坏出底线！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
7'奥斯卡角球给中路！被头球解围了！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
7'傅欢得球45度传中！球被张烈没收了！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
7'人和后场长传前场左侧！迪奥普突破禁区！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
8'单刀了！没有打啊！急停再打！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
8'球被颜骏凌没收了！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
8'曹永竞中路推进！分右侧失误了！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
9'吕文君右侧直塞！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
9'饶伟辉破坏出底线！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
9'上港右侧角球！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
9'角球还没给出来！禁区内人仰马翻！                   6'第6分钟人和左路送球，穆坎乔突破越位陷阱杀入禁区，但他最后的射门被颜骏凌飞身扑住
12'奥斯卡原地转身！直接远射！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
12'球打了个冲天炮！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
12'张烈长传中场！争顶后马西卡点给曹永竞！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
12'直塞球被破坏出边线！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
13'饶伟辉左侧直传给迪奥普！转身分球失误了！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
13'吕文君给右侧埃尔克森！ 内切直塞前场右侧！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
13'吕文君传中到后点！武磊凌空推射！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
14'球打中右侧立柱弹出！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
14'武磊右侧得球传中！偏出了底线！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
14'曹永竞左侧突破下底传中！贺惯解围出边线！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
15'边线球给出来！陈杰直接吊禁区！被头球解围了！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
15'王刚右侧得球短传马西卡！被王燊超破坏出边线！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
15'边线球给出来！拼抢后陈杰得球长传前场！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
15'边线球给出来！拼抢后陈杰得球长传前场！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
15'艾哈迈多夫中路推进！分左侧奥斯卡！                   12'第12分钟埃尔克森右路送球，吕文君快速下底传中，武磊在干扰下抢点推射中柱弹出
20'吕文君右侧传中被头球解围了！                   18'第18分钟人和打出质量不错的反击，马西卡后场铲断奥斯卡脚下球后反击，穆坎乔接应长传，后脚跟磕球，饶伟辉怒射稍稍高出
20'蔡慧康得球分右侧傅欢！直传禁区右侧埃尔克森！                   18'第18分钟人和打出质量不错的反击，马西卡后场铲断奥斯卡脚下球后反击，穆坎乔接应长传，后脚跟磕球，饶伟辉怒射稍稍高出
20'回传身后艾哈迈多夫！                   18'第18分钟人和打出质量不错的反击，马西卡后场铲断奥斯卡脚下球后反击，穆坎乔接应长传，后脚跟磕球，饶伟辉怒射稍稍高出
20'艾哈迈多夫直接远射！                   18'第18分钟人和打出质量不错的反击，马西卡后场铲断奥斯卡脚下球后反击，穆坎乔接应长传，后脚跟磕球，饶伟辉怒射稍稍高出
21'球划出一道彩虹！！                   18'第18分钟人和打出质量不错的反击，马西卡后场铲断奥斯卡脚下球后反击，穆坎乔接应长传，后脚跟磕球，饶伟辉怒射稍稍高出
21'GOOOOOOOOOOOAL！                   18'第18分钟人和打出质量不错的反击，马西卡后场铲断奥斯卡脚下球后反击，穆坎乔接应长传，后脚跟磕球，饶伟辉怒射稍稍高出
24'张烈长传前场！争顶后埃尔克森被拉倒犯规！                   24'第24分钟吕文君和武磊配合，吕文君险些从人和防守圈里抹禁区，万厚良解围，皮球踢在刘健手上弹出，顾春含没有判罚
24'贺惯横传给石柯！短传王燊超！                   24'第24分钟吕文君和武磊配合，吕文君险些从人和防守圈里抹禁区，万厚良解围，皮球踢在刘健手上弹出，顾春含没有判罚
25'回传石柯！短传蔡慧康！                   24'第24分钟吕文君和武磊配合，吕文君险些从人和防守圈里抹禁区，万厚良解围，皮球踢在刘健手上弹出，顾春含没有判罚
29'穆坎乔左侧突破传中！                   28'第28分钟人和左路传中，颜骏凌在弹跳惊人的迪奥普头顶上把球拨了一下后再接稳皮球
29'颜骏凌把球摘下！                   28'第28分钟人和左路传中，颜骏凌在弹跳惊人的迪奥普头顶上把球拨了一下后再接稳皮球
31'这段时间节奏慢了下来！                   28'第28分钟人和左路传中，颜骏凌在弹跳惊人的迪奥普头顶上把球拨了一下后再接稳皮球
40'颜骏凌长传中场！                   39'第39分钟陈杰飞铲艾哈迈多夫吃到黄牌
40'埃尔克森拼抢犯规了！                   39'第39分钟陈杰飞铲艾哈迈多夫吃到黄牌
40'艾哈迈多夫后场得球推进！                   39'第39分钟陈杰飞铲艾哈迈多夫吃到黄牌
40'中圈被陈杰铲倒！                   39'第39分钟陈杰飞铲艾哈迈多夫吃到黄牌
41'裁判给陈杰黄牌！                   39'第39分钟陈杰飞铲艾哈迈多夫吃到黄牌
41'艾哈迈多夫受伤倒地！                   39'第39分钟陈杰飞铲艾哈迈多夫吃到黄牌
41'队医进来了！                   39'第39分钟陈杰飞铲艾哈迈多夫吃到黄牌
44'傅欢中场拼抢对王刚犯规了！                   44'第44分钟人和制造险情，饶伟辉在左侧底线附近漂亮抹球连过两人，接着饶伟辉突入禁区后射门，颜骏凌飞身把球扑出
