1'主裁判哨响，上半场开始了                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
1'国安率先开球，从画面右侧向左侧进攻                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
1'主队大连从左向右进攻                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
1'回敲给朴成，横敲右侧奥古斯托                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
1'回敲中卫于洋，左侧给李磊                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
1'带球推进向前，低球斜传到远端                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
2'前场中路找到比埃拉，胸部停球                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
2'摆渡给身后的奥古斯托，连续拼抢，控制下来                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
2'带球推进，遭遇紧逼，被解围掉                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
2'中圈拼抢，张瑀得球，身边给于洋                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
2'连续传递，在转移，前场中路给韦世豪                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
2'被紧逼，直塞向前，，丢了                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
2'中圈，，奥古斯托拿球，分左侧比埃拉                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
2'还是被紧逼，回敲                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
3'身后池忠国拿球，横向转移，右侧给姜涛                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
3'一记直塞，右侧韦世豪前插                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
3'在给到中间比埃拉，身前给韦世豪                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
3'和同伴一个撞墙，再交右侧韦世豪                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
3'右侧推进，遭遇逼抢，被对方断下                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
3'大连想来一个反击，，但是中圈附近没有拦截成功                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
4'国安切下来，在给到右路                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
4'韦世豪右路沉底                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
4'下底传中，，后点冯特解围出边线                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
4'右侧国安界外球                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
4'回敲，中路于洋拿球，稳一下                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
4'身前给池忠国，右侧横敲                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
4'姜涛上来，横向的转移，左侧给奥古斯托                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
4'身前在给李磊，向前过顶长传                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
4'中路王万鹏拦截下来                   1'第1分钟国安反客为主率先展开前压，比埃拉与韦世豪不断拿球表现非常活跃
9'开起来，，送入禁区，，争顶，，王亮的解围                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
9'中圈附近大连拼抢下来                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
9'在传，打在对手身上出界                   9'第9分钟，朱挺为一方赢得前场右侧任意球，卡拉斯科将球传入禁区，丰特头球攻门皮球击中横梁上沿弹出
