5'莫德斯特前场反抢下手                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
5'低球推给中路的帕托                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
5'快步流星，，，往前杀，，被高嘉润放倒了                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
5'高嘉润战术犯规，吃到黄牌                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
5'前场中路定位球                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
5'帕托主罚，，兜一记弧线，，质量不错啊                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
6'球到门前，杜佳侧扑，，单掌托出底线                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
6'权健左侧角球，吊起来                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
6'禁区前点，，米克尔解围出去                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
6'第二点巴斯蒂安斯大脚解围出去                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
6'外围买提江得球，低球向前                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
6'找到赵英杰，拿球倒地了，对手犯规                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'泰达左侧定位球，大脚开出去                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'前场右侧拼抢，，白岳峰断下来                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'低球向前，，前点赵英杰再次被放倒                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'前场右侧定位球                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'赵英杰主罚，，弧线球直接传中                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'前点帕托把球拦下                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'分左侧王永珀，低球向前给孙可                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'带球摆脱，，低球斜传                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'白岳峰挡了一下                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
7'球被解围出来，，泰达后场米克尔得球                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
8'向前送一记直传，中圈左侧阿奇姆彭把球拿到                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
8'连续的转身，晃开，，甩开赵旭日                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
8'带球到前场左路，再分惠家康                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
8'回敲米克尔，身前送一记斜传                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
8'前场右侧拼抢，帕托断下来                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
8'挂挡，加油，往前冲                   5'第5分钟，帕托带球反击被高嘉润凶狠铲倒，高嘉润吃到黄牌
