1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
1'首先开球的是费耶诺德                   1'双方第1分钟均显得小心谨慎
1'曼联今天身穿蓝色上衣白色短裤                   1'双方第1分钟均显得小心谨慎
1'拜利后场拿球横向转移                   1'双方第1分钟均显得小心谨慎
2'费耶诺德中场长传打身后                   1'双方第1分钟均显得小心谨慎
2'范德海登这球传的并不理想                   1'双方第1分钟均显得小心谨慎
4'曼联前场传球失误                   1'双方第1分钟均显得小心谨慎
4'开场这几分钟，曼联还没有进入状态                   1'双方第1分钟均显得小心谨慎
24'给了费耶诺德的范德海登                   24'曼联第24分钟险些破门，拉什福德传球，达米安右路传中，马夏尔禁区边缘内抽射，皮球擦右侧立柱偏出
24'之前有一个战术的拉人犯规                   24'曼联第24分钟险些破门，拉什福德传球，达米安右路传中，马夏尔禁区边缘内抽射，皮球擦右侧立柱偏出
24'达米安右路接球给到禁区中路                   24'曼联第24分钟险些破门，拉什福德传球，达米安右路传中，马夏尔禁区边缘内抽射，皮球擦右侧立柱偏出
24'马夏尔停球后形成无人看防的情况                   24'曼联第24分钟险些破门，拉什福德传球，达米安右路传中，马夏尔禁区边缘内抽射，皮球擦右侧立柱偏出
24'紧跟着一脚推射，居然是打偏了                   24'曼联第24分钟险些破门，拉什福德传球，达米安右路传中，马夏尔禁区边缘内抽射，皮球擦右侧立柱偏出
24'曼联错过了开场后的绝佳机会                   24'曼联第24分钟险些破门，拉什福德传球，达米安右路传中，马夏尔禁区边缘内抽射，皮球擦右侧立柱偏出
63'这次还算比较有威胁                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
63'但在准度上还是差了一些                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
63'曼联换人，拉什福德下，伊布上！                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
63'马夏尔下，德佩上！                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
64'马塔下，阿什利-扬上！                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
64'看看换人后效果会如何                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
64'费耶诺德这边还没有进行调整                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
65'曼联将球给到右路                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
65'充分来利用场上的宽度                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
65'曼联右路起球送禁区                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
65'伊布远端头球点下来                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
65'裁判这边先吹了犯规                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
66'伊布争抢的时候压人犯规                   63'第63分钟，伊布、德佩和阿什利-扬一齐替补出场
79'1-0！！！                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
79'费耶诺德首先取得了进球！！！                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
80'德维列纳！！                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
81'西科格鲁中场拿球送直塞，约根森前插到禁区边缘，低平球横敲到门前，德维列纳后排插上后推射破门！！                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
81'慢镜头来看，费耶诺德这球在约根森前插的一下是先越位了                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
81'罗霍禁区内争抢跟门将撞在了一起                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
82'现在剩下时间不多                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
82'看看曼联能否先扳平比分                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
82'曼联前场拿球给到右路                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
82'阿什利-扬拿球回敲到禁区前沿                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
82'费耶诺德防守球员反应很快将球捅了出去                   79'费耶诺德第79分钟打破僵局，约根森反击中右路低传，维尔赫纳14码处第一时间低射左下角入网
