3'科隆后场拿球控一下                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
3'没有什么机会                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
3'埃尔内尼中场拦截犯规                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
4'科隆中场拿球再次被侵犯                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
4'比赛开始后节奏并不快                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
4'中场长传打身后                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
4'奎拉西这边没有拿到                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
5'吉鲁中场拿球控一下                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
5'威尔希尔拿球给到边路                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
5'阿森纳打得并不着急                   2'开场仅2分钟，威尔希尔传球，奈尔斯禁区左侧小角度射门被扑出
30'阿森纳中场长传转移                   30'阿森纳第30分钟险些破门，吉鲁传球，科奎林突入小禁区左侧边缘的射门打中近角立柱
30'吉鲁左路起球送禁区                   30'阿森纳第30分钟险些破门，吉鲁传球，科奎林突入小禁区左侧边缘的射门打中近角立柱
30'前点的推射击中了立柱！！！                   30'阿森纳第30分钟险些破门，吉鲁传球，科奎林突入小禁区左侧边缘的射门打中近角立柱
33'阿森纳左路进攻                   30'阿森纳第30分钟险些破门，吉鲁传球，科奎林突入小禁区左侧边缘的射门打中近角立柱
33'维尔贝克禁区内打门将球打偏                   30'阿森纳第30分钟险些破门，吉鲁传球，科奎林突入小禁区左侧边缘的射门打中近角立柱
63'奎拉西左路突破被绊倒                   62'科隆第62分钟打破僵局，吉拉西突入禁区左侧在德布希防守下摔倒，裁判判罚点球，吉拉西亲自主罚中路命中
63'裁判果断判罚点球                   62'科隆第62分钟打破僵局，吉拉西突入禁区左侧在德布希防守下摔倒，裁判判罚点球，吉拉西亲自主罚中路命中
63'奎拉西来主罚                   62'科隆第62分钟打破僵局，吉拉西突入禁区左侧在德布希防守下摔倒，裁判判罚点球，吉拉西亲自主罚中路命中
63'奎拉西点球推射中路！！                   62'科隆第62分钟打破僵局，吉拉西突入禁区左侧在德布希防守下摔倒，裁判判罚点球，吉拉西亲自主罚中路命中
63'球进！！                   62'科隆第62分钟打破僵局，吉拉西突入禁区左侧在德布希防守下摔倒，裁判判罚点球，吉拉西亲自主罚中路命中
63'成功骗过了门将                   62'科隆第62分钟打破僵局，吉拉西突入禁区左侧在德布希防守下摔倒，裁判判罚点球，吉拉西亲自主罚中路命中
64'科隆也是取得了领先                   62'科隆第62分钟打破僵局，吉拉西突入禁区左侧在德布希防守下摔倒，裁判判罚点球，吉拉西亲自主罚中路命中
65'伊沃比右路拿球                   62'科隆第62分钟打破僵局，吉拉西突入禁区左侧在德布希防守下摔倒，裁判判罚点球，吉拉西亲自主罚中路命中
65'送直塞被拦截                   62'科隆第62分钟打破僵局，吉拉西突入禁区左侧在德布希防守下摔倒，裁判判罚点球，吉拉西亲自主罚中路命中
46'奈尔斯左路起球                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
46'高度不够啊                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
46'科隆这边反击的机会                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
46'前场3对3                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'左路底线拿球                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'没有传出来                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'科隆这边中场拿球被侵犯                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'任意球给到前场                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'大迫勇也拿球                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'走中路                    46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
49'没有起脚的机会                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
46'下半场比赛开始！！                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
46'下半场比赛由科隆开球                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
46'阿森纳这边进行调整                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
46'维尔贝克下，伊沃比上！                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'双方都是进行了一次调整                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'阿森纳后场拿球                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'科隆这边抢的很凶                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
47'约季奇先犯规了                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
49'阿森纳中场大范围转移                   46'1分钟后，伊沃比传球，威尔希尔25码处抽射仍被扑出
76'下半场比赛打了30分钟，科隆1-0暂时领先阿森纳                   76'阿森纳第76分钟错过机会，威尔希尔长传，反越位成功的吉鲁禁区右肋10码处单刀射门被霍恩出击挡出底线
77'科隆这边有球员受伤                   76'阿森纳第76分钟错过机会，威尔希尔长传，反越位成功的吉鲁禁区右肋10码处单刀射门被霍恩出击挡出底线
77'阿森纳这边先角球                   76'阿森纳第76分钟错过机会，威尔希尔长传，反越位成功的吉鲁禁区右肋10码处单刀射门被霍恩出击挡出底线
78'受伤的是简尼斯-霍恩                   76'阿森纳第76分钟错过机会，威尔希尔长传，反越位成功的吉鲁禁区右肋10码处单刀射门被霍恩出击挡出底线
78'简尼斯-霍恩也是真拼了                   76'阿森纳第76分钟错过机会，威尔希尔长传，反越位成功的吉鲁禁区右肋10码处单刀射门被霍恩出击挡出底线
78'角球送后点                   76'阿森纳第76分钟错过机会，威尔希尔长传，反越位成功的吉鲁禁区右肋10码处单刀射门被霍恩出击挡出底线
78'先被后卫破坏出来                   76'阿森纳第76分钟错过机会，威尔希尔长传，反越位成功的吉鲁禁区右肋10码处单刀射门被霍恩出击挡出底线
46'奈尔斯左路起球                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
46'高度不够啊                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
46'科隆这边反击的机会                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
46'前场3对3                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'左路底线拿球                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'没有传出来                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'科隆这边中场拿球被侵犯                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'任意球给到前场                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'大迫勇也拿球                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'走中路                    46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
49'没有起脚的机会                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
46'下半场比赛开始！！                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
46'下半场比赛由科隆开球                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
46'阿森纳这边进行调整                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
46'维尔贝克下，伊沃比上！                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'双方都是进行了一次调整                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'阿森纳后场拿球                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'科隆这边抢的很凶                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
47'约季奇先犯规了                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
49'阿森纳中场大范围转移                   46'1分钟后，威尔希尔禁区左侧下底传中，恩凯蒂亚近距离错过机会
