2'艾贝尔拿球面对佩佩的防守强突禁区，卡西利亚斯出击将球没收                   2'看西甲买彩票:开场仅2分钟，赫迪拉传球，C-罗纳尔多35码处远射稍稍高出
2'据A BOLA的葡萄牙记者马努埃尔·佩雷拉消息，弗洛伦蒂诺·佩雷斯依然希望穆里尼奥担任主教练：“至少到2016年，穆里尼奥都会是我的主帅。”弗洛伦蒂诺可能在未来几天内公开这个想法，对媒体确认教练将继续执教球队。弗洛伦蒂诺将支持穆里尼奥，他认为葡萄牙人还能为皇马带来很多                   2'看西甲买彩票:开场仅2分钟，赫迪拉传球，C-罗纳尔多35码处远射稍稍高出
3'皇马的前场进攻，C罗禁区外的拔脚怒射，打高了                   2'看西甲买彩票:开场仅2分钟，赫迪拉传球，C-罗纳尔多35码处远射稍稍高出
4'皇马前场进攻，左边路的传中，过于靠近门将                   2'看西甲买彩票:开场仅2分钟，赫迪拉传球，C-罗纳尔多35码处远射稍稍高出
4'埃尔南德斯出击将球没收，本泽马上抢，前者直接开大脚啦                   2'看西甲买彩票:开场仅2分钟，赫迪拉传球，C-罗纳尔多35码处远射稍稍高出
4'红魔逆转是传统:纳乔是谁?（90后的小将，皇马2队的主力）                   2'看西甲买彩票:开场仅2分钟，赫迪拉传球，C-罗纳尔多35码处远射稍稍高出
5'巴拉多利德前场传接球，艾贝尔禁区外的似传似射的吊球，卡西利亚斯出击将球没收                   2'看西甲买彩票:开场仅2分钟，赫迪拉传球，C-罗纳尔多35码处远射稍稍高出
7'奥马尔前场拿球，没机会，将球回传后场重新组织                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
7'巴拉多利德后场过顶长传找前插的巴伦齐亚加                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
7'巴伦齐亚加拿球横传，佩佩将球解围出边线                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
7'巴拉多利德进球啦                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
8'马努乔~~~                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
8'巴拉多利德左侧角球开出到后点，无人防守下的马努乔扫射进网                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
9'皇马中场抢断，阿隆索直塞给到C罗                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
9'C罗拿球面对对方两名球员防守，强突时球丢啦                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
10'巴拉多利德的反击，后场直传球找前场的奥马尔                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
10'可惜球速过快，奥马尔奋力直追，最后还是被纳乔将球控制                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
10'皇马右路的进攻，厄齐尔拿球，面对防守球员的上抢，一扣，摆脱                   7'巴拉多利德第7分钟取得领先，艾伯特开出角球小禁区内滑过，卢比奥远点挡回门前，前曼联射手马努乔近距离铲射破门
19'厄齐尔前场中路拿球，罗夫莱斯的上抢犯规                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
19'皇马获得前场任意球机会，又是C罗的特权啦                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
19'C罗开始量助跑距离，准备直接轰门啦                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
20'C罗任意球轰炸，埃尔南德斯双拳将球击出底线                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
20'C罗的这脚任意球危险还是很大的                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
20'皇马右侧角球机会，不过没有威胁哦                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
20'皇马后场抢断，C罗拿球一路狂奔到了前场                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
21'C罗拿球，进入弧顶斜传右路插上的厄齐尔                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
21'可惜传球力量有点大，厄齐尔追到，球已经先出底线                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
22'今天双方打得节奏都很快，不知不觉已经来到了22分钟                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
22'巴拉多利德左路的进攻赢得角球机会                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
22'又进啦，马努乔梅开二度                   19'第19分钟，卢比奥禁区前对厄齐尔犯规，C-罗纳尔多35码处任意球劲射被达尼勉强扑出
23'艾贝尔角球开到禁区，马努乔力压拉莫斯狮子甩头攻门得手                   23'皇马第23分钟险些扳平比分，拉莫斯传球，达尼出击，卡列洪禁区弧边缘挑射偏出
24'拉莫斯后场长传球到前场，鲁卡维纳解围时自己滑倒啦                   23'皇马第23分钟险些扳平比分，拉莫斯传球，达尼出击，卡列洪禁区弧边缘挑射偏出
24'卡列洪得球，禁区线上的吊门，稍微偏了一点点                   23'皇马第23分钟险些扳平比分，拉莫斯传球，达尼出击，卡列洪禁区弧边缘挑射偏出
25'皇马前场的传接配合，卡列洪背身拿球回做给到赫迪拉                   23'皇马第23分钟险些扳平比分，拉莫斯传球，达尼出击，卡列洪禁区弧边缘挑射偏出
25'赫迪拉跟上，禁区外的抽射打偏                   23'皇马第23分钟险些扳平比分，拉莫斯传球，达尼出击，卡列洪禁区弧边缘挑射偏出
25'目前射门比：皇马6次对上巴拉多利德的2次，可比分却是1-2，巴拉多利德领先                   23'皇马第23分钟险些扳平比分，拉莫斯传球，达尼出击，卡列洪禁区弧边缘挑射偏出
26'巴拉多利德前场的进攻赢得任意球机会                   23'皇马第23分钟险些扳平比分，拉莫斯传球，达尼出击，卡列洪禁区弧边缘挑射偏出
26'艾贝尔的任意球穿透人墙直奔球门左下死角，可惜稍微偏了一点点                   23'皇马第23分钟险些扳平比分，拉莫斯传球，达尼出击，卡列洪禁区弧边缘挑射偏出
26'巴拉多利德前场的进攻赢得任意球机会                   26'第26分钟，阿韦罗亚禁区前对奥马尔犯规，艾伯特任意球低射偏出
26'艾贝尔的任意球穿透人墙直奔球门左下死角，可惜稍微偏了一点点                   26'第26分钟，阿韦罗亚禁区前对奥马尔犯规，艾伯特任意球低射偏出
27'这脚任意球又把皇马众将惊出一身冷汗啊                   26'第26分钟，阿韦罗亚禁区前对奥马尔犯规，艾伯特任意球低射偏出
27'艾贝尔刚刚在前场逼抢拉莫斯时，无对抗状态下自己拉伤了大腿                   26'第26分钟，阿韦罗亚禁区前对奥马尔犯规，艾伯特任意球低射偏出
28'这下估计坚持不了了，巴拉多利德估计要很快换人啦                   26'第26分钟，阿韦罗亚禁区前对奥马尔犯规，艾伯特任意球低射偏出
28'艾贝尔很痛苦的样子，被车直接拉出了场地                   26'第26分钟，阿韦罗亚禁区前对奥马尔犯规，艾伯特任意球低射偏出
28'赫迪拉前场拿球过度给到C罗                   26'第26分钟，阿韦罗亚禁区前对奥马尔犯规，艾伯特任意球低射偏出
29'C罗面对对方的防守球员，闪开角度直接打门，被对方倒地挡出                   26'第26分钟，阿韦罗亚禁区前对奥马尔犯规，艾伯特任意球低射偏出
32'埃尔南德斯的门球开到前场，拉莫斯争顶撞翻了马努乔，犯规                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
32'巴拉多利德前场任意球机会，直接传出了边线                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
32'巴拉多利德前场抢断，鲁卡维纳右边路拿球内切，禁区线上左脚打门，踢偏了                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
33'作为升班马，巴拉多利德今天的表现让人眼前一亮，配合很犀利的                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
33'C罗前场拿球直传给到本泽马                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
33'本泽马禁区内拿球转身，摔倒在禁区里                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
34'裁判并没有表示，本泽马坐在地上继续争抢，埃尔南德斯出来将球没收                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
34'本场主裁判：蒙特罗                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
35'巴拉多利德领先后，阵型有点收缩，皇马压力来啦                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
35'皇马的左路进攻再次赢得角球机会                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
35'厄齐尔角球开出到前点，被巴拉多利德球员解围                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
35'球还在皇马球员脚下，厄齐尔继续传中，拉莫斯的头球，打在后卫身上出底线                   32'第32分钟，布埃诺传球，鲁卡维纳右路禁区边缘低射偏出
40'本泽马前场接应队友传球，被后卫抢先一脚解围出底线                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
40'皇马继续角球，阿隆索主罚                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
40'阿隆索角球开出到后点，本泽马半转身的凌空抽射，埃尔南德斯封住近角，将球没收                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
41'迪马利亚在场边活动了，皇马也要人员调整了？                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
41'双方现在在中场展开了激烈的拼抢                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
41'皇马后场长传球到前场右路找C罗                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
42'可惜球速太快，C罗的百米冲刺速度都没能拿到                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
43'佩佩后场的过顶球找插到前场的阿韦罗亚，可惜被对方球员抢先拦截                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
43'巴拉多利德的快发任意球，后场直接长传球到前场打反击                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
43'可惜太着急了，布雷诺被吹罚了越位在先                   40'第40分钟，本泽马远点12码处接角球抽射被达尼没收
51'鲁卡维纳的后场防守犯规                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
51'皇马前场左路的任意球机会，阿隆索主罚                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
51'阿隆索任意球吊到后点，拉莫斯包抄头球攻门，球擦着立柱出了底线                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
52'为了这个头球，拉莫斯差点扭了脖子，而且要好像也扭了一下                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
53'本泽马禁区左侧拿球，横带至禁区外，拔脚怒射，结果直接送入了埃尔南德斯的怀抱                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
53'目前两队的射门比例：皇马12次对上巴拉多利德4次                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
53'迪马利亚右路拿球进攻，奥马尔背后踢到了迪马利亚的脚上                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
54'奥马尔被裁判出示黄牌警告                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
54'皇马右边路的任意球机会，不过没什么威胁                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
54'下半场开始至今，皇马的进攻完全压着巴拉多利德再打，看看啥时候再进球霸                   51'第51分钟，本泽马左路赢得任意球，阿隆索传中，拉莫斯12码处甩头攻门偏出左侧立柱
