2'莫德里奇拿球，没机会强突，只能将球回传后场重新组织                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
2'拉莫斯前场拿球，分边给到左路跟上的科恩特朗                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
2'科恩特朗拿球回传给到中间的阿隆索                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
3'阿隆索禁区外挑传球到禁区，被西班牙人球员解围                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
3'C罗禁区外得到第二落点，禁区弧内的拔脚怒射，偏出了左侧立柱                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
4'从开场的表现来看，皇马的进攻很积极                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
4'皇马前场进攻，C罗挑传球给到莫德里奇                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
4'莫德里奇胸部停球，直接一脚捅射，球擦着立柱出了底线                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
5'皇马的后卫线一直压到了中圈位置                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
5'阿隆索后场过顶直传找前场的卡列洪，可惜后者越位在先                   2'开场仅2分钟，厄齐尔传球，C-罗纳尔多20码处抽射偏出
8'科恩特朗左路拿球下底，瓦卡索放铲铲倒了科恩特朗                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
8'皇马获得了禁区左侧任意球机会                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
8'位置相当不错，阿隆索和C罗都在球前                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
9'阿隆索任意球开出到禁区，第一点被西班牙人解围                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
9'莫德里奇禁区外得到第二落点，一脚抽射，球打在了后卫身上弹出                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
10'卡列洪右路和西芒的争抢中被后者伸腿绊倒在地，犯规                   8'第8分钟，科恩特朗赢得左路任意球，C-罗纳尔多传射被挡出，厄齐尔的外围抽射又被封堵
