3'卡卡面对逼抢回敲埃辛                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
3'埃辛大范围转移球到左路找伊瓜因                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
3'伊瓜因拿球横带，回敲被断                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
3'萨拉戈萨的反击，阿波诺拿球进入禁区                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
3'阿波诺禁区右侧的横传，波斯蒂加包抄没能打上                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
4'非常好的一次机会，可惜啦                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
4'阿韦罗亚右路的直塞给到莫德里奇                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
4'莫德里奇边路传中，卡列洪包抄，也没能打上                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
4'开局4分钟，双方各有一次机会被浪费                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
5'在刚刚结束的一场比赛中，巴萨客场2-2被塞尔塔逼平                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
6'萨拉戈萨~~~进球啦                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
6'罗德里！！！！                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
6'萨拉戈萨~~~进球啦                   6'萨拉戈萨第6分钟取得领先，摩德里奇中场丢球，阿波尼奥断球直传，反越位成功的罗德里禁区边缘单刀推射破门
6'罗德里！！！！                   6'萨拉戈萨第6分钟取得领先，摩德里奇中场丢球，阿波尼奥断球直传，反越位成功的罗德里禁区边缘单刀推射破门
7'莫德里奇中场失误，蒙塔内斯断球直塞，罗德里拿球反击，禁区线上的右脚抽射，打进球门右下角                   6'萨拉戈萨第6分钟取得领先，摩德里奇中场丢球，阿波尼奥断球直传，反越位成功的罗德里禁区边缘单刀推射破门
8'罗德里进球后也是相当Happy，连续的空翻庆祝                   6'萨拉戈萨第6分钟取得领先，摩德里奇中场丢球，阿波尼奥断球直传，反越位成功的罗德里禁区边缘单刀推射破门
