3'巴拉多利德~中场的转移，被断掉了                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
3'小法交给了左路的比利亚~                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
3'内切之后比利亚一脚搓射~球打偏了                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
4'下个赛季不知道比利亚是否还会留在巴萨呢                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
4'现在场上的这些球员又有多少人会被清洗呢？                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
4'今天诺坎普上座率不高                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
5'提前夺冠让联赛也早早失去了悬念                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
5'小马哥长传~分边！被对方后卫头球顶回了中场                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
6'比拉诺瓦这场比赛之后又将到美国进行癌症的后期治疗                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
6'但是他保证会在对西班牙人的德比之前回到巴萨                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
6'哈维观察队友的跑位                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
6'蒙托亚插上助攻~                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
6'但是哈维的挑球直接出了边线                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
6'很少见到哈维有这样的传球失误                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
15'这个赛季巴萨还有一个任务，那就是续约伊涅斯塔                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
15'皮克长传比利亚~~                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
15'后者胸部停球左脚打门！被后卫先出一脚~角球                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
16'巴萨角球进攻，皮克头球一顶！出了底线                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
16'巴萨的角球进攻长期以来形同虚设                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
16'很少能够看见抢得头球的情况                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
17'佩德罗想跟队友做个撞墙式配合，结果也失误了                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
17'开场这10多分钟，节奏进行得并不快                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
18'场边球迷自娱自乐开始唱起了歌                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
18'布斯克茨~球出去之后被踢倒了                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
18'教授自我保护的能力还是挺强的                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
18'别看他瘦，有肌肉                   15'第15分钟，哈维开出角球，皮克10码处头球攻门偏出
21'另外肯定走人的有多斯桑托斯                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
21'比利亚~越位了吗？                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
21'慢动作很难分辨是是否越位                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
21'裁判吹停了巴萨的这次机会                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
21'巴萨前场4打2                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
21'Gooooooooooooooal~~~                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
22'佩德罗~~~~                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
22'对于他来说是个及时的进球~~~                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
22'哈维一次前场抢断~带了两步，分给右路插上的佩刀~后者倒地铲射！洞穿了门将的小门！                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
22'佩刀这个赛季状态起伏不定                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
