7'C罗背身拿球，阿德里亚诺背后推人犯规                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
7'C罗回中场帮一下忙，回传给后卫                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
8'拉莫斯直传前场交给迪马利亚，迪马利亚变向过人被布斯克茨绊倒                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
8'布斯克茨吃到一张黄牌！                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
8'皇马获得了一次前场右路45角的任意球机会                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
9'迪马利亚起球到后点，拉莫斯争头球时压人犯规                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
9'拉莫斯推倒了阿德里亚诺                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
9'内马尔回接传得比较高，C罗得球                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
9'C罗出球有点犹豫，布斯克茨与队友夹抢将球断下                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
10'提上中场是应该是3号佩佩，今天他留起了短发                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
10'今天暂时还没有看到巴萨在前场令人眼花缭乱的配合                   7'第7分钟，布斯克茨对迪马利亚犯规被罚黄牌
14'贝尔在左路表现比较平淡                   14'第14分钟，拉莫斯对内马尔犯规被罚黄牌
14'争高球时拉莫斯撞倒了内马尔                   14'第14分钟，拉莫斯对内马尔犯规被罚黄牌
14'连续两次对内马尔的侵犯，拉莫斯看来要吃牌了                   14'第14分钟，拉莫斯对内马尔犯规被罚黄牌
14'拉莫斯吃到黄牌！                   14'第14分钟，拉莫斯对内马尔犯规被罚黄牌
15'中场的争夺还是相当激烈，赫迪拉护球，内马尔有犯规动作                   14'第14分钟，拉莫斯对内马尔犯规被罚黄牌
15'莫德里奇中场组织，交给前面的C罗                   14'第14分钟，拉莫斯对内马尔犯规被罚黄牌
16'C罗过掉哈维后直传，贝尔内切顺势远射，球打高了                   14'第14分钟，拉莫斯对内马尔犯规被罚黄牌
16'莫德里奇转移到右路空档，卡瓦哈尔交给迪马利亚                   14'第14分钟，拉莫斯对内马尔犯规被罚黄牌
17'迪马利亚边路传到后点，贝尔头球摆渡向中路，还好这个位置有皮克将球破坏                   14'第14分钟，拉莫斯对内马尔犯规被罚黄牌
18'内马尔在禁区前沿一轮晃动后扣过了赫迪拉再打门力量欠缺，洛佩兹将球没收                   18'第18分钟，阿德里亚诺传球，内马尔晃过卡瓦哈尔后左路禁区边缘外射出反弹球正入迭戈-洛佩斯下怀
19'马斯切拉诺长传前场左路，内马尔头球回顶                   18'第18分钟，阿德里亚诺传球，内马尔晃过卡瓦哈尔后左路禁区边缘外射出反弹球正入迭戈-洛佩斯下怀
19'内马尔进球了！                   18'第18分钟，阿德里亚诺传球，内马尔晃过卡瓦哈尔后左路禁区边缘外射出反弹球正入迭戈-洛佩斯下怀
19'这小子真是为大赛而生！                   18'第18分钟，阿德里亚诺传球，内马尔晃过卡瓦哈尔后左路禁区边缘外射出反弹球正入迭戈-洛佩斯下怀
20'伊涅斯塔带球扑向禁区，突破用左脚外脚背一弹，内马尔得球用极微小的动作推射往远门柱，球碰了卡瓦哈尔脚内落入远角！                   18'第18分钟，阿德里亚诺传球，内马尔晃过卡瓦哈尔后左路禁区边缘外射出反弹球正入迭戈-洛佩斯下怀
21'19分钟开纪录，巴萨还是有优势                   18'第18分钟，阿德里亚诺传球，内马尔晃过卡瓦哈尔后左路禁区边缘外射出反弹球正入迭戈-洛佩斯下怀
