3'西班牙人球员维克托-桑切斯危险动作,对手获得控球权.                   3'第3分钟，拉基蒂奇任意球传入禁区，法齐奥小禁区右上角外头球吊入远角入网
3'拉基蒂奇为塞维利亚在对方半场,赢得一个任意球.                   3'第3分钟，拉基蒂奇任意球传入禁区，法齐奥小禁区右上角外头球吊入远角入网
3'进球啦！！！塞维利亚球员法西奥大禁区中央头球,球从左下角飞进球门,球进了!助攻的是拉基蒂奇. 西班牙人 0-1 塞维利亚.                   3'第3分钟，拉基蒂奇任意球传入禁区，法齐奥小禁区右上角外头球吊入远角入网
5'莫雷诺将球处理出底线,西班牙人获得角球.                   3'第3分钟，拉基蒂奇任意球传入禁区，法齐奥小禁区右上角外头球吊入远角入网
5'西班牙人球员富恩特斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   3'第3分钟，拉基蒂奇任意球传入禁区，法齐奥小禁区右上角外头球吊入远角入网
5'贝托为塞维利亚赢得一个任意球.                   3'第3分钟，拉基蒂奇任意球传入禁区，法齐奥小禁区右上角外头球吊入远角入网
5'西班牙人球员塞尔吉奥-加西亚拼抢犯规,对手获得控球权.                   3'第3分钟，拉基蒂奇任意球传入禁区，法齐奥小禁区右上角外头球吊入远角入网
6'巴卡为塞维利亚在对方半场,赢得一个任意球.                   3'第3分钟，拉基蒂奇任意球传入禁区，法齐奥小禁区右上角外头球吊入远角入网
6'西班牙人球员R-罗德里格斯拼抢犯规,对手获得控球权.                   3'第3分钟，拉基蒂奇任意球传入禁区，法齐奥小禁区右上角外头球吊入远角入网
23'进球啦！！！西班牙人球员塞尔吉奥-加西亚大禁区右侧左脚射门,球从左下角飞进球门,球进了!助攻的是兰萨罗特. 西班牙人 1-2 塞维利亚.                   23'西班牙人第23分钟扳回一城，兰萨罗特传球，塞尔吉奥-加西亚禁区右肋10码处单刀推射破门
25'菲盖拉斯为塞维利亚赢得一个任意球.                   23'西班牙人第23分钟扳回一城，兰萨罗特传球，塞尔吉奥-加西亚禁区右肋10码处单刀推射破门
25'西班牙人球员西芒拼抢犯规,对手获得控球权.                   23'西班牙人第23分钟扳回一城，兰萨罗特传球，塞尔吉奥-加西亚禁区右肋10码处单刀推射破门
25'塞维利亚菲盖拉斯受伤倒地,比赛暂停                   23'西班牙人第23分钟扳回一城，兰萨罗特传球，塞尔吉奥-加西亚禁区右肋10码处单刀推射破门
26'暂停结束,球员们重新开始比赛.                   23'西班牙人第23分钟扳回一城，兰萨罗特传球，塞尔吉奥-加西亚禁区右肋10码处单刀推射破门
85'西班牙人球员维克托-桑切斯因为恶意犯规,被裁判出示了第二张黄牌.                   85'第85分钟，西班牙人中场维克托-桑切斯累计两张黄牌被罚下
87'塞维利亚球员佩罗蒂大禁区左侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是巴卡.                   85'第85分钟，西班牙人中场维克托-桑切斯累计两张黄牌被罚下
88'Jhon Córdoba为西班牙人在对方半场,赢得一个任意球.                   85'第85分钟，西班牙人中场维克托-桑切斯累计两张黄牌被罚下
88'塞维利亚球员伊沃拉拼抢犯规,对手获得控球权.                   85'第85分钟，西班牙人中场维克托-桑切斯累计两张黄牌被罚下
88'黄牌！塞维利亚球员伊沃拉因为恶意犯规,被主裁判出示黄牌.                   85'第85分钟，西班牙人中场维克托-桑切斯累计两张黄牌被罚下
88'西班牙人球员富恩特斯大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是蒂耶维.                   85'第85分钟，西班牙人中场维克托-桑切斯累计两张黄牌被罚下
