4'格拉纳达右侧界外球进场，布拉西米拿球下底传中，伊斯科将球挡出底线                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
4'格拉纳达获得右侧角球机会                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
4'角球开出到禁区，迭戈-洛佩斯出击，双拳将球打出禁区                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
5'耶布达前场争抢时和队友相撞，将球顶出了边线                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
5'皇马中场的直塞，本泽马前插接应                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
6'本泽马拿球进入禁区，一脚怒射，球打在了边网上                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
6'皇马后场抢断，莫德里奇拿球反击                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
6'莫德里奇带球到中线位置，分边右路的阿韦罗亚                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
7'阿韦罗亚拿球没机会，转移球给到拉莫斯                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
7'拉莫斯的过顶长传到右前场找迪马利亚                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
7'迪马利亚拿球横传，本泽马的起脚打门，打偏                   4'开场4分钟，迪马利亚右路送出地滚球，本泽马前点距门9米处推射偏出近门柱
10'迪马利亚右路45度斜传球到后点                   10'皇马第10分钟首开纪录，迪马里亚右路挑传禁区，C罗左侧停球，本泽马中路距门8米处倒地左脚扫射入网，1比0
10'罗伯托后退中伸手将球托出底线                   10'皇马第10分钟首开纪录，迪马里亚右路挑传禁区，C罗左侧停球，本泽马中路距门8米处倒地左脚扫射入网，1比0
10'皇马获得左侧角球机会，可惜没什么威胁                   10'皇马第10分钟首开纪录，迪马里亚右路挑传禁区，C罗左侧停球，本泽马中路距门8米处倒地左脚扫射入网，1比0
11'伊图拉左路拿球，一脚随意的横传                   10'皇马第10分钟首开纪录，迪马里亚右路挑传禁区，C罗左侧停球，本泽马中路距门8米处倒地左脚扫射入网，1比0
11'被后排插上的莫德里奇轻松拦截                   10'皇马第10分钟首开纪录，迪马里亚右路挑传禁区，C罗左侧停球，本泽马中路距门8米处倒地左脚扫射入网，1比0
11'皇马进球啦！！！                   10'皇马第10分钟首开纪录，迪马里亚右路挑传禁区，C罗左侧停球，本泽马中路距门8米处倒地左脚扫射入网，1比0
11'本泽马建功！！！                   10'皇马第10分钟首开纪录，迪马里亚右路挑传禁区，C罗左侧停球，本泽马中路距门8米处倒地左脚扫射入网，1比0
12'来自迪马利亚的传球，C罗停球不好成就了本泽马的进球                   10'皇马第10分钟首开纪录，迪马里亚右路挑传禁区，C罗左侧停球，本泽马中路距门8米处倒地左脚扫射入网，1比0
13'迪马利亚右路拿球摆脱防守，左脚斜传后点，C罗胸部停球，刚好到了本泽马脚下，后者左脚的劲射，轻松打进                   10'皇马第10分钟首开纪录，迪马里亚右路挑传禁区，C罗左侧停球，本泽马中路距门8米处倒地左脚扫射入网，1比0
15'格拉纳达的斜传球，迭戈-洛佩斯跟上扑救，可惜扑到时球也出了底线                   15'第15分钟，迪马利亚后场护球倒地后快开任意球长传过顶，厄齐尔禁区边缘左脚凌空吊射入网，但迪马利亚没有在犯规位置开球，且球处于滚动状态，进球被判无效，安切洛蒂与第四官员交涉
15'送给格拉纳达一个角球机会，贝尼特斯主罚                   15'第15分钟，迪马利亚后场护球倒地后快开任意球长传过顶，厄齐尔禁区边缘左脚凌空吊射入网，但迪马利亚没有在犯规位置开球，且球处于滚动状态，进球被判无效，安切洛蒂与第四官员交涉
