4'皇家社会球员贝拉大禁区中央左脚射门,被防守球员封堵.给他传球的是卡纳莱斯.                   4'开场仅4分钟，贝拉两次禁区内的射门均被皇马后卫封堵
7'皇家社会球员埃卢斯顿多拼抢犯规,对手获得控球权.                   4'开场仅4分钟，贝拉两次禁区内的射门均被皇马后卫封堵
7'摩德里奇为皇家马德里赢得一个任意球.                   4'开场仅4分钟，贝拉两次禁区内的射门均被皇马后卫封堵
16'皇家社会球员格里兹曼大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是卡纳莱斯.                   16'第16分钟，卡纳莱斯传中，格里兹曼头球摆渡，贝拉近距离膝盖攻门被迭戈-洛佩斯神勇扑出
16'皇家社会球员格里兹曼一脚直塞球给贝拉,但是边裁举旗显示后者已经越位.                   16'第16分钟，卡纳莱斯传中，格里兹曼头球摆渡，贝拉近距离膝盖攻门被迭戈-洛佩斯神勇扑出
17'皇家马德里球员佩佩右侧很远处尝试右脚射门,可惜皮球高出球门.给他传球的是伊斯科.                   16'第16分钟，卡纳莱斯传中，格里兹曼头球摆渡，贝拉近距离膝盖攻门被迭戈-洛佩斯神勇扑出
18'皇家社会换人,安索特吉上,乔-安赫尔因伤下场.                   16'第16分钟，卡纳莱斯传中，格里兹曼头球摆渡，贝拉近距离膝盖攻门被迭戈-洛佩斯神勇扑出
19'皇家马德里球员加雷斯-贝尔大禁区右侧右脚射门,被防守球员封堵.给他传球的是伊斯科.                   16'第16分钟，卡纳莱斯传中，格里兹曼头球摆渡，贝拉近距离膝盖攻门被迭戈-洛佩斯神勇扑出
17'皇家马德里球员佩佩右侧很远处尝试右脚射门,可惜皮球高出球门.给他传球的是伊斯科.                   17'第17分钟，伊斯科传球，佩佩远射高出
18'皇家社会换人,安索特吉上,乔-安赫尔因伤下场.                   17'第17分钟，伊斯科传球，佩佩远射高出
19'皇家马德里球员加雷斯-贝尔大禁区右侧右脚射门,被防守球员封堵.给他传球的是伊斯科.                   17'第17分钟，伊斯科传球，佩佩远射高出
22'皇家社会球员格里兹曼大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是贝拉.                   22'第22分钟，贝拉左路传中，格里兹曼12码处抢在拉莫斯之前头球攻门偏出右上角
23'皇家马德里球员摩德里奇一脚直塞球给本泽马,但是边裁举旗显示后者已经越位.                   22'第22分钟，贝拉左路传中，格里兹曼12码处抢在拉莫斯之前头球攻门偏出右上角
