3'射门!!!巴列卡诺球员A-佩雷亚大禁区中央头球,被对方守门员横身扑出.给他传球的是莫西卡.                   3'开场仅3分钟，莫吉卡左路传中，比埃拉头球攻门被巴尔德斯扑出
3'巴列卡诺球员布雷诺大禁区中央左脚射门,被防守球员封堵.                   3'开场仅3分钟，莫吉卡左路传中，比埃拉头球攻门被巴尔德斯扑出
3'巴列卡诺球员蒂托拼抢犯规,对手获得控球权.                   3'开场仅3分钟，莫吉卡左路传中，比埃拉头球攻门被巴尔德斯扑出
3'内马尔为巴塞罗那赢得一个任意球.                   3'开场仅3分钟，莫吉卡左路传中，比埃拉头球攻门被巴尔德斯扑出
4'阿尔维利亚将球处理出底线,巴塞罗那获得角球.                   3'开场仅3分钟，莫吉卡左路传中，比埃拉头球攻门被巴尔德斯扑出
6'蒂托将球处理出底线,巴塞罗那获得角球.                   3'开场仅3分钟，莫吉卡左路传中，比埃拉头球攻门被巴尔德斯扑出
9'巴塞罗那球员内马尔大禁区中央右脚射门,被防守球员封堵.给他传球的是哈维.                   9'第9分钟，哈维禁区右侧传中，无人防守的内马尔10码处推射越过门将鲁本，但却被蒂托在门线前伸腿挡出
9'内马尔为巴塞罗那赢得一个任意球.                   9'第9分钟，哈维禁区右侧传中，无人防守的内马尔10码处推射越过门将鲁本，但却被蒂托在门线前伸腿挡出
9'巴列卡诺球员A-佩雷亚拼抢犯规,对手获得控球权.                   9'第9分钟，哈维禁区右侧传中，无人防守的内马尔10码处推射越过门将鲁本，但却被蒂托在门线前伸腿挡出
20'巴列卡诺球员巴埃纳拼抢犯规,对手获得控球权.                   20'第20分钟，蒙托亚的回传险些自摆乌龙，但皮球幸运擦过右侧立柱偏出
20'哈维为巴塞罗那赢得一个任意球.                   20'第20分钟，蒙托亚的回传险些自摆乌龙，但皮球幸运擦过右侧立柱偏出
21'蒙托亚将球处理出底线,巴列卡诺获得角球.                   20'第20分钟，蒙托亚的回传险些自摆乌龙，但皮球幸运擦过右侧立柱偏出
23'巴列卡诺球员特拉索亚斯拼抢犯规,对手获得控球权.                   20'第20分钟，蒙托亚的回传险些自摆乌龙，但皮球幸运擦过右侧立柱偏出
23'宋为巴塞罗那在对方半场,赢得一个任意球.                   20'第20分钟，蒙托亚的回传险些自摆乌龙，但皮球幸运擦过右侧立柱偏出
23'巴列卡诺球员特拉索亚斯被主裁判出示了一张黄牌.                   20'第20分钟，蒙托亚的回传险些自摆乌龙，但皮球幸运擦过右侧立柱偏出
33'进球啦！！！巴塞罗那球员佩德罗大禁区右侧左脚射门,球从左下角飞进球门,球进了!助攻的是梅西. 巴列卡诺 0-1 巴塞罗那.                   33'巴萨第33分钟取得领先，梅西中路突破吸引防守后送出直传，佩德罗禁区右侧10码处推射远角入网
34'巴塞罗那球员佩德罗大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是梅西.                   33'巴萨第33分钟取得领先，梅西中路突破吸引防守后送出直传，佩德罗禁区右侧10码处推射远角入网
35'射门!!!巴列卡诺球员比埃拉大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是莫西卡.                   33'巴萨第33分钟取得领先，梅西中路突破吸引防守后送出直传，佩德罗禁区右侧10码处推射远角入网
35'巴塞罗那球员阿德里亚诺犯规,致使对方获得点球.                   33'巴萨第33分钟取得领先，梅西中路突破吸引防守后送出直传，佩德罗禁区右侧10码处推射远角入网
35'点球,特拉索亚斯在禁区内被侵犯,巴列卡诺获得点球.                   33'巴萨第33分钟取得领先，梅西中路突破吸引防守后送出直传，佩德罗禁区右侧10码处推射远角入网
36'巴列卡诺球员特拉索亚斯点球被对方守门员扑出.点球罚失.                   33'巴萨第33分钟取得领先，梅西中路突破吸引防守后送出直传，佩德罗禁区右侧10码处推射远角入网
