4'莱万特球员巴巴尝试右脚射门,可惜皮球稍稍高出球门.                   4'第4分钟，迪亚瓦拉远射稍稍高出
5'莱万特球员拼抢犯规,对手获得控球权.                   4'第4分钟，迪亚瓦拉远射稍稍高出
5'阿韦洛亚为皇家马德里赢得一个任意球.                   4'第4分钟，迪亚瓦拉远射稍稍高出
5'伊万施茨为莱万特在右路,赢得一个任意球.                   4'第4分钟，迪亚瓦拉远射稍稍高出
5'皇家马德里球员科恩特朗拼抢犯规,对手获得控球权.                   4'第4分钟，迪亚瓦拉远射稍稍高出
7'莱万特球员佩德罗-洛佩兹拼抢犯规,对手获得控球权.                   4'第4分钟，迪亚瓦拉远射稍稍高出
7'拉莫斯为皇家马德里赢得一个任意球.                   4'第4分钟，迪亚瓦拉远射稍稍高出
12'莱万特球员谢梅特拉大禁区外尝试右脚射门,可惜皮球偏出球门.                   12'第12分钟，许门特拉30码外远射再度高出
14'佩德罗-洛佩兹为莱万特在右路,赢得一个任意球.                   12'第12分钟，许门特拉30码外远射再度高出
14'皇家马德里球员伊斯科拼抢犯规,对手获得控球权.                   12'第12分钟，许门特拉30码外远射再度高出
15'纳瓦罗将球处理出底线,皇家马德里获得角球.                   12'第12分钟，许门特拉30码外远射再度高出
23'皇家马德里球员拉莫斯大禁区中央尝试头球,可惜皮球偏出球门.给他传球的是迪马利亚.                   23'第23分钟，迪马利亚左路传中，拉莫斯前点10码处头球攻门偏出
25'莱万特球员佩德罗-洛佩兹拼抢犯规,对手获得控球权.                   23'第23分钟，迪马利亚左路传中，拉莫斯前点10码处头球攻门偏出
25'伊斯科为皇家马德里在左路,赢得一个任意球.                   23'第23分钟，迪马利亚左路传中，拉莫斯前点10码处头球攻门偏出
26'莱万特球员西芒拼抢犯规,对手获得控球权.                   23'第23分钟，迪马利亚左路传中，拉莫斯前点10码处头球攻门偏出
26'伊斯科为皇家马德里在左路,赢得一个任意球.                   23'第23分钟，迪马利亚左路传中，拉莫斯前点10码处头球攻门偏出
32'射门!!!皇家马德里球员拉莫斯大禁区中央头球,被对方守门员横身扑出.给他传球的是迪马利亚.                   32'第32分钟，迪马利亚开出角球，拉莫斯头球攻门正入纳瓦斯下怀
33'巴巴为莱万特赢得一个任意球.                   32'第32分钟，迪马利亚开出角球，拉莫斯头球攻门正入纳瓦斯下怀
33'皇家马德里球员拉莫斯拼抢犯规,对手获得控球权.                   32'第32分钟，迪马利亚开出角球，拉莫斯头球攻门正入纳瓦斯下怀
34'莱万特球员巴巴大禁区右侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是谢梅特拉.                   32'第32分钟，迪马利亚开出角球，拉莫斯头球攻门正入纳瓦斯下怀
35'皇家马德里球员C罗大禁区中央头球,被防守球员封堵.给他传球的是迪马利亚.                   32'第32分钟，迪马利亚开出角球，拉莫斯头球攻门正入纳瓦斯下怀
35'皇家马德里球员C罗大禁区中央头球,被防守球员封堵.给他传球的是迪马利亚.                   35'第35分钟，迪马利亚传中，C-罗纳尔多头球攻门打在对方手上，但裁判未予判罚
37'佩佩-迪奥普为莱万特在左路,赢得一个任意球.                   35'第35分钟，迪马利亚传中，C-罗纳尔多头球攻门打在对方手上，但裁判未予判罚
37'皇家马德里球员迪马利亚拼抢犯规,对手获得控球权.                   35'第35分钟，迪马利亚传中，C-罗纳尔多头球攻门打在对方手上，但裁判未予判罚
38'莱万特球员加西亚一脚直塞球给谢梅特拉,但是边裁举旗显示后者已经越位.                   35'第35分钟，迪马利亚传中，C-罗纳尔多头球攻门打在对方手上，但裁判未予判罚
43'皇家马德里球员C罗大禁区右侧右脚射门,被防守球员封堵.给他传球的是阿韦洛亚.                   43'第43分钟，阿韦罗亚传中，C-罗纳尔多禁区右侧的射门被封堵挡出，赫迪拉战术犯规被罚黄牌
43'谢梅特拉为莱万特在对方半场,赢得一个任意球.                   43'第43分钟，阿韦罗亚传中，C-罗纳尔多禁区右侧的射门被封堵挡出，赫迪拉战术犯规被罚黄牌
43'皇家马德里球员赫迪拉拼抢犯规,对手获得控球权.                   43'第43分钟，阿韦罗亚传中，C-罗纳尔多禁区右侧的射门被封堵挡出，赫迪拉战术犯规被罚黄牌
43'黄牌！皇家马德里球员赫迪拉因为恶意犯规,被主裁判出示黄牌.                   43'第43分钟，阿韦罗亚传中，C-罗纳尔多禁区右侧的射门被封堵挡出，赫迪拉战术犯规被罚黄牌
44'射门!!!莱万特球员巴巴大禁区外右脚射门,被对方守门员横身扑出.给他传球的是加西亚.                   43'第43分钟，阿韦罗亚传中，C-罗纳尔多禁区右侧的射门被封堵挡出，赫迪拉战术犯规被罚黄牌
44'洛佩兹将球处理出底线,莱万特获得角球.                   43'第43分钟，阿韦罗亚传中，C-罗纳尔多禁区右侧的射门被封堵挡出，赫迪拉战术犯规被罚黄牌
45'莱万特球员佩佩-迪奥普大禁区外左脚射门,被防守球员封堵.                   43'第43分钟，阿韦罗亚传中，C-罗纳尔多禁区右侧的射门被封堵挡出，赫迪拉战术犯规被罚黄牌
45'赫迪拉将球处理出底线,莱万特获得角球.                   43'第43分钟，阿韦罗亚传中，C-罗纳尔多禁区右侧的射门被封堵挡出，赫迪拉战术犯规被罚黄牌
45'+1'上半场结束,莱万特 0-0 皇家马德里,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，阿韦罗亚传中，C-罗纳尔多禁区右侧的射门被封堵挡出，赫迪拉战术犯规被罚黄牌
47'射门!!!莱万特球员佩佩-迪奥普大禁区外右脚射门,被对方守门员横身扑出.给他传球的是胡安弗兰.                   47'第47分钟，胡安弗兰传球，迪奥普禁区边缘外劲射被迭戈-洛佩斯托出横梁
