2'皇马后场抢断，马塞洛大脚踢到前场                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
2'席尔瓦将球控制，面对本泽马的逼抢，转身回传马丁内斯                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
3'门德斯右路拿球，斜传球到禁区                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
3'索里亚诺前插到禁区，停球起脚打门，被佩佩挡出                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
3'球到了后点的赫梅德脚下，再打，被瓦拉内挡出底线                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
4'阿尔梅里亚获得左侧角球机会                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
4'角球开出到禁区，卡西出击双拳打出                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
4'C罗中场背身拿球，回敲马塞洛后被踢翻在地                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
5'马塞洛拿球进攻，有利原则，裁判没表示                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
5'马塞洛中路拿球强突，直塞打身后，本泽马前插接应，越位在先                   2'第2分钟，索里亚诺和杜巴比尔在禁区内的射门先后被封堵挡出
34'进球啦！！！                   34'皇马第34分钟取得领先，本泽马右路传中，伊斯科晃过马塞多后禁区左侧16码处弧线球射入远角
34'伊斯科的圆月弯刀，打进，漂亮啊！！！                   34'皇马第34分钟取得领先，本泽马右路传中，伊斯科晃过马塞多后禁区左侧16码处弧线球射入远角
35'本泽马右路拿球，内切后挑传球到后点，伊斯科胸部停球，面对米歇尔，虚晃一枪，横趟一步，右脚弧线球，越过马丁内斯，钻进网窝                   34'皇马第34分钟取得领先，本泽马右路传中，伊斯科晃过马塞多后禁区左侧16码处弧线球射入远角
36'阿尔梅里亚右路的进攻，米歇尔拿球想用速度吃马塞洛                   34'皇马第34分钟取得领先，本泽马右路传中，伊斯科晃过马塞多后禁区左侧16码处弧线球射入远角
36'马塞洛一个上步，直接将球断掉啦                   34'皇马第34分钟取得领先，本泽马右路传中，伊斯科晃过马塞多后禁区左侧16码处弧线球射入远角
37'维勒兹左路拿球，面对卡瓦哈尔的上抢，直塞                   34'皇马第34分钟取得领先，本泽马右路传中，伊斯科晃过马塞多后禁区左侧16码处弧线球射入远角
37'维勒兹出球后被卡瓦哈尔撞翻在地                   34'皇马第34分钟取得领先，本泽马右路传中，伊斯科晃过马塞多后禁区左侧16码处弧线球射入远角
