6'一脚斜长传想找佩德罗，球给出了界外                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
6'苏亚雷斯~~~                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
6'Gooooooooooooooooooal~~~~                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
6'第一脚射门就进球啦~                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
7'源自巴萨的前场断球，哈维转身直塞~苏牙没有越位，还有一名后卫拖在身后，面对门将外脚背一弹将球打入网窝                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
7'又来了~~~                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
7'佩刀面对门将~~~                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
7'可惜越位了                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
8'慢动作来看梅西传球的一瞬间，佩德罗稍稍越位了一个身位                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
8'巴列卡诺反击机会~直传莱奥                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
8'阿尔巴卡住了位置，将球碰出底线                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
8'巴列卡诺的角球传中被顶出                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
8'卡库塔~~小角度直接射门，打高了                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
8'叶秋_ZJU 柠檬在打goal的时候，中间的ooo有数过吗…---真没数过~~~                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
9'苏牙又有机会~~~                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
9'过掉了门将~~~                   6'巴萨第6分钟取得领先，哈维直传，苏亚雷斯禁区左侧10码处捅射近角入网
12'苏牙转身抹过了阿普杜拉耶~~                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
12'面对出击的门将倒地了                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
13'裁判就在身边，没有给点球                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
13'慢动作来看看                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
13'阿普杜拉耶在身后绊倒了苏牙                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
13'绝对应该是个点球                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
13'裁判的这次吹罚实在是让人不理解啊                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
13'ghosthhhhhh 内马尔不首发了！?---累计黄牌停赛                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
13'巴萨今天打得真开放                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
14'虽然中场的控制力明显不比以前                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
14'但是反击打得越来越犀利                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
14'阿尔巴~~禁区左侧下底！！！                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
14'低平球横传门前，苏神左脚射门居然打疵了                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
14'阿尔维斯在后点，打门被后卫封堵                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
15'巴列卡诺制造了一个前场定位球                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
15'距离球门有些远                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
15'定位球传中，马斯切拉诺抢到了头球~                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
15'反击来了~~                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
15'佩德罗带到了禁区~                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
15'转身看了下队友                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
15'唉，后卫退防真快                   12'第12分钟，苏亚雷斯突入禁区左侧在阿卜杜拉耶-巴防守下摔倒，裁判未予判罚点球引发巴萨球员不满
21'巴列卡诺右边路45度斜吊~~                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
21'皮克跟布拉沃抢在一起，还好布拉沃抱得够稳                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
21'佩德罗~~~                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
21'今天状态确实很差啊                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
22'接到了哈维的挑传~~                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
22'突到禁区之后跌跌撞撞的，左脚勉强的射门被没收                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
22'感觉佩德罗的身体状态很差                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
22'是因为太久没有打过完整的比赛了吗                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
23'春风吹阳光晒 怎么没有提到过梅西---梅西没怎么拿球                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
23'阿尔维斯起高球传中，被后卫头球解围                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
23'伊涅斯塔弧顶处起脚远射，还是被封堵                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
24'控球率方面巴萨只占到了55%                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
24'这还是主场                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
24'真是罕见的情况                   21'巴萨第21分钟再次获得单刀机会，哈维斜传，但佩德罗强突禁区左肋的射门被阿尔瓦雷斯出击没收
49'皮克~~~                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
49'Gooooooooooooooooooal~~~                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
50'哈维的角球落点极佳，阿尔巴抢点头球！顶在了立柱上弹回~~~皮克门前捡漏将球打入                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
51'皮克进球之后信心爆棚                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
51'后场还敢带~对方两名球员围抢                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
51'巴列卡诺控制住皮球                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
51'卡库塔带球被伊涅斯塔绊了一下                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
51'巴列卡诺的前场定位球                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
52'卡库塔传中~门前头球横摆                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
52'禁区内有些乱~~                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
52'马斯切拉诺跟对方球员撞在一起                   49'巴萨第49分钟扩大比分，哈维战术角球传中，阿尔巴14码处头球攻门打中左侧立柱弹回，皮克近距离面对4人防守劲射破门，2-0
54'苏亚雷斯接应皮克的中场长传~                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
54'又一次被吹了越位                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
54'伊涅斯塔好机会~~~                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
54'接到了哈维的分球，伊涅斯塔禁区内左脚抽射~~~                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
54'门将倒地将球扑出                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
54'巴萨的角球                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
55'战术角球                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
55'点球~~                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
55'裁判终于给了点球                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
55'蒂托还因为领到第二张黄牌，被罚下了                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
55'他拉倒了苏亚雷斯                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
56'慢动作来看阿尔巴传球的时候，蒂托双手抱住苏亚雷斯不放，还拽倒了对方                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
56'梅西来主罚                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
56'又被扑了~~                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
56'不过裁判要吹重新罚                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
56'裁判还对抗议的巴列卡诺球员出示了黄牌                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
56'什么情况                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
56'应该是有巴列卡诺的球员提前进入了禁区                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
57'重罚简直就是煎熬啊                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
57'看梅西怎么处理~                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
57'Gooooooooooooooooooal~~~                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
57'梅西换了一个方向，大力低射将球送入球门右下角                   54'巴萨第54分钟锁定胜局，蒂托禁区内拉倒苏亚雷斯累计两张黄牌被罚下，梅西首先主罚点球被阿尔瓦雷斯没收，但裁判判罚点球重罚，梅西再射右下角命中，3-0
63'卡库塔~内切之后横敲想找队友                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
63'结果传给了哈维                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
63'对了，之前拉基蒂奇换下了马斯切拉诺                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
63'阿尔巴速度硬吃阿普杜拉耶，传中被后卫顶到~                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
63'梅西~~~                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
63'Goooooooooooooooooal~~~                   63'第63分钟，苏亚雷斯10码处转身射门被阿尔瓦雷斯勉强扑出，梅西近距离补射入网，4-0
