22'进球啦！！！巴列卡诺球员Gaël Kakuta大禁区中央头球,球从右下角飞进球门,球进了!助攻的是蒂托. 比利亚雷亚尔 0-1 巴列卡诺.                   22'第22分钟，蒂托右路传中，从切尔西租借而来的卡库塔小禁区前头球破门
23'Adrián Marín为比利亚雷亚尔赢得一个任意球.                   22'第22分钟，蒂托右路传中，从切尔西租借而来的卡库塔小禁区前头球破门
23'巴列卡诺球员巴普蒂斯塔奥拼抢犯规,对手获得控球权.                   22'第22分钟，蒂托右路传中，从切尔西租借而来的卡库塔小禁区前头球破门
24'比利亚雷亚尔球员乌切小禁区左侧尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是切里舍夫.                   22'第22分钟，蒂托右路传中，从切尔西租借而来的卡库塔小禁区前头球破门
25'穆萨基奥为比利亚雷亚尔在对方半场,赢得一个任意球.                   22'第22分钟，蒂托右路传中，从切尔西租借而来的卡库塔小禁区前头球破门
25'巴列卡诺球员拼抢犯规,对手获得控球权.                   22'第22分钟，蒂托右路传中，从切尔西租借而来的卡库塔小禁区前头球破门
49'巴列卡诺球员泽-卡斯特罗一脚直塞球给Gaël Kakuta,但是边裁举旗显示后者已经越位.                   49'黄色潜水艇连入4球逆转，第33分钟，乌切直传，皇马外租边锋切里舍夫禁区左肋8码处铲射被阿尔瓦雷斯勉强扑出，埃斯皮诺萨补射空门入网
49'乌切为比利亚雷亚尔在对方半场,赢得一个任意球.                   49'黄色潜水艇连入4球逆转，第33分钟，乌切直传，皇马外租边锋切里舍夫禁区左肋8码处铲射被阿尔瓦雷斯勉强扑出，埃斯皮诺萨补射空门入网
49'巴列卡诺球员泽-卡斯特罗拼抢犯规,对手获得控球权.                   49'黄色潜水艇连入4球逆转，第33分钟，乌切直传，皇马外租边锋切里舍夫禁区左肋8码处铲射被阿尔瓦雷斯勉强扑出，埃斯皮诺萨补射空门入网
51'巴埃纳将球处理出底线,比利亚雷亚尔获得角球.                   49'黄色潜水艇连入4球逆转，第33分钟，乌切直传，皇马外租边锋切里舍夫禁区左肋8码处铲射被阿尔瓦雷斯勉强扑出，埃斯皮诺萨补射空门入网
51'比利亚雷亚尔球员鲁卡维纳拼抢犯规,对手获得控球权.                   49'黄色潜水艇连入4球逆转，第33分钟，乌切直传，皇马外租边锋切里舍夫禁区左肋8码处铲射被阿尔瓦雷斯勉强扑出，埃斯皮诺萨补射空门入网
51'布雷诺为巴列卡诺赢得一个任意球.                   49'黄色潜水艇连入4球逆转，第33分钟，乌切直传，皇马外租边锋切里舍夫禁区左肋8码处铲射被阿尔瓦雷斯勉强扑出，埃斯皮诺萨补射空门入网
74'巴列卡诺换人,马努乔换下布雷诺                   74'第74分钟，切里舍夫禁区左侧传中，维耶托10码处左脚扫射入网
74'进球啦！！！比利亚雷亚尔球员Luciano Vietto大禁区中央左脚射门,球从右上角飞进球门,球进了!助攻的是切里舍夫. 比利亚雷亚尔 3-2 巴列卡诺.                   74'第74分钟，切里舍夫禁区左侧传中，维耶托10码处左脚扫射入网
76'鲁卡维纳为比利亚雷亚尔在右路,赢得一个任意球.                   74'第74分钟，切里舍夫禁区左侧传中，维耶托10码处左脚扫射入网
76'巴列卡诺球员因苏亚拼抢犯规,对手获得控球权.                   74'第74分钟，切里舍夫禁区左侧传中，维耶托10码处左脚扫射入网
77'黄牌！巴列卡诺球员因苏亚因为恶意犯规,被主裁判出示黄牌.                   74'第74分钟，切里舍夫禁区左侧传中，维耶托10码处左脚扫射入网
