7'凯塞多身后再抢，拉倒了拉莫斯，犯规                   7'皇马第7分钟取得领先
7'皇马进球啦！！！                   7'皇马第7分钟取得领先
7'C罗，终于进球啦！！！                   7'皇马第7分钟取得领先
8'莫德里奇后场过顶长传打身后，C罗反越位成功，单刀赴会，面对保罗，右脚推射远角打进！！！                   7'皇马第7分钟取得领先
9'开场7分钟，皇马客场取得领先                   7'皇马第7分钟取得领先
9'马塞洛左路拿球，面对逼抢，回传拉莫斯                   7'皇马第7分钟取得领先
10'莫德里奇中场拿球，斜塞给到卡塞米罗                   7'皇马第7分钟取得领先
10'卡塞米罗背身拿球，面对逼抢，回传后场                   7'皇马第7分钟取得领先
17'C罗站在球前，准备主罚                   17'皇马第17分钟扩大比分，贝尔禁区左侧拿球被阿尔瓦罗放倒，点球
17'C罗，一蹴而就！！！                   17'皇马第17分钟扩大比分，贝尔禁区左侧拿球被阿尔瓦罗放倒，点球
18'C罗助跑，右脚推射球门右下角，保罗判断对了方向，但球速太快，鞭长莫及啊                   17'皇马第17分钟扩大比分，贝尔禁区左侧拿球被阿尔瓦罗放倒，点球
18'西班牙人右路的进攻，直塞球找桑切斯                   17'皇马第17分钟扩大比分，贝尔禁区左侧拿球被阿尔瓦罗放倒，点球
19'佩佩补防，在桑切斯拿球之前，先用身体将对方撞飞出界                   17'皇马第17分钟扩大比分，贝尔禁区左侧拿球被阿尔瓦罗放倒，点球
19'马塞洛前场拿球，强突后分边左侧给贝尔                   17'皇马第17分钟扩大比分，贝尔禁区左侧拿球被阿尔瓦罗放倒，点球
20'贝尔边路传中到后点，齐亚尼抢在拉弓射箭的伊斯科之前头球解围                   17'皇马第17分钟扩大比分，贝尔禁区左侧拿球被阿尔瓦罗放倒，点球
20'皇马再进一个！！！                   17'皇马第17分钟扩大比分，贝尔禁区左侧拿球被阿尔瓦罗放倒，点球
20'C罗帽子戏法！！！                   17'皇马第17分钟扩大比分，贝尔禁区左侧拿球被阿尔瓦罗放倒，点球
48'皇马前场进攻，莫德里奇的长传球到禁区左侧                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
48'本泽马胸部停球，再传后点，卡瓦哈尔跟进抽射，打偏                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
49'C罗的前插抢点，又差一点啊                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
50'精彩回放：贝尔左路拿球，斜传球到门前，保罗出击，抢在C罗之前将球收入怀中                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
50'伊斯科的前场进攻，横切后远射，被杜阿尔特挡出底线                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
50'皇马获得角球机会，莫德里奇主罚                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
50'战术角球开出，莫德里奇横推禁区外                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
50'卡塞米罗的远射，打在防守球员身上弹出底线                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
51'皇马再次获得角球，这次并未形成威胁                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
51'马塞洛左路拿球，强突被杰拉德绊倒在地                   48'仅过3分钟，贝尔左路传中，C罗在门前5米处左脚凌空垫射入网，3比0，今年他在西班牙人主场2次上演帽子戏法，将自己保持的西甲帽子戏法纪录增加到28个，比其他球员至少多出4个，也保持西甲客场帽子戏法纪录(10个)
20'贝尔边路传中到后点，齐亚尼抢在拉弓射箭的伊斯科之前头球解围                   20'C罗开场20分钟就完成帽子戏法，在西甲历史上并列第5早的帽子戏法，西甲纪录是15分钟(1929年贝斯蒂特和1941年穆恩多)，在皇马历史上，这是1960年佩皮略(19分钟)以来最早帽子戏法
20'皇马再进一个！！！                   20'C罗开场20分钟就完成帽子戏法，在西甲历史上并列第5早的帽子戏法，西甲纪录是15分钟(1929年贝斯蒂特和1941年穆恩多)，在皇马历史上，这是1960年佩皮略(19分钟)以来最早帽子戏法
20'C罗帽子戏法！！！                   20'C罗开场20分钟就完成帽子戏法，在西甲历史上并列第5早的帽子戏法，西甲纪录是15分钟(1929年贝斯蒂特和1941年穆恩多)，在皇马历史上，这是1960年佩皮略(19分钟)以来最早帽子戏法
21'贝尔左路拿球，起球到门前，C罗抢在杜阿尔特之前，扫射打进球门！！！                   20'C罗开场20分钟就完成帽子戏法，在西甲历史上并列第5早的帽子戏法，西甲纪录是15分钟(1929年贝斯蒂特和1941年穆恩多)，在皇马历史上，这是1960年佩皮略(19分钟)以来最早帽子戏法
21'上半场20分钟，比分已经3-0了，这效率！！！                   20'C罗开场20分钟就完成帽子戏法，在西甲历史上并列第5早的帽子戏法，西甲纪录是15分钟(1929年贝斯蒂特和1941年穆恩多)，在皇马历史上，这是1960年佩皮略(19分钟)以来最早帽子戏法
21'西班牙人左路进攻，不过传球力量有点大                   20'C罗开场20分钟就完成帽子戏法，在西甲历史上并列第5早的帽子戏法，西甲纪录是15分钟(1929年贝斯蒂特和1941年穆恩多)，在皇马历史上，这是1960年佩皮略(19分钟)以来最早帽子戏法
21'卡瓦哈尔回防将球控制，身后的杰拉德再抢，拉人犯规                   20'C罗开场20分钟就完成帽子戏法，在西甲历史上并列第5早的帽子戏法，西甲纪录是15分钟(1929年贝斯蒂特和1941年穆恩多)，在皇马历史上，这是1960年佩皮略(19分钟)以来最早帽子戏法
23'塞维利亚中场拿球，卡塞米罗回防，铲翻了塞维利亚，犯规                   20'C罗开场20分钟就完成帽子戏法，在西甲历史上并列第5早的帽子戏法，西甲纪录是15分钟(1929年贝斯蒂特和1941年穆恩多)，在皇马历史上，这是1960年佩皮略(19分钟)以来最早帽子戏法
23'流魂街78号 2015-09-12 22:20:02 西甲没直播了吗？（西甲也是独家版权了。。。）                   20'C罗开场20分钟就完成帽子戏法，在西甲历史上并列第5早的帽子戏法，西甲纪录是15分钟(1929年贝斯蒂特和1941年穆恩多)，在皇马历史上，这是1960年佩皮略(19分钟)以来最早帽子戏法
28'好在左路的马塞洛跑到右路补防，将球破坏掉                   28'第28分钟，贝尔中路塞球，C罗禁区左侧传中，本泽马后点距门3米处半凌空推进空门，4比0
