3'可惜传大了，滑门而过，C罗到边路，奋力将球拿到                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
3'C罗左路内切，斜传到禁区，被塞维利亚球员解围                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
3'埃斯奎罗中场拿球，面对逼抢，回传科雷霍维亚克                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
4'横梁！！                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
4'特雷莫利纳斯左路拿球，强突后的左脚传中，直接击中横梁弹回，马塞洛头球解围出底线                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
5'塞维利亚获得右侧角球机会                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
5'角球开出到禁区，科洛杰伊恰克头球，被挡出底线                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
5'塞维利亚继续角球，没能形成威胁                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
5'皇马中场再次失误，特雷莫利纳斯左路拿球，直塞找加梅罗                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
6'达尼洛补防，抢在加梅罗之前，将球解围出边线                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
6'皇马进球啦！！                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
6'本泽马的抽射！！                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
6'本泽马本赛季个人第20球！！                   3'开场仅3分钟，特雷莫利纳斯左路传中打中横梁弹回
17'这一挡也晃倒了防守的塞维利亚球员，贝尔跟进拿球，再射，被里科一挡击中立柱弹出底线！！                   17'第17分钟出现明显误判，C-罗纳尔多角球混战中头球摆渡，贝尔近距离破门，但裁判误判越位判罚进球无效，回放显示科沃杰伊恰克明显拖后
17'皇马获得左侧角球机会！！                   17'第17分钟出现明显误判，C-罗纳尔多角球混战中头球摆渡，贝尔近距离破门，但裁判误判越位判罚进球无效，回放显示科沃杰伊恰克明显拖后
18'角球开出到禁区，C罗头球摆渡，贝尔跟进捅射打进，可惜被吹越位在先！！                   17'第17分钟出现明显误判，C-罗纳尔多角球混战中头球摆渡，贝尔近距离破门，但裁判误判越位判罚进球无效，回放显示科沃杰伊恰克明显拖后
20'不过慢镜头回放显示，这个是好球啊                   17'第17分钟出现明显误判，C-罗纳尔多角球混战中头球摆渡，贝尔近距离破门，但裁判误判越位判罚进球无效，回放显示科沃杰伊恰克明显拖后
20'塞维利亚的科洛杰伊恰克拖后啦                   17'第17分钟出现明显误判，C-罗纳尔多角球混战中头球摆渡，贝尔近距离破门，但裁判误判越位判罚进球无效，回放显示科沃杰伊恰克明显拖后
20'皇马前场再攻，C罗左路拿球，内切后的打门，差一点啊                   17'第17分钟出现明显误判，C-罗纳尔多角球混战中头球摆渡，贝尔近距离破门，但裁判误判越位判罚进球无效，回放显示科沃杰伊恰克明显拖后
27'任意球斜传禁区，瓦拉内和拉米抢点，双双摔倒在禁区                   27'塞维利亚第27分钟错过机会，瓦拉内任意球混战中防守时拉倒拉米，加梅罗主罚点球被纳瓦斯扑出
27'裁判鸣哨，给了塞维利亚点球！！                   27'塞维利亚第27分钟错过机会，瓦拉内任意球混战中防守时拉倒拉米，加梅罗主罚点球被纳瓦斯扑出
27'同时给了瓦拉内一张黄牌！！                   27'塞维利亚第27分钟错过机会，瓦拉内任意球混战中防守时拉倒拉米，加梅罗主罚点球被纳瓦斯扑出
27'皇马球迷很不满，嘘声四起！！                   27'塞维利亚第27分钟错过机会，瓦拉内任意球混战中防守时拉倒拉米，加梅罗主罚点球被纳瓦斯扑出
30'加梅罗主罚，被扑出！！                   27'塞维利亚第27分钟错过机会，瓦拉内任意球混战中防守时拉倒拉米，加梅罗主罚点球被纳瓦斯扑出
30'纳瓦斯这次完全判断对了方向，一个侧扑将球化解！！                   27'塞维利亚第27分钟错过机会，瓦拉内任意球混战中防守时拉倒拉米，加梅罗主罚点球被纳瓦斯扑出
30'塞维利亚获得左侧角球机会，埃斯奎罗主罚                   27'塞维利亚第27分钟错过机会，瓦拉内任意球混战中防守时拉倒拉米，加梅罗主罚点球被纳瓦斯扑出
58'雷耶斯被主裁判出示黄牌警告！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
58'C罗主罚，直接踢飞啦！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
58'这是C罗本赛季罚丢的第三个点球！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
59'这球C罗太想追求角度，右脚抽射，发力太狠啦！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
60'皇马前场进攻，克罗斯禁区弧顶的抽射，打飞！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
60'裁判认为球碰到了塞维利亚球员，给了皇马角球！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
60'横梁！！                   58'第58分钟，摩德里奇突入禁区左侧在雷耶斯防守下摔倒，但C-罗纳尔多主罚点球擦横梁高出
