1'上半场比赛开始！！                   1'皇马第1分钟展开积极攻势
1'白衣白裤的皇马开球，从画面的左侧向右进攻！！                   1'皇马第1分钟展开积极攻势
1'马塞洛左路拿球，面对逼抢，回传纳瓦斯                   1'皇马第1分钟展开积极攻势
2'开场潜水艇就凶狠前压，目的很明显啊，抢开局！                   1'皇马第1分钟展开积极攻势
2'莫德里奇中场的斜传球找巴斯克斯，被后卫拦截！                   1'皇马第1分钟展开积极攻势
3'布鲁诺前场右路拿球，斜塞送禁区！！                   1'皇马第1分钟展开积极攻势
3'拉莫斯回防，将球拦截，给到克罗斯！                   1'皇马第1分钟展开积极攻势
4'亚德里安中圈背身拿球，转身分球右路给特里格罗斯                   1'皇马第1分钟展开积极攻势
4'特里格罗斯的斜传球到禁区，被纳瓦斯出击拿到！                   1'皇马第1分钟展开积极攻势
4'马塞洛左路拿球，强突没机会，回传克罗斯！                   1'皇马第1分钟展开积极攻势
4'克罗斯大范围转移球到右路给巴斯克斯                   1'皇马第1分钟展开积极攻势
41'本泽马进球，1-0！！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
42'马塞洛左路拿球，直塞给到C罗，C罗强突下底，传中被阿森霍扑出，本泽马跟进，头球补射打进！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
42'多斯桑托斯右路拿球强突！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
42'卡塞米罗身后回防，踩在了多斯桑托斯的脚后跟上！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
43'潜水艇获得前场右路的任意球机会！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
43'任意球斜传禁区，瓦拉内头球解围！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
43'皇马的反击，莫德里奇拿球到了前场！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
44'莫德里奇分球左侧给马塞洛，马塞洛横传找C罗                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
44'力量轻了点，被断！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
44'潜水艇的反击，苏亚雷斯横传找巴卡布                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
44'纳瓦斯出击，将球封堵出底线！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
44'潜水艇的右侧角球机会，没能形成威胁！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
44'克罗斯拿球反击，特里格罗斯身后上抢，犯规！！                   41'皇马第41分钟打破僵局，C罗强突禁区左侧传中被阿森霍勉强扑出，本泽马小禁区前顶入空门
69'巴斯克斯接到界外球，和本泽马踢墙配合，巴斯克斯拿球强突进入禁区，面对回防的苏亚雷斯，禁区右侧起脚怒射，打进！                   69'皇马第69分钟扩大比分，卢卡斯-巴斯克斯同本泽马踢墙配合后突入禁区右侧18码处劲射近角破门，2-0
