1'上半场比赛开始！！                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
1'白衣白裤的皇马，从画面的右侧向左进攻！                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
1'托雷斯前场背身拿球，回传给上来的科克                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
1'科克停球没停好，被科瓦契奇破坏                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
2'萨维奇后场拿球，带过中线，分球右侧给胡安弗兰                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
2'胡安弗兰的过顶球打身后，纳乔回防拦截                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
3'纳乔再给马塞洛，马塞洛分球贝尔                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
3'贝尔背身拿球，回传马塞洛                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
3'马塞洛的内切横传，被断                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
3'马竞的前场反击！                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
3'胡安弗兰右路拿球，贝尔身后上抢，踢翻胡安弗兰，犯规                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
3'马竞获得前场右路的任意球机会！！                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
4'科克主罚，斜传禁区，纳乔高高跃起，头球解围                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
4'巴斯克斯拿球反击，到了前场                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
4'横传左侧路找跟进的伊斯科                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
4'伊斯科停球滑倒，差点失误                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
4'伊斯科起身控制住，再分边路给贝尔                   1'双方第1分钟对抗激烈，湿滑场地令多人滑倒
12'瓦拉内再给纳乔，纳乔直塞回撤接应的贝尔                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
12'贝尔遭遇两人围抢，回带，再分左侧给马塞洛                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
12'皇马的前场进攻，马塞洛左路强突传中                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
12'C罗后点的头球冲顶，被奥布拉克倒地封堵出来                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
13'这球扑救很神啊！！反应太迅猛！！                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
13'C罗找裁判投诉，这球已经过了门线，裁判并未理会！！                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
14'格里兹曼前场胸部停球，手球违例！！                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
14'莫德里奇中场拿球，直塞找巴斯克斯                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
15'巴斯克斯停球，脚后跟再找伊斯科                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
15'力量轻了点，被科克抢断！！                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
15'科克拿球反击，直塞找萨乌尔                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
15'瓦拉内上前一步，将球拦截                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
15'分球右侧给卡瓦哈尔，卡瓦哈尔再给巴斯克斯                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
15'巴斯克斯的强突，被菲利佩放倒在地                   12'皇马第12分钟险些破门，马塞洛左路传中，C罗小禁区前头球攻门被奥布拉克神勇救出，加比抢在C罗近距离补射前及时解围
23'位置相当不错，大禁区弧顶，球门的正前方，距离球门28米！                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
23'1-0！！！                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
23'C罗的进球！！                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
24'C罗的任意球直接轰门，打加比和萨维奇之间，变向弹进网窝！！！                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
25'马竞前场右路的进攻，马塞洛回防，将球解围出边线                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
25'菲利佩左路拿球，斜塞格里兹曼                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
26'格里兹曼背身拿球，没机会转身                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
26'回传菲利佩，传大了，出界！！                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
26'莫德里奇中场拿球，加比的上抢犯规！！                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
26'加比被主裁判出示了黄牌警告！！                   23'皇马第23分钟取得领先，萨维奇禁区前对卢卡斯-巴斯克斯犯规，C罗25码处任意球直接射门，皮球打在人墙中的萨维奇身上偏转入网
32'右脚低射，没能打上力量，被奥布拉克轻松拿到                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
32'巴斯克斯右路回防，放倒了菲利佩，犯规                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
32'马竞获得前场左路的任意球机会！                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
32'科克任意球斜传禁区，第一点被皇马球员解围                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
33'萨乌尔禁区弧顶得球，再射                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
33'禁区内都是人，打在球员身上弹出来                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
33'皇马的反击，后场过顶长传打身后                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
33'伊斯科前插接应，拿球                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
33'裁判鸣哨，边裁举旗了，伊斯科的越位                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
34'不过慢镜头回放显示，这个球有误判的嫌疑！                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
35'卡瓦哈尔右路拿球，直塞给到巴斯克斯                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
35'巴斯克斯的内切遭遇夹击，摔倒在地                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
35'裁判没理会，球被戈丁控制，解围                   32'第32分钟，马塞洛长传，伊斯科单刀机会被判越位在先，但回放显示判罚具有争议
71'结果倒地时带倒了C罗，裁判鸣哨，给了点球！！                   71'皇马第71分钟扩大比分，萨维奇禁区内对C罗犯规，后者亲自主罚点球射入左下角，2-0
71'戈丁抗议，被赏了一张黄牌！！                   71'皇马第71分钟扩大比分，萨维奇禁区内对C罗犯规，后者亲自主罚点球射入左下角，2-0
71'C罗主罚，一蹴而就，2-0！！                   71'皇马第71分钟扩大比分，萨维奇禁区内对C罗犯规，后者亲自主罚点球射入左下角，2-0
72'C罗助跑，稍作停动，奥布拉克扑向自己的左侧，C罗打进其右侧空门！！                   71'皇马第71分钟扩大比分，萨维奇禁区内对C罗犯规，后者亲自主罚点球射入左下角，2-0
73'贝尔前场左路和胡安弗兰争抢球权                   71'皇马第71分钟扩大比分，萨维奇禁区内对C罗犯规，后者亲自主罚点球射入左下角，2-0
73'胡安弗兰身后上手，拉倒了贝尔                   71'皇马第71分钟扩大比分，萨维奇禁区内对C罗犯规，后者亲自主罚点球射入左下角，2-0
74'胡安弗兰这是鹰抓功？手直接抓在了贝尔的脸上！                   71'皇马第71分钟扩大比分，萨维奇禁区内对C罗犯规，后者亲自主罚点球射入左下角，2-0
74'马竞后场抢断，过顶长传找前场的格里兹曼                   71'皇马第71分钟扩大比分，萨维奇禁区内对C罗犯规，后者亲自主罚点球射入左下角，2-0
74'格里兹曼拿球下底，横传门前，被纳瓦斯拿到                   71'皇马第71分钟扩大比分，萨维奇禁区内对C罗犯规，后者亲自主罚点球射入左下角，2-0
