1'上半场比赛开始了！                   1'皇马第1分钟试图控制比赛
1'上半场由皇家社会率先开球                   1'皇马第1分钟试图控制比赛
1'鲁利长传上来，胡安米控球                   1'皇马第1分钟试图控制比赛
2'球被皇马断下，瓦拉内长传上来，被伊利亚拉门迪头球顶一下                   1'皇马第1分钟试图控制比赛
2'卡塞米罗控球交给拉莫斯                   1'皇马第1分钟试图控制比赛
3'皇马球员在后场倒脚                   1'皇马第1分钟试图控制比赛
3'达尼洛右路直传，本泽马插上得球横传                   1'皇马第1分钟试图控制比赛
3'球滑门而过，左路的巴斯克斯得球再传禁区                   1'皇马第1分钟试图控制比赛
4'纳瓦斯头球解围                   1'皇马第1分钟试图控制比赛
38'皇马的机会                   38'皇马第38分钟打破僵局，C罗突破直传，科瓦契奇在禁区右肋12码处低射远角入网
38'科瓦契奇单刀推射球进！                   38'皇马第38分钟打破僵局，C罗突破直传，科瓦契奇在禁区右肋12码处低射远角入网
38'皇马被动中反而先进球                   38'皇马第38分钟打破僵局，C罗突破直传，科瓦契奇在禁区右肋12码处低射远角入网
39'皇马前场逼抢，C罗断球送直传，科瓦契奇插上得球形成单刀，面对出击的鲁利冷静推射球门左下角球进                   38'皇马第38分钟打破僵局，C罗突破直传，科瓦契奇在禁区右肋12码处低射远角入网
39'克罗斯中场铲球犯规                   38'皇马第38分钟打破僵局，C罗突破直传，科瓦契奇在禁区右肋12码处低射远角入网
40'克罗斯吃到黄牌                    38'皇马第38分钟打破僵局，C罗突破直传，科瓦契奇在禁区右肋12码处低射远角入网
40'卡纳莱斯弧线球传中被瓦拉内顶出禁区                   38'皇马第38分钟打破僵局，C罗突破直传，科瓦契奇在禁区右肋12码处低射远角入网
40'祖鲁图萨带球突破被巴斯克斯拦截下来                   38'皇马第38分钟打破僵局，C罗突破直传，科瓦契奇在禁区右肋12码处低射远角入网
40'但巴斯克斯的第一传又被拦截                   38'皇马第38分钟打破僵局，C罗突破直传，科瓦契奇在禁区右肋12码处低射远角入网
52'科瓦契奇中场推进，斜塞，马丁内斯上抢失误，C罗插上停球进了禁区面对鲁利挑射入网                   51'皇马第51分钟扩大比分，科瓦契奇手术刀般精准直传撕开皇家社会防线，C罗禁区右肋12码处单刀挑射入网，2-0
53'马丁内斯的失误造就C罗进球                   51'皇马第51分钟扩大比分，科瓦契奇手术刀般精准直传撕开皇家社会防线，C罗禁区右肋12码处单刀挑射入网，2-0
53'下半场本来皇家社会占据优势，但反而被皇马再进一球                   51'皇马第51分钟扩大比分，科瓦契奇手术刀般精准直传撕开皇家社会防线，C罗禁区右肋12码处单刀挑射入网，2-0
54'马丁内斯直传交给卡纳莱斯                   51'皇马第51分钟扩大比分，科瓦契奇手术刀般精准直传撕开皇家社会防线，C罗禁区右肋12码处单刀挑射入网，2-0
54'横传右路的伊利亚拉门迪                   51'皇马第51分钟扩大比分，科瓦契奇手术刀般精准直传撕开皇家社会防线，C罗禁区右肋12码处单刀挑射入网，2-0
54'回传给纳瓦斯，再给萨尔杜亚                   51'皇马第51分钟扩大比分，科瓦契奇手术刀般精准直传撕开皇家社会防线，C罗禁区右肋12码处单刀挑射入网，2-0
54'斜传禁区，纳瓦斯将球摘下                   51'皇马第51分钟扩大比分，科瓦契奇手术刀般精准直传撕开皇家社会防线，C罗禁区右肋12码处单刀挑射入网，2-0
73'C罗任意球传门前，莫斯科头球破门，但越位在先                   72'第72分钟，C罗大禁区右上角外任意球传中，莫拉塔头球破门因越位在先被判无效
73'慢镜来看，的确是越位，尽管突出来不多                   72'第72分钟，C罗大禁区右上角外任意球传中，莫拉塔头球破门因越位在先被判无效
74'鲁利传球居然直接交给了巴斯克斯，巴斯克斯打门被罗德里格斯铲出                   72'第72分钟，C罗大禁区右上角外任意球传中，莫拉塔头球破门因越位在先被判无效
75'卡塞米罗中场控球，马丁内斯上来踢球踢空了，脚往上抬蹬到了卡塞米罗                   72'第72分钟，C罗大禁区右上角外任意球传中，莫拉塔头球破门因越位在先被判无效
75'马丁内斯吃到第二张黄牌被红牌罚下                   72'第72分钟，C罗大禁区右上角外任意球传中，莫拉塔头球破门因越位在先被判无效
75'皇家社会虽然没有丢第三球但少打一人                   72'第72分钟，C罗大禁区右上角外任意球传中，莫拉塔头球破门因越位在先被判无效
75'祖鲁图萨控球，交给贝拉                   72'第72分钟，C罗大禁区右上角外任意球传中，莫拉塔头球破门因越位在先被判无效
75'分左路的罗德里格斯                   72'第72分钟，C罗大禁区右上角外任意球传中，莫拉塔头球破门因越位在先被判无效
74'鲁利传球居然直接交给了巴斯克斯，巴斯克斯打门被罗德里格斯铲出                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
75'卡塞米罗中场控球，马丁内斯上来踢球踢空了，脚往上抬蹬到了卡塞米罗                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
75'马丁内斯吃到第二张黄牌被红牌罚下                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
