1'上半场比赛开始！！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
1'皇马开球，从画面的右侧向左进攻！！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
1'C罗中场拿球，被放倒在地！！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
1'本泽马前场左路拿球，斜塞给到C罗                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
1'C罗拿球内切，横传到后点！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
2'达尼洛插上，迎球抽射，被防守球员挡出了底线！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
2'皇马获得右侧角球机会！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
2'开出到禁区，第一点被塞尔塔球员解围！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
2'塞尔塔的反击，后场过顶长传！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
3'卡塞米罗拖后滑铲解围，没碰到皮球！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
3'不过球速太快，纳瓦斯出击，抢在古德蒂之前，将球控制                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
3'塞尔塔右路的斜传球到禁区                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
4'回防的拉莫斯头球解围出边线！！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
4'埃尔南德斯右路拿球，传中到门前！！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
4'古德蒂没能顶到，球被身后的瓦拉内头球解围出来！                   1'开场不到1分钟，摩德里奇传球，达尼洛禁区右侧的射门被西斯托挡出底线
48'西斯托回传布拉尔                   48'皇马第48分钟扩大比分，伊斯科反击中直传，C罗禁区左侧14码处单刀推射近角立柱内侧入网，2-0
48'皇马中场断球，伊斯科拿球反击！！                   48'皇马第48分钟扩大比分，伊斯科反击中直传，C罗禁区左侧14码处单刀推射近角立柱内侧入网，2-0
48'2-0！！！C罗梅开二度！！！                   48'皇马第48分钟扩大比分，伊斯科反击中直传，C罗禁区左侧14码处单刀推射近角立柱内侧入网，2-0
49'伊斯科中场拿球，强突到前场，斜传禁区左侧找C罗，C罗跟进面对布拉尔的放铲，推射打近角，击中立柱内侧进网！                   48'皇马第48分钟扩大比分，伊斯科反击中直传，C罗禁区左侧14码处单刀推射近角立柱内侧入网，2-0
50'马略前场右路拿球，强突传中到后点                   48'皇马第48分钟扩大比分，伊斯科反击中直传，C罗禁区左侧14码处单刀推射近角立柱内侧入网，2-0
51'西斯托胸部停球，准备起脚打门                   48'皇马第48分钟扩大比分，伊斯科反击中直传，C罗禁区左侧14码处单刀推射近角立柱内侧入网，2-0
51'伊斯科身后闪出，一脚将球破坏出底线！！                   48'皇马第48分钟扩大比分，伊斯科反击中直传，C罗禁区左侧14码处单刀推射近角立柱内侧入网，2-0
51'塞尔塔获得左侧角球机会，开出到禁区，第一点被解围！！                   48'皇马第48分钟扩大比分，伊斯科反击中直传，C罗禁区左侧14码处单刀推射近角立柱内侧入网，2-0
51'桑切斯外围拿球，再传禁区，古德蒂的头球，顶高！！                   48'皇马第48分钟扩大比分，伊斯科反击中直传，C罗禁区左侧14码处单刀推射近角立柱内侧入网，2-0
62'阿斯帕斯前场右路拿球，内切斜传远端找西斯托                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
62'西斯托停球内切，进入禁区，搓传到后点                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
62'C罗回防，头球将球解围出来！！！                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
62'塞尔塔前场再攻，左侧斜塞禁区                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
63'阿斯帕斯插上，背身拿球，拉莫斯身后上抢                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
63'阿斯帕斯摔倒在地，裁判鸣哨！！！                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
63'吹罚了阿斯帕斯的假摔，送上黄牌，两黄变一红，被罚下了！！                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
63'两球落后，又要少一人作战了！！                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
64'塞尔塔机会不多了！！！                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
64'皇马前场进攻，C罗禁区内拿球                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
64'遭遇乔尼和马略的夹抢，C罗摔倒在禁区！！                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
65'球出底线，裁判鸣哨，塞尔塔门球！！                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
65'乔尼认为C罗假摔，投诉时被主裁判出示了黄牌警告！！                   62'塞尔塔第62分钟遭遇打击，阿斯帕斯禁区左侧在拉莫斯防守下摔倒，他被裁判判罚假摔，累计两张黄牌被罚下
69'塞尔塔进球！！！1-2！！！                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
69'古德蒂的进球！！                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
69'10人应战的塞尔塔，取得了进球！！                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
69'古德蒂的打门，打在了拉莫斯腿上折射进的网啊！                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
70'塞尔塔中场抢断，西斯托拿球强突，禁区外分球右侧给古德蒂，古德蒂抽射，打在拉莫斯腿上折射进网！！                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
70'1-3！！本泽马！！                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
71'马塞洛禁区左侧横传门前，本泽马插上推射空门，打进！！                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
71'皇马换人：16号科瓦契奇上，换下14号卡塞米罗                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
72'伊斯科右路拿球，横传给到莫德里奇                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
72'莫德里奇再给克罗斯，克罗斯分球本泽马                   69'塞尔塔第69分钟扳回一城，伊斯科后场被西斯托抢断，圭德蒂禁区边缘的射门打在拉莫斯身上偏转吊过纳瓦斯入网，1-2
75'在此之前，塞尔塔完成了一次换人：5号迪亚兹上，换下了16号桑切斯                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
75'莫德里奇中场抢断，分球给到莫德里奇                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
75'克罗斯！！                   75'皇马第75分钟错过机会，C罗同克罗斯踢墙配合后小禁区前单刀射门偏出左侧立柱
