1'.上半场比赛开始！！！                   1'巴萨第1分钟积极施压
1'首先开球的是格拉纳达                   1'巴萨第1分钟积极施压
1'看下首发                   1'巴萨第1分钟积极施压
1'巴萨(4-3-3)：1-特尔施特根；20-塞尔吉-罗伯托，14-马斯切拉诺，24-马蒂厄，18-阿尔巴；4-拉基蒂奇，5-布斯克茨，21-戈麦斯；12-拉菲尼亚，9-苏亚雷斯，11-内马尔                   1'巴萨第1分钟积极施压
4'格拉纳达首发：奥乔亚；索尼尔、赫克托尔、弗科威尔、席尔瓦、隆班；乌切、佩雷拉、瓦卡索、维克托里恩-昂巴；克拉维茨                   1'巴萨第1分钟积极施压
24'巴萨中场拿球给到左路                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
24'内马尔禁区内横敲到中路                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
24'苏亚雷斯停球后原地摆腿                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
24'直接吊射远角击中了横梁！！                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
24'内马尔禁区内补射将球打进                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
25'但是越位在先                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
25'苏亚雷斯这球打得很巧啊                   24'第24分钟，内马尔突入禁区左侧回传，苏亚雷斯禁区边缘挑射击中横梁弹回，越位位置的内马尔凌空扫射入网被判无效
