70'进球啦！！！马德里竞技球员格里兹曼球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是加梅罗. 马德里竞技 1-0 拉科鲁尼亚.                   70'第70分钟，胡安弗兰直传，加梅罗禁区右侧底线附近传中，格列兹曼近距离破门
71'拉科鲁尼亚球员乔拉克拼抢犯规,对手获得控球权.                   70'第70分钟，胡安弗兰直传，加梅罗禁区右侧底线附近传中，格列兹曼近距离破门
71'胡安弗兰为马德里竞技赢得一个任意球.                   70'第70分钟，胡安弗兰直传，加梅罗禁区右侧底线附近传中，格列兹曼近距离破门
73'路易斯尼奥为拉科鲁尼亚在左路,赢得一个任意球.                   70'第70分钟，胡安弗兰直传，加梅罗禁区右侧底线附近传中，格列兹曼近距离破门
73'马德里竞技球员加比拼抢犯规,对手获得控球权.                   70'第70分钟，胡安弗兰直传，加梅罗禁区右侧底线附近传中，格列兹曼近距离破门
66'马德里竞技球员Ángel Correa大禁区左侧右脚射门,被防守球员封堵.给他传球的是科凯.                   66'第21分钟，奥马尔-拉莫斯右路传中远点，斯马诺夫斯基小禁区左侧鱼跃冲顶入网
67'阿里瓦斯将球处理出底线,马德里竞技获得角球.                   66'第21分钟，奥马尔-拉莫斯右路传中远点，斯马诺夫斯基小禁区左侧鱼跃冲顶入网
67'马德里竞技球员科凯大禁区左侧右脚射门,被防守球员封堵.给他传球的是盖坦.                   66'第21分钟，奥马尔-拉莫斯右路传中远点，斯马诺夫斯基小禁区左侧鱼跃冲顶入网
67'马德里竞技球员加比一脚直塞球给胡安弗兰,但是边裁举旗显示后者已经越位.                   66'第21分钟，奥马尔-拉莫斯右路传中远点，斯马诺夫斯基小禁区左侧鱼跃冲顶入网
68'拉科鲁尼亚球员Borja Valle拼抢犯规,对手获得控球权.                   66'第21分钟，奥马尔-拉莫斯右路传中远点，斯马诺夫斯基小禁区左侧鱼跃冲顶入网
68'加比为马德里竞技赢得一个任意球.                   66'第21分钟，奥马尔-拉莫斯右路传中远点，斯马诺夫斯基小禁区左侧鱼跃冲顶入网
68'拉科鲁尼亚换人,P-莫斯克拉换下吉列尔梅                   66'第21分钟，奥马尔-拉莫斯右路传中远点，斯马诺夫斯基小禁区左侧鱼跃冲顶入网
69'拉科鲁尼亚球员Borja Valle拼抢犯规,对手获得控球权.                   66'第21分钟，奥马尔-拉莫斯右路传中远点，斯马诺夫斯基小禁区左侧鱼跃冲顶入网
69'加比为马德里竞技赢得一个任意球.                   66'第21分钟，奥马尔-拉莫斯右路传中远点，斯马诺夫斯基小禁区左侧鱼跃冲顶入网
