1'上半场比赛开始！！                   1'巴萨第1分钟试图控制比赛，梅西禁区前射左下角被科帕救下
1'首先开球的是巴萨                   1'巴萨第1分钟试图控制比赛，梅西禁区前射左下角被科帕救下
3'毕尔巴鄂(4-2-3-1)：1-科帕；2-博维达，30-努涅斯，4-拉波尔特，15-莱库埃；8-伊图拉斯佩，6-圣何塞；11-威廉姆斯，22-劳尔-加西亚，28-科尔多巴；20-阿杜里斯                   1'巴萨第1分钟试图控制比赛，梅西禁区前射左下角被科帕救下
3'巴萨(4-4-2)：1-特尔施特根；20-罗伯托，3-皮克，23-乌姆蒂蒂，18-阿尔巴；4-拉基蒂奇，5-布斯克茨，15-保利尼奥，21-戈麦斯；10-梅西，9-苏亚雷斯                   1'巴萨第1分钟试图控制比赛，梅西禁区前射左下角被科帕救下
19'禁区内形成混战                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
19'巴萨这边先将球解围出去                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
19'毕尔巴鄂竞技这边又有机会啊！！                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
19'单刀了！！                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
19'阿杜里斯禁区内接球形成反越位，捅射！！！                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
20'特尔施特根侧扑将球拦截！！                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
20'特尔施特根这球立功了                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
20'场面上现在有一些乱                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
20'劳尔-加西亚中场拿球                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
20'巴萨这边上抢犯规                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
21'巴萨这边也有机会                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
21'梅西禁区内近在咫尺的打门没有打进！！                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
22'苏亚雷斯禁区前沿做球给到梅西，梅西高速带球过掉门将后打空门！！                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
22'球是击中立柱外侧出去了                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
22'机会上双方打成1-1                   19'毕尔巴鄂第19分钟错过机会，阿杜里斯12码处单刀低射被特尔施特根神勇救下
36'上半场比赛还有最后的10分钟                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
36'前场左路倒三角传回来                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
36'0-1！！！                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
36'梅西！！！                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
37'梅西前场中路送到左路底线，阿尔巴快速跟进倒三角传回来，梅西这边跟进到禁区，推射远角破门！！                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
37'科帕这边做出了动作                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
37'但是并没有办法阻挡皮球入网                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
37'也是很无奈                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
39'巴萨这边又是获得角球                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
39'角球送前点被顶出来                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
39'外围巴萨拿球回敲到中场                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
39'再分右路                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
39'保利尼奥禁区内得球抽射                   36'巴萨第36分钟打破僵局，梅西斜传，阿尔巴左路下底传中，梅西前点10码处第一时间低射，皮球从科帕手边入网
88'比赛已经来到最后几分钟了                   85'第85分钟，埃切巴里亚开出角球，阿杜里斯头球顶向左下角被特尔施特根神勇扑出
