4'比利亚雷亚尔（4-5-1）：阿森霍；马里奥，阿尔瓦罗，鲁伊斯，豪梅-科斯塔；罗德里戈，塞梅多，索里亚诺，特里格罗斯，拉瓦；塞德里克-巴坎布                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
4'比利亚雷亚尔这边前场拿球                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
4'右路送直塞进去                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
4'先被破坏了                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
6'之前比利亚雷亚尔有一次攻门击中了横梁                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
6'巴萨前场拿球                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
6'横向的转移失误了                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
6'比利亚雷亚尔这边反击                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
6'起球送禁区                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
6'塞德里克-巴坎布头球攻门                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
6'想吊一个                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
6'没有成功                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
7'本场比赛特尔施特根、罗伯托、阿尔巴、布斯克茨和保利尼奥轮换出场                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
59'横向的转移                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
59'左路低平球往禁区里送                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
59'阿森霍这边出现了脱手                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
59'好在身边是本方的球员                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
60'这段时间巴萨的攻势有些猛                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
60'离进球也是差了那么一点点                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
61'布斯克茨这边被铲倒                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
61'裁判这边直接出示了红牌！！                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
61'拉瓦被红牌罚下！！                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
61'拉瓦铲球的时候亮了鞋底                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
61'这是非常的危险动作                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
61'布斯克茨这边直接被掀翻                   59'场上僵局依旧，第59分钟，阿尔巴传球，刚刚替换丹尼斯出场的帕科近距离射门被阿森霍扑出
60'这段时间巴萨的攻势有些猛                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
60'离进球也是差了那么一点点                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
61'布斯克茨这边被铲倒                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
61'裁判这边直接出示了红牌！！                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
61'拉瓦被红牌罚下！！                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
61'拉瓦铲球的时候亮了鞋底                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
61'这是非常的危险动作                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
61'布斯克茨这边直接被掀翻                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
63'巴坎布这边不满判罚找裁判理论                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
63'也是得到一张黄牌！                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
63'比利亚雷亚尔这边教练席也有被请上看台                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
63'应该是助教                   60'比利亚雷亚尔第60分钟遭遇打击，拉瓦前场飞铲布斯克茨被红牌直接罚下，巴坎布激烈抗议也被黄牌警告
72'0-1！！！                   72'巴萨第72分钟打破僵局，梅西传球，苏亚雷斯同帕科踢墙配合后在小禁区前趟过门将射入空门
72'苏亚雷斯！！！                   72'巴萨第72分钟打破僵局，梅西传球，苏亚雷斯同帕科踢墙配合后在小禁区前趟过门将射入空门
73'巴萨前场连续配合，帕科直塞找到小禁区前沿的苏亚雷斯！苏亚雷斯接球晃过门将后推射空门得分！！                   72'巴萨第72分钟打破僵局，梅西传球，苏亚雷斯同帕科踢墙配合后在小禁区前趟过门将射入空门
73'比利亚雷亚尔这边左路上来                   72'巴萨第72分钟打破僵局，梅西传球，苏亚雷斯同帕科踢墙配合后在小禁区前趟过门将射入空门
73'边路的传球被挡出底线                   72'巴萨第72分钟打破僵局，梅西传球，苏亚雷斯同帕科踢墙配合后在小禁区前趟过门将射入空门
73'角球！！                   72'巴萨第72分钟打破僵局，梅西传球，苏亚雷斯同帕科踢墙配合后在小禁区前趟过门将射入空门
73'看看定位球的机会                   72'巴萨第72分钟打破僵局，梅西传球，苏亚雷斯同帕科踢墙配合后在小禁区前趟过门将射入空门
