1'埃瓦尔中圈开球，上半场比赛开始了                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
1'拉米斯给到前场右路的奥雷利亚纳！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
1'奥雷利亚纳回敲给后场的阿尔比拉！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
1'阿尔比拉分球左侧的安赫尔！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
2'安赫尔带球推进到前场！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
2'一记直传球直接传出了底线！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
3'球门球开出来到中圈！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
3'阿尔比拉头球顶到第一下！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
3'梅西把球控制，横敲分球中路保利尼奥！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
3'保利尼奥再给右侧的佩尼亚！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
3'佩尼亚这是把球抢断了！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
3'佩尼亚横向分球给到左路安赫尔！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
4'安赫尔再给身前乾贵士！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
4'乾贵士停球失误出了边线！                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
4'巴萨中场球丢了                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
16'给到了霍尔丹，分球左侧的乾贵士！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
16'乾贵士左边路传中到禁区后点！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
16'皮克把球解围出了底线！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
16'埃瓦尔的角球开到禁区前点！被头球解围出来！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
16'奥雷利亚纳外围得球！塞球到禁区内！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
16'又被巴萨解围出了底线！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
16'埃瓦尔的右侧角球！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
16'角球开到禁区后点！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
