1'上半场比赛开始！！                   1'双方第1分钟对抗激烈
1'白衣白裤的皇马，从画面的右侧向左进攻！                   1'双方第1分钟对抗激烈
1'伊斯科中场争抢，被阿南巴利撞翻在地                   1'双方第1分钟对抗激烈
2'这球阿南巴利上抢，胳膊一挥打在了伊斯科的脸上                   1'双方第1分钟对抗激烈
2'卡瓦哈尔右路拿球，强突传中到禁区                   1'双方第1分钟对抗激烈
2'马丁内斯出击，将球打了出来                   1'双方第1分钟对抗激烈
3'特奥左路拿球，直塞给到C罗                   1'双方第1分钟对抗激烈
3'C罗内切，横传中路                   1'双方第1分钟对抗激烈
3'可惜传在了切入的特奥身后，球被解围                   1'双方第1分钟对抗激烈
3'特奥界外球，给到C罗                   1'双方第1分钟对抗激烈
3'C罗回传交给卡塞米罗                   1'双方第1分钟对抗激烈
3'卡塞米罗的斜传球到禁区，直接出了底线                   1'双方第1分钟对抗激烈
4'赫塔菲左路的进攻，直塞球                   1'双方第1分钟对抗激烈
4'卡瓦哈尔回防将球解围出边线                   1'双方第1分钟对抗激烈
24'皇马进球了，1-0！！！                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
24'贝尔！！！！                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
25'伊斯科左侧角球开出到后点，卡塞米罗拿球，回传本泽马，本泽马挑传到门前，拉莫斯和伊斯科头球抢在一起，球落在了点球点附近的贝尔脚下，无人防守，起脚抽射，打进！！！                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
25'雷米禁区弧内和纳乔争抢头球                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
25'球没到，雷米先出手打在了纳乔的脸上                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
26'纳乔被放翻，雷米拿球                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
26'裁判哨响，吹罚了雷米的犯规                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
26'雷米被主裁判出示了黄牌警告！！                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
26'这也是本场比赛的第一张黄牌！！                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
26'雷米这次的附加动作，刚好在裁判的视线内                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
27'伊斯科中场拿球，分球贝尔                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
27'贝尔强突，再给右边路上来的卡瓦哈尔                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
27'卡瓦哈尔脚下打滑，摔倒了                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
27'球被安图内斯上抢拦截                   24'皇马第24分钟取得领先，本泽马禁区右侧传中，伊斯科争顶未果却将皮球挡回，无人防守的贝尔12码处左脚劲射被马丁内斯扑挡后偏转入网
47'上半场比赛补时2分钟！！！                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
47'皇马前场再攻，C罗左路拿球                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
47'内切往中路走                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
47'大禁区左上角起脚抽射，滑门而过！！                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
47'禁区弧内起脚抽射，没能踢上力量，被纳瓦斯没收                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
47'赫塔菲前场抢断，雷米拿球强突                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
47'分球给到跟进的法拉，远射，打偏！！                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
48'雷米前场争抢，又是附加动作，伸手打翻了纳乔                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
48'雷米被主裁判出示了黄牌，两黄变一红，被罚出场！！                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
48'纳乔被打的嘴里出血了，离场治疗                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
49'慢镜回放显示，纳乔拿球急停，雷米上抢没能碰到球，一掌直接打在了纳乔的脸上，打翻了纳乔                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
50'两人上半场就在较劲，雷米为自己的附加动作付出了代价                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
50'卡瓦哈尔前场抢断，分球C罗                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
50'C罗中路拿球，直塞想给本泽马                   47'赫塔菲第47分钟遭遇打击，雷米对纳乔击打犯规累计两张黄牌被罚下
65'带球进入禁区，纳乔回防身后放铲                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
65'将球解围后，也是踢翻了莫利纳                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
65'裁判给了赫塔菲点球！！                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
65'皇马换人：12号马塞洛上，换下了15号特奥！！                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
66'波尔蒂略主罚，一蹴而就！2-1！！                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
66'波尔蒂略主罚，助跑骗过纳瓦斯，打中路得手！！                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
67'伊斯科前场左路拿球，直塞给到贝尔                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
67'贝尔强突，横传禁区再给伊斯科                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
67'伊斯科不注意，被身后上来的波尔蒂略将球解围出底线                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
67'皇马获得了左侧角球机会！！                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
68'伊斯科战术角球开出给到马塞洛，马塞洛斜传到后点                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
68'C罗前点顶进，可惜被吹犯规在先，无效！！                   65'赫塔菲第65分钟扳回一城，莫利纳突入禁区右侧被纳乔从背后绊倒，波尔蒂略主罚点球命中，1-2
