9'这是双方本场的第一个角球！！                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
9'角球开出到禁区，没能形成威胁！！                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
9'皇马前场进攻，马塞洛的左路传中                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
9'C罗的抢点头球，击中横梁弹回                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
9'努涅斯赶紧解围                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
10'球到皇马左侧，马塞洛拿球再传，这次没威胁了                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
10'圣何塞中场拿球，分球右侧给到德马科斯                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
10'德马科斯的过顶球，传大了，瓦拉内控制                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
11'莫德里奇前场中路拿球，斜传左侧给阿森西奥                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
11'阿森西奥的传中到前点，被防守球员解围                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
12'镜头不断给到C罗刚刚的头球，击中横梁！！很是精彩，完美体现了其腰腹力量                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
12'巴伦齐亚加左路的直塞球找科尔多瓦                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
12'卡瓦哈尔上抢，将球破坏出边线                   9'皇马第9分钟险些破门，卡瓦哈尔右路传中，C罗10码处头球攻门击中横梁
14'毕尔巴鄂竞技进球了！！                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
14'威廉姆斯！！！                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
15'毕尔巴鄂竞技前场进攻，中路的一脚直塞球打拉莫斯的身后，威廉姆斯插上，面对出击的纳瓦斯，挑射打进空门！！                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
15'莫德里奇前场中路拿球，直塞给到本泽马                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
16'本泽马背身拿球，转身分球右侧给卡瓦哈尔                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
16'卡瓦哈尔内切斜传左侧给到马塞洛                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
16'马塞洛直塞再给阿森西奥                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
16'阿森西奥的横传球，C罗前点攻门，被挡出底线                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
16'皇马获得了左侧角球机会！！                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
17'角球开出到后点，拉莫斯的头球                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
17'太正了，被科帕拿到！！                   14'毕尔巴鄂第14分钟取得领先，科尔多巴直传，威廉姆斯禁区右肋10码处单刀挑射入网
61'皇马中场抢断，莫德里奇的直塞找到C罗                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
61'C罗拿球反击，进入禁区                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
62'和回防的德马科斯相撞倒地                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
62'裁判示意不犯规，球出底线，给了皇马角球                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
62'这球值得商榷，稍后看看回放吧                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
63'皇马左侧角球开出，没能形成威胁！！                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
63'伊图拉斯佩之前中场的犯规，被主裁判补发了一张黄牌！                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
64'劳尔-加西亚推射击中横梁，皇马逃过一劫啊                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
64'雷库埃前场右路拿球，斜塞给到德马科斯                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
64'德马科斯底线内切，横传门前，被纳瓦斯封堵                   61'第61分钟，C罗单刀突入禁区左侧被努涅斯撞倒，裁判拒绝判罚点球
87'德马科斯抢在贝尔之前，将球解围                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
87'1-1！！！                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
87'莫德里奇！！！                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
87'这球貌似C罗蹭到了，算作C罗的进球！！                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
88'皇马前场连续攻门被挡出，卡瓦哈尔右路拿球，回传禁区外给到莫德里奇，莫德里奇停球调整直接远射，门前的C罗伸脚一蹭，蝎子摆尾啊，打进！                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
89'这球C罗伸脚一蹭，刚好改变了方向，进网                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
89'莫德里奇中场拿球，圣何塞身后回防，拉人犯规                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
89'圣何塞被主裁判出示了黄牌警告！                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
89'皇马前场再攻，右路传中                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
90'拉莫斯的头球，差一点点，被挡了出来                   87'皇马第87分钟扳平，卡瓦哈尔传球，摩德里奇20码处劲射被C罗脚后跟磕入左下角，1-1
