2'莫德里奇中场拿球，回传右路奥德里奥索拉                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
2'再给纳乔，横传拉莫斯                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
2'斜传左侧雷吉隆，回传被断啦                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
2'阿斯帕斯拿球反击，斜传找戈麦斯                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
3'纳乔的回防解围，奥德里奥索拉右路拿球                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
3'给到巴斯克斯，再给莫德里奇                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
3'斜传找到前插的奥德里奥索拉                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
3'内切横传给到本泽马，起脚打门，被挡出                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
4'皇马前场再攻，左路斜传球到禁区                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
4'本泽马停球转身，一脚低射打远角                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
4'球滑门而过，几乎擦着远端的立柱出底线！                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
5'巴斯克斯前场右路拿球，内切横传，被断啦                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
5'塞尔塔的反击，马略右路拿球                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
5'强突传中到门前，拉莫斯头球解围                   2'开场仅2分钟，奥德里奥索拉传球，本泽马禁区弧顶劲射被扑出
19'塞尔塔右侧角球开出到门前                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
19'戈麦斯的头球，击中左侧立柱内侧弹出                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
20'拉莫斯门前赶紧大脚解围出底线！！                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
20'非常危险的一次进攻！！                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
20'塞尔塔继续右侧角球，这次没能形成威胁！！                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
21'门德斯中圈和克罗斯的争抢                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
21'门德斯被勾倒在地，克罗斯犯规！                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
21'上半场21分钟，比分依旧是0-0！！                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
22'克罗斯前场左路拿球，内切分边再给贝尔                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
22'贝尔的强突，左脚横传球到门前                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
22'被容卡解围出来！！                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
22'塞巴略斯外围拿球，调整一下                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
22'右脚直接发炮，打偏了！！                   19'第19分钟，门德斯开出角球，约库斯鲁小禁区前头球攻门击中左侧立柱弹回，拉莫斯随即解围
33'门德斯再找阿斯帕斯，被塞巴略斯拦截                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
33'克罗斯拿球反击，回防的门德斯拉人犯规                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
33'门德斯被主裁判出示了黄牌警告！！                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
33'皇马前场左路的任意球机会！！                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
33'克罗斯分球给到前插的雷吉隆                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
34'左路传中到门前，本泽马的头球                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
34'顶偏了，出了右侧底线！！                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
34'莫德里奇前场拿球，分球右侧给前插的奥德里奥索拉                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
34'内切横传巴斯克斯，两人的传切配合                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
34'可惜巴斯克斯的直塞球力量太大                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
35'奥德里奥索拉在出底线后才拿到！！                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
35'巴斯克斯前场右路拿球，内切进来                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
35'斜塞禁区找到了前插的本泽马                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
36'本泽马面对隆卡利亚，变向下底                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
36'倒三角回传，贝尔的跟进，在马略的干扰下没碰到                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
36'后点的克罗斯跟进，无人防守                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
36'一脚挑射打远角，直接放了高射炮！                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
36'这几乎是个空门啊，可惜啦！！                   33'皇马连续错过机会，第33分钟，雷吉隆左路传中远点，阿尔瓦雷斯扑救高球落空，本泽马小禁区右侧面对空门却顶偏
50'长传到禁区，阿斯帕斯插上的头球轰门，顶高！                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
51'本泽马前场左路拿球，内切禁区                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
51'面对马略，变向横切，起脚抽射                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
51'击中横梁弹回                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
51'莫德里奇外围拿球，再给右侧奥德里奥索拉                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
51'传中到禁区，本泽马胸部停球                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
51'横切没机会起脚，回传克罗斯                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
52'克罗斯再给左侧纳乔，回传克罗斯                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
52'布法尔的上抢犯规！！                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
52'皇马前场左路的任意球机会！！                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
52'克罗斯斜传到禁区，没能形成威胁！！                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
53'戈麦斯左路前插接应，身后回防的桑切斯绊倒了戈麦斯，犯规                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
53'桑切斯被主裁判出示了黄牌警告！！                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
53'这球慢镜回放显示，两人还是有些距离啊                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
53'塞尔塔获得了前场左路的任意球机会！！                   50'第50分钟，卢卡斯传球，本泽马切入禁区左侧劲射，皮球打中横梁弹回
61'塞尔塔扳回一城！！1-2！！                   61'塞尔塔第61分钟扳回一城，门德斯右路挑传，无人防守的马略小禁区前凌空扫射左下角入网，1-2
61'马略！！                   61'塞尔塔第61分钟扳回一城，门德斯右路挑传，无人防守的马略小禁区前凌空扫射左下角入网，1-2
62'阿斯帕斯前场中路拿球，分球右路队友，斜传到门前，马略插上凌空抽射，打进远角！                   61'塞尔塔第61分钟扳回一城，门德斯右路挑传，无人防守的马略小禁区前凌空扫射左下角入网，1-2
63'莫德里奇前场中路拿球，约库斯鲁的上抢犯规！                   61'塞尔塔第61分钟扳回一城，门德斯右路挑传，无人防守的马略小禁区前凌空扫射左下角入网，1-2
63'莫德里奇任意球横传给到克罗斯                   61'塞尔塔第61分钟扳回一城，门德斯右路挑传，无人防守的马略小禁区前凌空扫射左下角入网，1-2
63'再给身的贝尔，调整一下，起脚远射，打偏！                   61'塞尔塔第61分钟扳回一城，门德斯右路挑传，无人防守的马略小禁区前凌空扫射左下角入网，1-2
64'塞尔塔换人：7号埃姆雷-摩尔和16号安德鲁上，换下了8号贝尔特兰和19号布法尔                   61'塞尔塔第61分钟扳回一城，门德斯右路挑传，无人防守的马略小禁区前凌空扫射左下角入网，1-2
64'这样双方各自都用了两个换人名额！！                   61'塞尔塔第61分钟扳回一城，门德斯右路挑传，无人防守的马略小禁区前凌空扫射左下角入网，1-2
83'拉莫斯又是一记勺子点球，骗过阿尔瓦雷斯，打中路得分！！                   83'皇马第83分钟拉开差距，容卡禁区内对奥德里奥索拉犯规，拉莫斯主罚勺子点球命中，3-1
