1'上半场比赛开始！！                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
1'首先开球的是巴萨                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
1'巴萨首发：1-特尔施特根、2-塞梅多、3-皮克、15-朗格莱、18-阿尔巴、22-比达尔、4-拉基蒂奇、8-阿图尔、11-登贝莱、10-梅西、9-苏亚雷斯                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
1'皇家社会首发：1-鲁利、29-穆尼奥、15-埃鲁斯通多、3-迭戈-略伦特、2-萨尔杜亚、5-祖贝蒂亚、14-帕尔多、8-梅里诺、7-胡安米、10-奥亚萨瓦尔、12-威廉-何塞                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
1'巴萨左路拿球给到禁区                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
1'后卫先将球拿下来                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
1'球到了中场                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
1'巴萨反抢回来                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
2'巴萨中路渗透                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
2'配合没有打成                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
3'皇家社会中场拿球                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
4'横向转移到了边路                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
4'左路进攻上来                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
4'传接没有形成默契                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
4'巴萨中场倒脚                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
4'比赛的节奏并不快                   1'巴萨第1分钟利用传控掌握比赛节奏，但皇家社会的防守紧凑缜密
39'奥亚萨瓦尔右路带球上来                   36'皇家社会第36分钟险些破门，帕尔多直传，胡安米小禁区左侧射门被特尔施特根勉强挡出，威廉-赫塞小禁区边缘补射稍稍高出
39'被卡住了身位                   36'皇家社会第36分钟险些破门，帕尔多直传，胡安米小禁区左侧射门被特尔施特根勉强挡出，威廉-赫塞小禁区边缘补射稍稍高出
39'再抢的时候从身后推人犯规                   36'皇家社会第36分钟险些破门，帕尔多直传，胡安米小禁区左侧射门被特尔施特根勉强挡出，威廉-赫塞小禁区边缘补射稍稍高出
45'朗格莱！！                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
45'巴萨角球开出，前点朗格莱头球攻门将球顶进！！                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
45'很简洁的一次配合啊                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
46'上半场比赛结束！！                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
46'经过45分钟的激战，巴萨1-0暂时领先皇家社会                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
46'上半场比赛双方的节奏都不快                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
46'巴萨始终按照自己的节奏再打，也是在上半场即将结束的时候由朗格莱头球破门得分                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
46'让我们稍事休息，一会儿为您带来双方下半场的比赛                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
46'回到比赛现场                   45'巴萨第45分钟打破僵局，登贝莱开出角球，朗格莱小禁区前头球顶入右上角
