1'上半场比赛开始！！                   1'开场不到1分钟，伊斯科送出直传，本泽马突破至小禁区右上角外斜射偏出
1'白衣白裤的皇马从左向右进攻！！                   1'开场不到1分钟，伊斯科送出直传，本泽马突破至小禁区右上角外斜射偏出
2'皇马中场的过顶球打身后                   1'开场不到1分钟，伊斯科送出直传，本泽马突破至小禁区右上角外斜射偏出
2'本泽马前插接应，单刀赴会了                   1'开场不到1分钟，伊斯科送出直传，本泽马突破至小禁区右上角外斜射偏出
2'小禁区右侧面对出击的门将，一脚低射打远角                   1'开场不到1分钟，伊斯科送出直传，本泽马突破至小禁区右上角外斜射偏出
2'滑门而过，直接出了底线！！                   1'开场不到1分钟，伊斯科送出直传，本泽马突破至小禁区右上角外斜射偏出
4'奥利弗拉前场右路拿球，面对逼抢                   1'开场不到1分钟，伊斯科送出直传，本泽马突破至小禁区右上角外斜射偏出
4'回传后场时被雷吉隆破坏出边线！                   1'开场不到1分钟，伊斯科送出直传，本泽马突破至小禁区右上角外斜射偏出
73'伊斯科后场左路拿球，遭遇两人围堵                   73'赫塔菲第73分钟险些破门，达米安-苏亚雷斯禁区右侧回传，莫利纳12码处低射被扑出，马塔12码处再射仍被纳瓦斯救出
73'带球到角旗附近，破坏出边线                   73'赫塔菲第73分钟险些破门，达米安-苏亚雷斯禁区右侧回传，莫利纳12码处低射被扑出，马塔12码处再射仍被纳瓦斯救出
73'苏亚雷斯界外球给到波尔蒂略                   73'赫塔菲第73分钟险些破门，达米安-苏亚雷斯禁区右侧回传，莫利纳12码处低射被扑出，马塔12码处再射仍被纳瓦斯救出
73'波尔蒂略再给苏亚雷斯，底线内切                   73'赫塔菲第73分钟险些破门，达米安-苏亚雷斯禁区右侧回传，莫利纳12码处低射被扑出，马塔12码处再射仍被纳瓦斯救出
74'回传中路，莫利纳的打门，被纳瓦斯封堵                   73'赫塔菲第73分钟险些破门，达米安-苏亚雷斯禁区右侧回传，莫利纳12码处低射被扑出，马塔12码处再射仍被纳瓦斯救出
74'阿兰巴里禁区左侧得球，调整一下再打，又被纳瓦斯挡了出来                   73'赫塔菲第73分钟险些破门，达米安-苏亚雷斯禁区右侧回传，莫利纳12码处低射被扑出，马塔12码处再射仍被纳瓦斯救出
76'马塔的中场争抢，被吹犯规！！                   73'赫塔菲第73分钟险些破门，达米安-苏亚雷斯禁区右侧回传，莫利纳12码处低射被扑出，马塔12码处再射仍被纳瓦斯救出
