3'胡安弗兰右路的直塞球，纳乔将球碰出边线                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
3'菲利佩前场左路拿球，内切斜传到禁区                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
3'卡塞米罗回防，头球解围出边线！                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
4'勒马尔前场拿球强突，没机会                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
4'回传给到科克，科克趟两步                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
4'禁区外的一脚远射，库尔图瓦将球封堵出来                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
5'这球库尔图瓦注意力很集中，反应很迅速                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
5'胡安弗兰前场右路拿球，强突传中到后点                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
5'拉莫斯解围没顶到，后点的格里兹曼胸部停球                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
5'接着侧身凌空一脚勾射，打偏了                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
6'瓦拉内后场拿球，分球卡瓦哈尔                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
6'卡瓦哈尔面对逼抢，回传瓦拉内                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
6'再给库尔图瓦，大脚开出到前场                   3'开场仅3分钟，罗德里传球，萨乌尔30码处远射被库尔图瓦扑出
18'克罗斯左路拿球，内切后大范围转移球到右路                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
18'卡瓦哈尔拿球，横传莫德里奇                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
18'再给本泽马，分球阿森西奥                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
18'背身拿球摔倒在地，裁判没理会                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
18'马竞的反击，长传给到格里兹曼                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
18'单刀赴会了，进入禁区                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
19'面对出击的库尔图瓦，格里兹曼的推射                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
19'库尔图瓦倒地将球挡出                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
19'无人上来，库尔图瓦起身赶紧再将球揽入怀中                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
19'马竞错失了绝佳的进球良机！！                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
19'贝尔左路拿球强突，萨乌尔的上抢                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
20'绊倒了贝尔，犯规！！                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
20'慢镜回放显示，之前格里兹曼的单刀射门，被倒地的库尔图瓦用脸挡了出来                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
20'皇马前场进攻，赢得中路的任意球机会                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
21'位置有些偏右，阿森西奥和克罗斯站在球前                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
21'克罗斯任意球斜传到小禁区左上角                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
21'贝尔插上凌空垫射，球滑门而过，出了底线                   18'马竞第18分钟错失良机，科凯直传，格列兹曼突入禁区左侧10码处单刀射门被库尔图瓦出击用脸挡出
37'皇马中场失误，马竞的反击                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
37'格里兹曼中圈拿球，斜塞身后找到前插的科斯塔                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
38'科斯塔带球进禁区，单刀了，面对库尔图瓦                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
38'选择推射近角，被库尔图瓦挡出了底线！                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
38'场边的西蒙尼很失望，转身双手一摊，向替补席走了几步                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
39'马竞的左侧角球机会，没威胁！！                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
39'莫德里奇前场拿球强突，摆脱了科克                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
39'被补防的费利佩放倒在地！！                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
39'皇马前场右路再攻，卡瓦哈尔的传中，被挡出底线                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
39'皇马右侧角球，开出到禁区                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
39'第一点被戈丁解围出来                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
40'卡瓦哈尔外围抢到第二落点，直接打门，打偏                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
40'贝尔前场右路拿球，强行横切到中间                   37'第37分钟，格列兹曼传球，迭戈-科斯塔突入禁区左侧单刀捅射被库尔图瓦挡出
66'皇马前场的进攻，左路传中，可惜后点的本泽马慢了点                   65'第65分钟，克罗斯突破斜传，阿森西奥禁区右肋的单刀射门被奥布拉克出击扑出
66'最后的推射，被门将挡出底线                   65'第65分钟，克罗斯突破斜传，阿森西奥禁区右肋的单刀射门被奥布拉克出击扑出
66'皇马获得了右侧角球机会                   65'第65分钟，克罗斯突破斜传，阿森西奥禁区右肋的单刀射门被奥布拉克出击扑出
66'开出到后点，纳乔的头球，打在了吉梅内斯身上出底线                   65'第65分钟，克罗斯突破斜传，阿森西奥禁区右肋的单刀射门被奥布拉克出击扑出
67'皇马再次获得了左侧角球，没威胁！！                   65'第65分钟，克罗斯突破斜传，阿森西奥禁区右肋的单刀射门被奥布拉克出击扑出
67'瓦拉内中线位置拿球，自己带球突破                   65'第65分钟，克罗斯突破斜传，阿森西奥禁区右肋的单刀射门被奥布拉克出击扑出
67'禁区右上角，再分边上给卡瓦哈尔                   65'第65分钟，克罗斯突破斜传，阿森西奥禁区右肋的单刀射门被奥布拉克出击扑出
67'卡瓦哈尔的横传，被防守球员挡出                   65'第65分钟，克罗斯突破斜传，阿森西奥禁区右肋的单刀射门被奥布拉克出击扑出
68'在此之前，阿森西奥的单刀，面对奥布拉克，挑射被挡出底线                   65'第65分钟，克罗斯突破斜传，阿森西奥禁区右肋的单刀射门被奥布拉克出击扑出
88'球出边线，裁判给了马竞界外球                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
88'皇马第三次换人：28号维尼修斯上，换下了9号本泽马                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
88'这是维尼修斯本赛季西甲首秀啊！！                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
88'维尼修斯前场左路拿球，强突下底                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
89'内切横传到门前，被奥布拉克拿到                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
89'科雷亚前场右路拿球，挑传身后找卡利尼奇                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
89'卡利尼奇背身拿球，拉莫斯身后上来抢断                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
89'给到纳乔，直塞维尼修斯                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
89'强突遭遇三人围堵，摔倒在地                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
90'瓦拉内后场拿球，分球右侧卡瓦哈尔                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
90'再给回来接应的阿森西奥，带球到前场                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
90'再给卡瓦哈尔，分球巴斯克斯                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
91'内切强突，回防的费利佩解围出边线                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
91'下半场比赛补时3分钟！！                   88'第88分钟，本泽马被维尼修斯换下，后者首次代表皇马出场
