4'维拉蒂为巴黎圣日耳曼赢得一个任意球.                   3'开场3分钟，拉维奇分球，小卢卡斯禁区前沿射门偏出
4'兰斯球员Gaëtan Courtet拼抢犯规,对手获得控球权.                   3'开场3分钟，拉维奇分球，小卢卡斯禁区前沿射门偏出
6'马图伊迪将球处理出底线,兰斯获得角球.                   3'开场3分钟，拉维奇分球，小卢卡斯禁区前沿射门偏出
16'射门!!!兰斯球员德瓦大禁区外右脚射门,被对方守门员横身扑出.给他传球的是Gaëtan Courtet.                   16'第16分钟，兰斯中场德沃弧线球被西里古向左侧扑化解
16'西里古将球处理出底线,兰斯获得角球.                   16'第16分钟，兰斯中场德沃弧线球被西里古向左侧扑化解
17'兰斯球员克雷霍维亚克大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是迭戈.                   16'第16分钟，兰斯中场德沃弧线球被西里古向左侧扑化解
17'小卢卡斯为巴黎圣日耳曼在左路,赢得一个任意球.                   16'第16分钟，兰斯中场德沃弧线球被西里古向左侧扑化解
17'兰斯球员迭戈拼抢犯规,对手获得控球权.                   16'第16分钟，兰斯中场德沃弧线球被西里古向左侧扑化解
19'射门!!!兰斯球员西尼奥里诺大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是福特斯.                   16'第16分钟，兰斯中场德沃弧线球被西里古向左侧扑化解
35'兰斯球员德瓦大禁区外右脚射门,被防守球员封堵.                   35'第35分钟，西里古倒地扑救，后卫韦伯跟进推射被马图伊迪封堵
35'兰斯球员韦伯大禁区中央右脚射门,被防守球员封堵.                   35'第35分钟，西里古倒地扑救，后卫韦伯跟进推射被马图伊迪封堵
35'巴黎圣日耳曼球员拉维齐大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   35'第35分钟，西里古倒地扑救，后卫韦伯跟进推射被马图伊迪封堵
36'小卢卡斯为巴黎圣日耳曼赢得一个任意球.                   35'第35分钟，西里古倒地扑救，后卫韦伯跟进推射被马图伊迪封堵
36'兰斯球员科隆巴德拼抢犯规,对手获得控球权.                   35'第35分钟，西里古倒地扑救，后卫韦伯跟进推射被马图伊迪封堵
39'维拉蒂为巴黎圣日耳曼在对方半场,赢得一个任意球.                   38'第38分钟，伊布在门前30米处任意球越过人墙被阿加萨奋力扑出
39'兰斯球员克雷霍维亚克拼抢犯规,对手获得控球权.                   38'第38分钟，伊布在门前30米处任意球越过人墙被阿加萨奋力扑出
39'射门!!!巴黎圣日耳曼球员伊布大禁区外右脚射门,被对方守门员横身扑出.                   38'第38分钟，伊布在门前30米处任意球越过人墙被阿加萨奋力扑出
60'巴黎圣日耳曼球员伊布大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   60'巴黎第60分钟似乎迎来转机，兰斯后卫格隆巴尔铲倒帕斯托雷，累计2张黄牌被罚下
61'射门!!!巴黎圣日耳曼球员范德维尔球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是拉维齐.                   60'巴黎第60分钟似乎迎来转机，兰斯后卫格隆巴尔铲倒帕斯托雷，累计2张黄牌被罚下
62'巴黎圣日耳曼球员小卢卡斯大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是维拉蒂.                   60'巴黎第60分钟似乎迎来转机，兰斯后卫格隆巴尔铲倒帕斯托雷，累计2张黄牌被罚下
62'兰斯换人,吉索非换下德瓦                   60'巴黎第60分钟似乎迎来转机，兰斯后卫格隆巴尔铲倒帕斯托雷，累计2张黄牌被罚下
63'阿尔芒将球处理出底线,兰斯获得角球.                   60'巴黎第60分钟似乎迎来转机，兰斯后卫格隆巴尔铲倒帕斯托雷，累计2张黄牌被罚下
64'兰斯球员福法纳大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是迭戈.                   64'第64分钟，迭戈开出角球，后卫福法纳头球蹭到后门柱，波兰中场克里乔维亚克顶入近角，兰斯反以0比1领先
64'进球啦！！！兰斯球员克雷霍维亚克小禁区左侧右脚射门,球从左下角飞进球门,球进了!助攻的是福法纳. 兰斯 1-0 巴黎圣日耳曼.                   64'第64分钟，迭戈开出角球，后卫福法纳头球蹭到后门柱，波兰中场克里乔维亚克顶入近角，兰斯反以0比1领先
65'巴黎圣日耳曼换人,贝克汉姆换下维拉蒂                   64'第64分钟，迭戈开出角球，后卫福法纳头球蹭到后门柱，波兰中场克里乔维亚克顶入近角，兰斯反以0比1领先
66'巴黎圣日耳曼球员拉维齐大禁区右侧尝试左脚射门,可惜皮球偏出球门.给他传球的是小卢卡斯.                   64'第64分钟，迭戈开出角球，后卫福法纳头球蹭到后门柱，波兰中场克里乔维亚克顶入近角，兰斯反以0比1领先
67'巴黎圣日耳曼换人,梅内斯换下帕斯托雷                   64'第64分钟，迭戈开出角球，后卫福法纳头球蹭到后门柱，波兰中场克里乔维亚克顶入近角，兰斯反以0比1领先
67'射门!!!兰斯球员Gaëtan Courtet小禁区左侧头球,被对方守门员横身扑出.给他传球的是福特斯.                   64'第64分钟，迭戈开出角球，后卫福法纳头球蹭到后门柱，波兰中场克里乔维亚克顶入近角，兰斯反以0比1领先
66'巴黎圣日耳曼球员拉维齐大禁区右侧尝试左脚射门,可惜皮球偏出球门.给他传球的是小卢卡斯.                   66'第66分钟，帕斯托雷传球，小卢卡斯连续晃动骗过后卫将球打高
67'巴黎圣日耳曼换人,梅内斯换下帕斯托雷                   66'第66分钟，帕斯托雷传球，小卢卡斯连续晃动骗过后卫将球打高
67'射门!!!兰斯球员Gaëtan Courtet小禁区左侧头球,被对方守门员横身扑出.给他传球的是福特斯.                   66'第66分钟，帕斯托雷传球，小卢卡斯连续晃动骗过后卫将球打高
68'兰斯球员迭戈球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是克雷霍维亚克.                   66'第66分钟，帕斯托雷传球，小卢卡斯连续晃动骗过后卫将球打高
71'巴黎圣日耳曼球员拉维齐大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿尔芒.                   71'第71分钟，阿尔芒传中，梅内左脚射门稍稍偏出
72'阿加萨为兰斯赢得一个任意球.                   71'第71分钟，阿尔芒传中，梅内左脚射门稍稍偏出
72'巴黎圣日耳曼球员伊布拼抢犯规,对手获得控球权.                   71'第71分钟，阿尔芒传中，梅内左脚射门稍稍偏出
73'射门!!!巴黎圣日耳曼球员马图伊迪大禁区中央右脚射门,被对方守门员横身扑出.                   71'第71分钟，阿尔芒传中，梅内左脚射门稍稍偏出
74'克雷霍维亚克为兰斯赢得一个任意球.                   71'第71分钟，阿尔芒传中，梅内左脚射门稍稍偏出
74'巴黎圣日耳曼球员梅内斯拼抢犯规,对手获得控球权.                   71'第71分钟，阿尔芒传中，梅内左脚射门稍稍偏出
