16'暂停结束,球员们重新开始比赛.                   16'随后卡巴耶两脚劲射均被卡昂门将维尔库特救出，但他不幸在第16分钟早早伤退
16'巴黎圣日耳曼换人,拉比奥特上,卡巴耶因伤下场.                   16'随后卡巴耶两脚劲射均被卡昂门将维尔库特救出，但他不幸在第16分钟早早伤退
18'N'Golo Kanté为卡昂赢得一个任意球.                   16'随后卡巴耶两脚劲射均被卡昂门将维尔库特救出，但他不幸在第16分钟早早伤退
18'巴黎圣日耳曼球员马图伊迪拼抢犯规,对手获得控球权.                   16'随后卡巴耶两脚劲射均被卡昂门将维尔库特救出，但他不幸在第16分钟早早伤退
19'射门!!!卡昂球员E-萨拉大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是费雷特.                   16'随后卡巴耶两脚劲射均被卡昂门将维尔库特救出，但他不幸在第16分钟早早伤退
19'卡昂球员贝内泽大禁区中央左脚射门,被防守球员封堵.                   16'随后卡巴耶两脚劲射均被卡昂门将维尔库特救出，但他不幸在第16分钟早早伤退
19'卡昂球员N'Golo Kanté大禁区外右脚射门,被防守球员封堵.给他传球的是贝内泽.                   16'随后卡巴耶两脚劲射均被卡昂门将维尔库特救出，但他不幸在第16分钟早早伤退
40'进球啦！！！巴黎圣日耳曼球员拉维齐大禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是小卢卡斯. 巴黎圣日耳曼 2-0 卡昂.                   40'巴黎第40分钟扩大比分，小卢卡斯突破传球，拉维奇禁区左侧10码处斜射入网
41'巴黎圣日耳曼球员拉维齐大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是伊布.                   40'巴黎第40分钟扩大比分，小卢卡斯突破传球，拉维奇禁区左侧10码处斜射入网
49'奥里尔将球处理出底线,卡昂获得角球.                   48'卡昂最后时刻3分钟连入2球扳平，第89分钟，阿皮亚疑似手球回传，裁判未予判罚，萨拉禁区右肋10码处第一时间斜射入网
50'卡昂球员Herve Bazile拼抢犯规,对手获得控球权.                   48'卡昂最后时刻3分钟连入2球扳平，第89分钟，阿皮亚疑似手球回传，裁判未予判罚，萨拉禁区右肋10码处第一时间斜射入网
50'伊布为巴黎圣日耳曼赢得一个任意球.                   48'卡昂最后时刻3分钟连入2球扳平，第89分钟，阿皮亚疑似手球回传，裁判未予判罚，萨拉禁区右肋10码处第一时间斜射入网
51'卡昂球员D-阿皮亚拼抢犯规,对手获得控球权.                   48'卡昂最后时刻3分钟连入2球扳平，第89分钟，阿皮亚疑似手球回传，裁判未予判罚，萨拉禁区右肋10码处第一时间斜射入网
51'拉维齐为巴黎圣日耳曼赢得一个任意球.                   48'卡昂最后时刻3分钟连入2球扳平，第89分钟，阿皮亚疑似手球回传，裁判未予判罚，萨拉禁区右肋10码处第一时间斜射入网
