6'维拉蒂分右侧默尼耶！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
6'直传姆巴佩！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
6'背身拿球被犯规了！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
6'巴黎前场右边路任意球！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
6'迪马利亚和内马尔来处理！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
6'任意球给到禁区中路！被大脚解围出去！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
7'马尔基尼奥斯得球交给维拉蒂！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
7'这边费基尔似乎无法坚持！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
8'里昂换人！科尔内换下费基尔！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
8'巴黎中路挑传禁区右侧！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
9'姆巴佩挑球后被扑倒！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
9'裁判给了点球！                   6'开场第6分钟，里昂就遭遇伤病打击，费基尔由于受伤被科尔内换下
12'里昂右侧突破下底回传！                   11'第11分钟，巴黎门前混战，恩东贝莱射门没打正部位，球被布冯拿到
12'中路的包抄射门被布冯没收了！                   11'第11分钟，巴黎门前混战，恩东贝莱射门没打正部位，球被布冯拿到
12'巴黎反击给前场左侧！                   11'第11分钟，巴黎门前混战，恩东贝莱射门没打正部位，球被布冯拿到
12'内马尔直塞球出了底线！                   11'第11分钟，巴黎门前混战，恩东贝莱射门没打正部位，球被布冯拿到
14'里昂获得前点中路任意球机会！                   11'第11分钟，巴黎门前混战，恩东贝莱射门没打正部位，球被布冯拿到
14'德佩直接打中路！布冯托出了底线！                   11'第11分钟，巴黎门前混战，恩东贝莱射门没打正部位，球被布冯拿到
14'里昂右侧角球给到禁区中路！被解围出去！                   11'第11分钟，巴黎门前混战，恩东贝莱射门没打正部位，球被布冯拿到
22'里昂获得前场右侧任意球机会！                   22'第22分钟，里昂在禁区外右侧获得任意球，特劳雷直接打门将球打高
23'任意球直接打门！                   22'第22分钟，里昂在禁区外右侧获得任意球，特劳雷直接打门将球打高
23'球高出横梁！                   22'第22分钟，里昂在禁区外右侧获得任意球，特劳雷直接打门将球打高
38'分右侧奥亚尔！突破横传被破坏出去！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
38'德佩左侧得球强行内切突破！球被断了！                   38'第38分钟，内马尔拼抢时犯规，吃到一张黄牌，巴黎用克雷尔换下卡瓦尼，保持场上四后卫
