1'上半场比赛开始了！                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
1'曼城开球                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
1'阿德巴约在中场抢断                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
1'裁判怎么就中断比赛了？                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
1'要阿德巴约到场边去？                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
1'没戴护腿板                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
2'被裁判强制到场边去戴上了再上来                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
2'阿德巴约这个...强悍了                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
3'曼城在右路控球                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
3'图雷停球失误了                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
3'克里希中场反抢回来                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
3'老枪手的对抗啊                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
3'克里希和阿德巴约，后者铲球破坏出边线                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
3'曼城中场长传过了后卫头顶，可惜阿奎罗慢了半拍                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
3'弗里德尔出击把球没收了                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
17'贝尔传前点，考尔克顶在了巴里的身上弹出底线                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
17'还是角球                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
17'这一次找中路，孔帕尼头球解围                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
18'阿奎罗被绊了一下，身体失去了平衡的情况下还能把球传出去                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
18'裁判还是吹哨了，刚才热刺3人围抢阿奎罗                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
19'火量化成:现场还有谁啊？球心---暂时只看到巴神，等会看有没有纳斯里                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
19'贝尔中路拿球，左右看了一下，还是给边路                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
19'传中找阿德巴约，被孔帕尼解围出了界外                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
20'曼城的后卫在玩火啊                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
20'前点是孔帕尼冒顶了                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
20'还好克里希抢在列侬身前干扰了一下                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
20'否则哈特要郁闷的面对单刀了                   17'第17分钟，贝尔开出角球，考克尔10码处头球攻门被科拉罗夫挡出
21'游客8101: 哲科南德斯。你们懂得---还带超级替补属性卡的                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
21'热刺频频获得了定位球机会                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
21'进了！！！                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
21'考尔克！！！                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
21'头球砸进球门！！！                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
22'热刺右边路的定位球落点极佳，中路抢点头球！考尔克！力量太大了，哈特扑了一下还是无法把球挡出去                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
22'这可真是名副其实的砸进球门                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
23'贝尔这一次尝试突破孔帕尼的防守，失败了                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
23'曼城近10多场比赛恐怕就只有上一轮0比0没有丢球吧                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
24'一直在丢球，曼奇尼赖以成名防守太空虚了                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
24'手球了么？                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
24'阿奎罗想挑过加拉，裁判没有理会                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
24'待会慢动作再来看个仔细                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
24'席尔瓦直传力量给大了                   21'热刺第21分钟取得领先，哈德斯通右路任意球传中，考克尔8码处头球冲顶势大力沉，皮球打在乔-哈特胸口后弹入大门
25'加拉确实是手球了                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
25'不过距离很近，裁判也因此没有吹点球                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
25'孔帕尼被断球了                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
25'阿德巴约内切之后脚后跟传给后排插上的队友                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
26'霍德斯通一脚低射！擦着立柱飞出底线                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
26'刚才助攻考尔克进球的正是霍德斯通                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
26'曼城今天防线还是心不在焉啊                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
27'沃克尔在身后铲球犯规领到了一张黄牌                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
27'曼城今天边路的进攻有些打不开                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
28'相比较而言热刺的边路进攻毫不逊色                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
28'阿德巴约被萨巴莱塔铲倒了                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
28'两人对喷垃圾话                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
28'不停的在骂                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
28'裁判过来警告了萨巴莱塔                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
28'联盛威武:刚来，纳斯里巴神没进大名单吗---没有                   25'第25分钟，阿德巴约左路内切后回传，哈德斯通20码处劲射紧贴左侧立柱偏出
29'阿德巴约和萨巴莱塔的直接对抗                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
29'萨巴莱塔又犯规了                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
29'裁判还掏了黄牌                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
29'阿德巴约有些找犯规的意思啊                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
29'萨巴莱塔一伸腿阿德巴约顺势倒地                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
30'热刺定位球传中，阿德巴约弧顶处没停好啊                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
30'热刺再次传中，贝尔头球顶得太偏了                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
30'萨巴莱塔也是老江湖了                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
31'怎么就被阿德巴约给刺激的犹如愣头青一样                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
31'阿德巴约一定用了嘲讽技能                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
31'这次换到图雷来防阿德巴约，后者立马就传球了                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
31'刚才打死也不传，阿德巴约明显的就是想找萨巴莱塔的麻烦                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
32'阿德巴约今天很兴奋哪                   29'第29分钟，萨巴莱塔连续对阿德巴约犯规被罚黄牌
34'裁判还是没吹犯规                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
34'霍德斯通这个身体冲撞动作很危险啊                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
35'曼城打反击的机会                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
35'擦着立柱而出啊                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
35'科拉罗夫                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
35'阿奎罗的横敲从对方两名后卫之间穿过，科拉罗夫禁区线上的打门差了一点                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
36'邓普西被纳斯塔西奇放翻了                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
36'曼城的犯规实在是太多了一些                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
