2'富勒姆球员达夫拼抢犯规,对手获得控球权.                   1'第1分钟波澜不惊
2'阿扎尔为切尔西在右路,赢得一个任意球.                   1'第1分钟波澜不惊
18'富勒姆球员贝尔巴托夫大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是里瑟.                   16'第16分钟，蓝军球迷再度向前主帅致敬，起立鼓掌并高唱“只有一个迪马特奥”
25'切尔西球员大卫-路易斯大禁区外尝试右脚射门,可惜皮球高出球门.                   25'第25分钟，路易斯在门前26米处主罚任意球高出
26'切尔西球员伯特兰德一脚直塞球给托雷斯,但是边裁举旗显示后者已经越位.                   25'第25分钟，路易斯在门前26米处主罚任意球高出
37'射门!!!富勒姆球员罗达莱加大禁区外右脚射门,被对方守门员横身扑出.给他传球的是里特.                   37'第37分钟，里特右路低传，罗达列加在门前25米处低射被切赫得到
38'里瑟将球处理出底线,切尔西获得角球.                   37'第37分钟，里特右路低传，罗达列加在门前25米处低射被切赫得到
39'卡拉古尼斯将球处理出底线,切尔西获得角球.                   37'第37分钟，里特右路低传，罗达列加在门前25米处低射被切赫得到
55'切尔西球员托雷斯大禁区外右脚射门,被防守球员封堵.给他传球的是A-科尔.                   55'下半时开始10分钟，富勒姆错过进球良机，卡拉古尼斯中场右侧长传，里瑟胸部停球突入禁区左侧，在门前8米处左脚凌空抽射却没有踢正部位，球弹地后被切赫和路易斯联手封堵
55'西德维尔将球处理出底线,切尔西获得角球.                   55'下半时开始10分钟，富勒姆错过进球良机，卡拉古尼斯中场右侧长传，里瑟胸部停球突入禁区左侧，在门前8米处左脚凌空抽射却没有踢正部位，球弹地后被切赫和路易斯联手封堵
55'富勒姆球员里瑟大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卡拉古尼斯.                   55'下半时开始10分钟，富勒姆错过进球良机，卡拉古尼斯中场右侧长传，里瑟胸部停球突入禁区左侧，在门前8米处左脚凌空抽射却没有踢正部位，球弹地后被切赫和路易斯联手封堵
56'射门!!!切尔西球员拉米雷斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是伯特兰德.                   55'下半时开始10分钟，富勒姆错过进球良机，卡拉古尼斯中场右侧长传，里瑟胸部停球突入禁区左侧，在门前8米处左脚凌空抽射却没有踢正部位，球弹地后被切赫和路易斯联手封堵
65'罗达莱加将球处理出底线,切尔西获得角球.                   65'第65分钟，马塔开出角球，伊万诺维奇争顶偏出
65'切尔西球员伊万诺维奇球门线跟前尝试,可惜皮球稍稍偏出了左球门.给他传球的是马塔.                   65'第65分钟，马塔开出角球，伊万诺维奇争顶偏出
68'西德维尔为富勒姆在对方半场,赢得一个任意球.                   65'第65分钟，马塔开出角球，伊万诺维奇争顶偏出
68'切尔西球员罗梅乌拼抢犯规,对手获得控球权.                   65'第65分钟，马塔开出角球，伊万诺维奇争顶偏出
68'切尔西球员伊万诺维奇被主裁判出示了一张黄牌.                   65'第65分钟，马塔开出角球，伊万诺维奇争顶偏出
68'射门!!!富勒姆球员贝尔德大禁区外右脚射门,被对方守门员横身扑出.给他传球的是西德维尔.                   65'第65分钟，马塔开出角球，伊万诺维奇争顶偏出
70'切尔西球员阿扎尔大禁区外右脚射门,被防守球员封堵.给他传球的是马塔.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
70'西德维尔将球处理出底线,切尔西获得角球.                   70'第70分钟，阿扎尔左侧禁区前沿转身低射被西德维尔挡出底线
