4'曼联球员鲁尼大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉斐尔.                   4'第4分钟，拉斐尔传球，鲁尼25码处劲射偏出
5'埃弗拉将球处理出底线,埃弗顿获得角球.                   4'第4分钟，拉斐尔传球，鲁尼25码处劲射偏出
6'埃弗顿球员皮纳尔大禁区右侧右脚射门,被防守球员封堵.给他传球的是拜恩斯.                   4'第4分钟，拉斐尔传球，鲁尼25码处劲射偏出
6'埃弗顿球员皮纳尔大禁区右侧右脚射门,被防守球员封堵.                   4'第4分钟，拉斐尔传球，鲁尼25码处劲射偏出
6'埃弗顿球员吉布森大禁区外右脚射门,被防守球员封堵.                   4'第4分钟，拉斐尔传球，鲁尼25码处劲射偏出
6'曼联球员吉格斯一脚直塞球给瓦伦西亚,但是边裁举旗显示后者已经越位.                   4'第4分钟，拉斐尔传球，鲁尼25码处劲射偏出
10'曼联球员范佩西球门右侧小角度右脚射门,命中门柱右侧立柱.给他传球的是鲁尼.                   10'曼联第10分钟险些破门，鲁尼直传，范佩西禁区右侧晃过霍华德后小角度射门憾中近角立柱
10'拜恩斯将球处理出底线,曼联获得角球.                   10'曼联第10分钟险些破门，鲁尼直传，范佩西禁区右侧晃过霍华德后小角度射门憾中近角立柱
12'埃弗顿球员米纳拉斯拼抢犯规,对手获得控球权.                   10'曼联第10分钟险些破门，鲁尼直传，范佩西禁区右侧晃过霍华德后小角度射门憾中近角立柱
12'菲尔-琼斯为曼联在右路,赢得一个任意球.                   10'曼联第10分钟险些破门，鲁尼直传，范佩西禁区右侧晃过霍华德后小角度射门憾中近角立柱
13'进球啦！！！曼联球员吉格斯大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是范佩西. 曼联 1-0 埃弗顿.                   10'曼联第10分钟险些破门，鲁尼直传，范佩西禁区右侧晃过霍华德后小角度射门憾中近角立柱
20'曼联球员菲尔-琼斯大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是瓦伦西亚.                   20'第20分钟，瓦伦西亚传球，菲尔-琼斯20码处左脚抽射偏出
22'埃弗拉将球处理出底线,埃弗顿获得角球.                   20'第20分钟，瓦伦西亚传球，菲尔-琼斯20码处左脚抽射偏出
23'拜恩斯将球处理出底线,曼联获得角球.                   20'第20分钟，瓦伦西亚传球，菲尔-琼斯20码处左脚抽射偏出
