1'阿斯顿维拉球员阿邦拉霍拼抢犯规,对手获得控球权.                   1'双方第1分钟都十分小心谨慎立足防守
1'萨巴莱塔为曼城赢得一个任意球.                   1'双方第1分钟都十分小心谨慎立足防守
21'萨巴莱塔将球处理出底线,阿斯顿维拉获得角球.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
21'阿斯顿维拉球员本特克大禁区中央头球,被防守球员封堵.给他传球的是恩佐比亚.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
21'阿斯顿维拉球员洛顿大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
22'射门!!!曼城球员罗德维尔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是席尔瓦.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
22'古赞将球处理出底线,曼城获得角球.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
22'曼城球员哈维-加西亚拼抢犯规,对手获得控球权.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
22'夏兰-克拉克为阿斯顿维拉赢得一个任意球.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
23'曼城罗德维尔受伤倒地,比赛暂停                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
24'暂停结束,球员们重新开始比赛.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
24'曼城球员席尔瓦拼抢犯规,对手获得控球权.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
24'巴克尔为阿斯顿维拉赢得一个任意球.                   21'维拉第21分钟险些破门，恩佐比亚开出角球，本特克11码处头球攻门被特维斯在门线前解围
25'曼城换人,哲科上,罗德维尔因伤下场.                   25'第25分钟，哲科换下受伤的罗德维尔
26'亚亚-图雷为曼城赢得一个任意球.                   25'第25分钟，哲科换下受伤的罗德维尔
26'阿斯顿维拉球员恩佐比亚拼抢犯规,对手获得控球权.                   25'第25分钟，哲科换下受伤的罗德维尔
26'洛顿为阿斯顿维拉赢得一个任意球.                   25'第25分钟，哲科换下受伤的罗德维尔
26'曼城球员哲科拼抢犯规,对手获得控球权.                   25'第25分钟，哲科换下受伤的罗德维尔
27'阿斯顿维拉球员巴克尔一脚直塞球给恩佐比亚,但是边裁举旗显示后者已经越位.                   25'第25分钟，哲科换下受伤的罗德维尔
37'射门!!!曼城球员萨巴莱塔大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是席尔瓦.                   37'第37分钟，席尔瓦传球，萨巴莱塔禁区右侧12码处左脚射门憾中远角立柱弹回
38'阿斯顿维拉球员古赞一脚直塞球给本特克,但是边裁举旗显示后者已经越位.                   37'第37分钟，席尔瓦传球，萨巴莱塔禁区右侧12码处左脚射门憾中远角立柱弹回
39'维斯特伍德将球处理出底线,曼城获得角球.                   37'第37分钟，席尔瓦传球，萨巴莱塔禁区右侧12码处左脚射门憾中远角立柱弹回
39'曼城球员米尔纳大禁区左侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是席尔瓦.                   37'第37分钟，席尔瓦传球，萨巴莱塔禁区右侧12码处左脚射门憾中远角立柱弹回
41'射门!!!曼城球员特维斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是亚亚-图雷.                   41'第41分钟，亚亚-图雷传球，特维斯左路禁区边缘外劲射被古赞扑出
41'射门!!!曼城球员哲科大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是席尔瓦.                   41'第41分钟，亚亚-图雷传球，特维斯左路禁区边缘外劲射被古赞扑出
42'阿斯顿维拉球员维斯特伍德大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是阿邦拉霍.                   41'第41分钟，亚亚-图雷传球，特维斯左路禁区边缘外劲射被古赞扑出
43'本特克为阿斯顿维拉赢得一个任意球.                   41'第41分钟，亚亚-图雷传球，特维斯左路禁区边缘外劲射被古赞扑出
43'曼城球员科洛-图雷拼抢犯规,对手获得控球权.                   41'第41分钟，亚亚-图雷传球，特维斯左路禁区边缘外劲射被古赞扑出
48'曼城球员纳斯塔西奇大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是哲科.                   48'第48分钟，哲科角球混战中头球摆渡，纳斯塔西奇射门偏出
50'本特克为阿斯顿维拉在对方半场,赢得一个任意球.                   48'第48分钟，哲科角球混战中头球摆渡，纳斯塔西奇射门偏出
50'曼城球员哈维-加西亚拼抢犯规,对手获得控球权.                   48'第48分钟，哲科角球混战中头球摆渡，纳斯塔西奇射门偏出
51'阿斯顿维拉球员夏兰-克拉克大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是维斯特伍德.                   48'第48分钟，哲科角球混战中头球摆渡，纳斯塔西奇射门偏出
52'曼城球员特维斯大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是米尔纳.                   52'第52分钟，米尔纳传球，特维斯禁区前射门打偏
52'阿斯顿维拉球员阿邦拉霍拼抢犯规,对手获得控球权.                   52'第52分钟，米尔纳传球，特维斯禁区前射门打偏
52'萨巴莱塔为曼城赢得一个任意球.                   52'第52分钟，米尔纳传球，特维斯禁区前射门打偏
53'阿邦拉霍为阿斯顿维拉赢得一个任意球.                   52'第52分钟，米尔纳传球，特维斯禁区前射门打偏
53'曼城球员亚亚-图雷拼抢犯规,对手获得控球权.                   52'第52分钟，米尔纳传球，特维斯禁区前射门打偏
55'曼城球员特维斯大禁区中央右脚射门,被防守球员封堵.                   52'第52分钟，米尔纳传球，特维斯禁区前射门打偏
62'阿斯顿维拉球员本特克大禁区中央头球,被防守球员封堵.给他传球的是恩佐比亚.                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
62'哲科将球处理出底线,阿斯顿维拉获得角球.                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
63'阿斯顿维拉球员德尔菲拼抢犯规,对手获得控球权.                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
63'米尔纳为曼城在左路,赢得一个任意球.                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
64'阿斯顿维拉球员巴克尔拼抢犯规,对手获得控球权.                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
64'亚亚-图雷为曼城在对方半场,赢得一个任意球.                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
65'曼城球员特维斯大禁区外右脚射门,被防守球员封堵.                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
65'洛顿为阿斯顿维拉赢得一个任意球.                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
65'曼城球员米尔纳拼抢犯规,对手获得控球权.                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
65'阿斯顿维拉换人,霍尔曼换下恩佐比亚                   62'第62分钟，维曼右路传中，阿邦拉霍前点头球攻门被科洛-图雷挡出
65'曼城球员特维斯大禁区外右脚射门,被防守球员封堵.                   65'第65分钟，特维斯禁区边缘任意球射门被人墙挡出
65'洛顿为阿斯顿维拉赢得一个任意球.                   65'第65分钟，特维斯禁区边缘任意球射门被人墙挡出
65'曼城球员米尔纳拼抢犯规,对手获得控球权.                   65'第65分钟，特维斯禁区边缘任意球射门被人墙挡出
65'阿斯顿维拉换人,霍尔曼换下恩佐比亚                   65'第65分钟，特维斯禁区边缘任意球射门被人墙挡出
66'阿斯顿维拉球员洛顿大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿邦拉霍.                   65'第65分钟，特维斯禁区边缘任意球射门被人墙挡出
68'哈维-加西亚将球处理出底线,阿斯顿维拉获得角球.                   65'第65分钟，特维斯禁区边缘任意球射门被人墙挡出
72'射门!!!曼城球员亚亚-图雷大禁区外左脚射门,被对方守门员横身扑出.给他传球的是席尔瓦.                   72'第72分钟，席尔瓦传球，亚亚-图雷禁区边缘外低射打中左侧立柱弹回，哲科补射破门因越位在先被判无效
72'曼城球员亚亚-图雷一脚直塞球给哲科,但是边裁举旗显示后者已经越位.                   72'第72分钟，席尔瓦传球，亚亚-图雷禁区边缘外低射打中左侧立柱弹回，哲科补射破门因越位在先被判无效
72'阿斯顿维拉球员本特克手球犯规,对手获得球权.                   72'第72分钟，席尔瓦传球，亚亚-图雷禁区边缘外低射打中左侧立柱弹回，哲科补射破门因越位在先被判无效
73'曼城球员哲科大禁区左侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是科洛-图雷.                   72'第72分钟，席尔瓦传球，亚亚-图雷禁区边缘外低射打中左侧立柱弹回，哲科补射破门因越位在先被判无效
75'阿斯顿维拉球员本特克拼抢犯规,对手获得控球权.                   72'第72分钟，席尔瓦传球，亚亚-图雷禁区边缘外低射打中左侧立柱弹回，哲科补射破门因越位在先被判无效
75'纳斯塔西奇为曼城赢得一个任意球.                   72'第72分钟，席尔瓦传球，亚亚-图雷禁区边缘外低射打中左侧立柱弹回，哲科补射破门因越位在先被判无效
75'黄牌！阿斯顿维拉球员本特克因为恶意犯规,被主裁判出示黄牌.                   72'第72分钟，席尔瓦传球，亚亚-图雷禁区边缘外低射打中左侧立柱弹回，哲科补射破门因越位在先被判无效
75'曼城换人,纳斯里换下特维斯                   72'第72分钟，席尔瓦传球，亚亚-图雷禁区边缘外低射打中左侧立柱弹回，哲科补射破门因越位在先被判无效
75'阿斯顿维拉球员本特克拼抢犯规,对手获得控球权.                   75'第75分钟，本特克争顶中肘击纳斯塔西奇被罚黄牌
75'纳斯塔西奇为曼城赢得一个任意球.                   75'第75分钟，本特克争顶中肘击纳斯塔西奇被罚黄牌
75'黄牌！阿斯顿维拉球员本特克因为恶意犯规,被主裁判出示黄牌.                   75'第75分钟，本特克争顶中肘击纳斯塔西奇被罚黄牌
75'曼城换人,纳斯里换下特维斯                   75'第75分钟，本特克争顶中肘击纳斯塔西奇被罚黄牌
76'夏兰-克拉克将球处理出底线,曼城获得角球.                   75'第75分钟，本特克争顶中肘击纳斯塔西奇被罚黄牌
80'阿斯顿维拉球员维曼大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是贝内特.                   80'第80分钟，班尼特左路传中，维曼禁区右侧的抽射偏出
83'夏兰-克拉克将球处理出底线,曼城获得角球.                   80'第80分钟，班尼特左路传中，维曼禁区右侧的抽射偏出
