2'阿森纳球员吉鲁一脚直塞球给沃尔科特,但是边裁举旗显示后者已经越位.                   2'第2分钟，吉鲁直传，沃尔科特的进球因越位在先被判无效
4'富勒姆球员理查德森拼抢犯规,对手获得控球权.                   2'第2分钟，吉鲁直传，沃尔科特的进球因越位在先被判无效
4'沃尔科特为阿森纳在右路,赢得一个任意球.                   2'第2分钟，吉鲁直传，沃尔科特的进球因越位在先被判无效
20'射门!!!富勒姆球员贝尔巴托夫大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是埃马纽尔森.                   20'前20分钟，阿森纳控制场上局面，但拉姆塞和吉鲁的射门均被封堵，沃尔科特的外围射门也未给施瓦泽带来麻烦
21'斯泽斯尼将球处理出底线,富勒姆获得角球.                   20'前20分钟，阿森纳控制场上局面，但拉姆塞和吉鲁的射门均被封堵，沃尔科特的外围射门也未给施瓦泽带来麻烦
23'富勒姆球员卡坎克利奇大禁区左侧左脚射门,被防守球员封堵.                   20'前20分钟，阿森纳控制场上局面，但拉姆塞和吉鲁的射门均被封堵，沃尔科特的外围射门也未给施瓦泽带来麻烦
23'默特萨克将球处理出底线,富勒姆获得角球.                   20'前20分钟，阿森纳控制场上局面，但拉姆塞和吉鲁的射门均被封堵，沃尔科特的外围射门也未给施瓦泽带来麻烦
23'富勒姆球员理查德森大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   20'前20分钟，阿森纳控制场上局面，但拉姆塞和吉鲁的射门均被封堵，沃尔科特的外围射门也未给施瓦泽带来麻烦
23'富勒姆球员卡坎克利奇大禁区左侧左脚射门,被防守球员封堵.                   23'第23分钟，卡卡尼克里奇禁区左侧的射门被默特萨克挡出，随后里查德森外围射门偏出
23'默特萨克将球处理出底线,富勒姆获得角球.                   23'第23分钟，卡卡尼克里奇禁区左侧的射门被默特萨克挡出，随后里查德森外围射门偏出
23'富勒姆球员理查德森大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   23'第23分钟，卡卡尼克里奇禁区左侧的射门被默特萨克挡出，随后里查德森外围射门偏出
24'阿森纳球员吉鲁大禁区外左脚射门,被防守球员封堵.给他传球的是阿尔特塔.                   23'第23分钟，卡卡尼克里奇禁区左侧的射门被默特萨克挡出，随后里查德森外围射门偏出
35'阿森纳球员吉鲁大禁区左侧左脚射门,命中门柱右侧立柱.给他传球的是卡佐拉.                   35'第35分钟，卡索拉传球，吉鲁禁区左侧射门从汉格兰德双腿间穿过，但皮球遗憾打中远角立柱弹出
36'贝尔巴托夫为富勒姆赢得一个任意球.                   35'第35分钟，卡索拉传球，吉鲁禁区左侧射门从汉格兰德双腿间穿过，但皮球遗憾打中远角立柱弹出
36'阿森纳球员拉姆塞拼抢犯规,对手获得控球权.                   35'第35分钟，卡索拉传球，吉鲁禁区左侧射门从汉格兰德双腿间穿过，但皮球遗憾打中远角立柱弹出
43'阿森纳球员科斯切尔尼小禁区左侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是沃尔科特.                   43'阿森纳第43分钟打破僵局，沃尔科特任意球传中，科斯切尔尼头球摆渡，默特萨克近距离头球破门
43'进球啦！！！阿森纳球员默特萨克球门线跟前头球,球从中路飞进球门,球进了!助攻的是科斯切尔尼. 富勒姆 0-1 阿森纳.                   43'阿森纳第43分钟打破僵局，沃尔科特任意球传中，科斯切尔尼头球摆渡，默特萨克近距离头球破门
45'+3'上半场结束,富勒姆 0-1 阿森纳,稍事休息,我们一会来看看下半场两队的表现.                   43'阿森纳第43分钟打破僵局，沃尔科特任意球传中，科斯切尔尼头球摆渡，默特萨克近距离头球破门
56'理查德森将球处理出底线,阿森纳获得角球.                   56'阿森纳第56分钟首获角球被解围
56'汉格兰德将球处理出底线,阿森纳获得角球.                   56'阿森纳第56分钟首获角球被解围
57'阿森纳球员科斯切尔尼手球犯规,对手获得球权.                   56'阿森纳第56分钟首获角球被解围
58'富勒姆球员曼诺列夫一脚直塞球给贝尔巴托夫,但是边裁举旗显示后者已经越位.                   56'阿森纳第56分钟首获角球被解围
70'科斯切尔尼将球处理出底线,富勒姆获得角球.                   70'第70分钟，马诺勒夫反击中右路传中偏向大门被斯泽斯尼托出
71'阿森纳换人,威尔谢尔换下沃尔科特                   70'第70分钟，马诺勒夫反击中右路传中偏向大门被斯泽斯尼托出
72'阿森纳换人,波多尔斯基换下罗西基                   70'第70分钟，马诺勒夫反击中右路传中偏向大门被斯泽斯尼托出
73'富勒姆球员曼诺列夫拼抢犯规,对手获得控球权.                   70'第70分钟，马诺勒夫反击中右路传中偏向大门被斯泽斯尼托出
73'威尔谢尔为阿森纳在左路,赢得一个任意球.                   70'第70分钟，马诺勒夫反击中右路传中偏向大门被斯泽斯尼托出
76'鲁伊斯为富勒姆在对方半场,赢得一个任意球.                   76'第76分钟，拉姆塞禁区前对布莱恩-鲁伊斯犯规被罚黄牌，里查德森任意球直接射门被斯泽斯尼勉强扑出，马诺勒夫补射入网因越位在先被判无效
76'阿森纳球员拉姆塞拼抢犯规,对手获得控球权.                   76'第76分钟，拉姆塞禁区前对布莱恩-鲁伊斯犯规被罚黄牌，里查德森任意球直接射门被斯泽斯尼勉强扑出，马诺勒夫补射入网因越位在先被判无效
76'黄牌！阿森纳球员拉姆塞因为恶意犯规,被主裁判出示黄牌.                   76'第76分钟，拉姆塞禁区前对布莱恩-鲁伊斯犯规被罚黄牌，里查德森任意球直接射门被斯泽斯尼勉强扑出，马诺勒夫补射入网因越位在先被判无效
77'射门!!!富勒姆球员理查德森大禁区外左脚射门,被对方守门员横身扑出.                   76'第76分钟，拉姆塞禁区前对布莱恩-鲁伊斯犯规被罚黄牌，里查德森任意球直接射门被斯泽斯尼勉强扑出，马诺勒夫补射入网因越位在先被判无效
77'富勒姆球员理查德森一脚直塞球给曼诺列夫,但是边裁举旗显示后者已经越位.                   76'第76分钟，拉姆塞禁区前对布莱恩-鲁伊斯犯规被罚黄牌，里查德森任意球直接射门被斯泽斯尼勉强扑出，马诺勒夫补射入网因越位在先被判无效
78'鲁伊斯为富勒姆在对方半场,赢得一个任意球.                   76'第76分钟，拉姆塞禁区前对布莱恩-鲁伊斯犯规被罚黄牌，里查德森任意球直接射门被斯泽斯尼勉强扑出，马诺勒夫补射入网因越位在先被判无效
78'阿森纳球员默特萨克拼抢犯规,对手获得控球权.                   76'第76分钟，拉姆塞禁区前对布莱恩-鲁伊斯犯规被罚黄牌，里查德森任意球直接射门被斯泽斯尼勉强扑出，马诺勒夫补射入网因越位在先被判无效
79'富勒姆球员贝尔巴托夫大禁区外右脚射门,被防守球员封堵.                   76'第76分钟，拉姆塞禁区前对布莱恩-鲁伊斯犯规被罚黄牌，里查德森任意球直接射门被斯泽斯尼勉强扑出，马诺勒夫补射入网因越位在先被判无效
90'曼诺列夫为富勒姆赢得一个任意球.                   90'第90分钟，吉鲁铲倒马诺勒夫也被红牌直接罚下
90'阿森纳球员吉鲁拼抢犯规,对手获得控球权.                   90'第90分钟，吉鲁铲倒马诺勒夫也被红牌直接罚下
90'阿森纳球员吉鲁因为恶意犯规,被裁判直接红牌罚下.                   90'第90分钟，吉鲁铲倒马诺勒夫也被红牌直接罚下
90'+1'拉姆塞将球处理出底线,富勒姆获得角球.                   90'第90分钟，吉鲁铲倒马诺勒夫也被红牌直接罚下
90'+3'蒙雷亚尔将球处理出底线,富勒姆获得角球.                   90'第90分钟，吉鲁铲倒马诺勒夫也被红牌直接罚下
90'+3'阿森纳换人,维尔玛伦换下卡佐拉                   90'第90分钟，吉鲁铲倒马诺勒夫也被红牌直接罚下
90'+4'阿森纳球员拉姆塞大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是威尔谢尔.                   90'第90分钟，吉鲁铲倒马诺勒夫也被红牌直接罚下
