7'曼城断球打反击                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
7'特维斯给到左路，纳斯里！                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
7'回给特维斯！在禁区弧顶的抽射打得太正了                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
8'雅斯科莱宁大脚开出球门球                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
9'阿奎罗在德梅尔的干扰下，把球差点带出界                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
9'萨巴莱塔为曼城制造了一个角球                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
9'席尔瓦来处理                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
9'传前点，特维斯转身用脚一勾！还是角球                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
10'继续传前点，卡罗尔头球解围出去                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
10'图雷的传中貌似打在了后卫的手上                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
10'但是韦伯没有做出反应                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
21'特维斯外脚背一撩，席尔瓦顺势回敲！                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
21'特维斯换到左脚搓射！打高了                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
22'巴里带球反击，传球速度稍微慢了半拍                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
22'阿奎罗处在越位位置不敢拿                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
22'而后排插上的纳斯里速度还没跟上                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
22'莱斯科特抢断对方的直塞球                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
22'阿奎罗！立柱！！！                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
23'席尔瓦变向扣过了诺兰，挑给阿奎罗！                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
23'打门没吃正部位！阿奎罗把球打在了立柱上面                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
23'萨巴莱塔断下卡罗尔的传球，反击长传！                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
23'阿奎罗稍稍越位了                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
23'边裁看得很准                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
24'比赛第23分钟                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
24'全场球迷起立鼓掌                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
24'纪念10年前去世的曼城中场维维安福                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
24'而维维安福同样也效力过西汉姆                   21'第21分钟，特维斯同阿圭罗配合后禁区弧顶射门高出
23'席尔瓦变向扣过了诺兰，挑给阿奎罗！                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
23'打门没吃正部位！阿奎罗把球打在了立柱上面                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
23'萨巴莱塔断下卡罗尔的传球，反击长传！                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
23'阿奎罗稍稍越位了                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
23'边裁看得很准                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
24'比赛第23分钟                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
24'全场球迷起立鼓掌                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
24'纪念10年前去世的曼城中场维维安福                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
