7'席尔瓦传中到后点，米楚头球解围                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
7'纳斯里瞄准落下的皮球，凌空抽射！可惜打高了                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
7'小李子: 有热门啊，苏亚雷斯不是传出要转会---到哪里？                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
8'张飞张宇张飞宇:跪求曼奇尼不要连任。卖给曼联吧---哈哈，曼联球迷不愿意吧                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
8'豪放的Life:球心啊，你是不是很喜欢曼城？---为什么不喜欢呢？                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
8'克里希带球到了底线！                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
8'在对方后卫的干扰下传中没踢上球                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
9'图雷断下对方的挑传球                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
9'席尔瓦有机会打门的                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
9'选择了横敲！                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
9'萨巴莱塔顺势一做，给了米尔纳！                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
10'曼城的射门最终被后卫堵了枪眼                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
10'德古斯曼带球反击，被铲倒了                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
10'代尔在边路，传中球到后点！                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
10'裁判吹哨了，出了底线                   7'第7分钟，斯旺西解围角球，纳斯里禁区边缘外的射门偏出
17'威廉姆斯长传，米尔纳头球顶空了                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
17'劳特利奇！边路突破进去了                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
17'传中到了禁区中路！                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
18'埃尔南德斯居然推高了                   17'斯旺西第17分钟也首获机会，代尔禁区右侧传中，无人防守的巴勃罗-埃尔南德斯12码处射门偏出
