3'琼斯右路过渡到中路，卡纳斯飞铲铲飞了克莱维利                   3'开场仅3分钟，卡纳斯中场飞铲克莱维利被黄牌警告
4'卡纳斯吃到一张黄牌！他是夏季由皇家贝蒂斯转会而来                   3'开场仅3分钟，卡纳斯中场飞铲克莱维利被黄牌警告
4'谢尔维右路得球，边路传中被费迪南德头球解围出底线                   3'开场仅3分钟，卡纳斯中场飞铲克莱维利被黄牌警告
5'谢尔维角球没有踢起来，前点被维迪奇解围                   3'开场仅3分钟，卡纳斯中场飞铲克莱维利被黄牌警告
5'劳特里奇再搓传禁区，球被吉格斯头球解围                   3'开场仅3分钟，卡纳斯中场飞铲克莱维利被黄牌警告
6'维尔贝克接应一下回传给维迪奇，维迪奇比较狼狈交给德赫亚                   3'开场仅3分钟，卡纳斯中场飞铲克莱维利被黄牌警告
6'琼斯的大脚开球也是斯旺西后卫的控制范围内                   3'开场仅3分钟，卡纳斯中场飞铲克莱维利被黄牌警告
48'P埃尔南德斯传球，米楚接应再直塞失误                   48'曼联3分钟连入2球取得领先，第34分钟，吉格斯挑传，奇科解围落空，范佩西10码处凌空抽射破门
49'斯旺西将球转移到左路，戴维斯传到禁区，博尼左脚打门打偏                   48'曼联3分钟连入2球取得领先，第34分钟，吉格斯挑传，奇科解围落空，范佩西10码处凌空抽射破门
49'更正一下，博尼换下的是7号布林顿！                   48'曼联3分钟连入2球取得领先，第34分钟，吉格斯挑传，奇科解围落空，范佩西10码处凌空抽射破门
50'米楚接应长传头球摆渡下来，博尼跟进趟大了                   48'曼联3分钟连入2球取得领先，第34分钟，吉格斯挑传，奇科解围落空，范佩西10码处凌空抽射破门
50'代尔右路短传交中路的米楚，米楚左脚大力轰门，德赫亚扑球有点脱手，第二反应很快将球摁在身下                   48'曼联3分钟连入2球取得领先，第34分钟，吉格斯挑传，奇科解围落空，范佩西10码处凌空抽射破门
51'斯旺西前场疯狂的反抢，代尔断球                   48'曼联3分钟连入2球取得领先，第34分钟，吉格斯挑传，奇科解围落空，范佩西10码处凌空抽射破门
51'球转移到右路的兰杰尔，兰杰尔大力传向禁区内被卡里克大脚破坏出底线                   48'曼联3分钟连入2球取得领先，第34分钟，吉格斯挑传，奇科解围落空，范佩西10码处凌空抽射破门
51'斯旺西前场右路的角球机会                   48'曼联3分钟连入2球取得领先，第34分钟，吉格斯挑传，奇科解围落空，范佩西10码处凌空抽射破门
50'米楚接应长传头球摆渡下来，博尼跟进趟大了                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
50'代尔右路短传交中路的米楚，米楚左脚大力轰门，德赫亚扑球有点脱手，第二反应很快将球摁在身下                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
51'斯旺西前场疯狂的反抢，代尔断球                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
51'球转移到右路的兰杰尔，兰杰尔大力传向禁区内被卡里克大脚破坏出底线                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
51'斯旺西前场右路的角球机会                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
52'谢尔维角球传到禁区，第一点被维迪奇头球蹭出禁区                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
52'外围卡纳斯尝试远距离打门，皮球没有被压住                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
52'现场的雨势再次大了起来                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
53'卡纳斯后场接应一下，转移到右路                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
53'兰杰尔斜传禁区，博尼头球摆渡到门前，米楚外脚背捅射被德赫亚封出底线                   50'第50分钟，代尔传球，米楚22码处劲射被德赫亚扑挡后没收
60'埃弗拉前场送出落点极佳的斜传，范佩西小禁区线上起跳头球攻门顶得有点正，沃姆将球抱住！                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
61'曼联前场三人配合，维尔贝克挑传对方后卫身后，吉格斯反插上可惜速度远不如当年了。。。                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
61'吉格斯想将球分给身旁的维尔贝克但没能传过去                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
62'埃弗拉左路又来了，代尔紧缠着他，埃弗拉回做一下                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
62'谢尔维前场护好球交给代尔                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
62'卡里克直塞禁区前沿，齐科将球解围                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
62'代尔带球内切被克莱维利放倒                   60'第60分钟，瓦伦西亚头球摆渡，范佩西禁区右侧8码处外脚背弹射擦远角立柱偏出
