5'埃弗顿球员卢卡库大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   5'第5分钟，迪斯丁传球，切尔西外租中锋卢卡库20码处劲射偏出
8'埃弗顿球员卢卡库大禁区左侧左脚射门,被防守球员封堵.给他传球的是麦卡锡.                   5'第5分钟，迪斯丁传球，切尔西外租中锋卢卡库20码处劲射偏出
8'维迪奇将球处理出底线,埃弗顿获得角球.                   5'第5分钟，迪斯丁传球，切尔西外租中锋卢卡库20码处劲射偏出
16'射门!!!曼联球员鲁尼大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是埃弗拉.                   16'第16分钟，埃弗拉传球，鲁尼禁区左侧小角度劲射被霍华德扑出，试图补射的埃弗拉手球犯规
16'曼联球员埃弗拉手球犯规,对手获得球权.                   16'第16分钟，埃弗拉传球，鲁尼禁区左侧小角度劲射被霍华德扑出，试图补射的埃弗拉手球犯规
16'埃弗顿皮纳尔受伤倒地,比赛暂停                   16'第16分钟，埃弗拉传球，鲁尼禁区左侧小角度劲射被霍华德扑出，试图补射的埃弗拉手球犯规
17'暂停结束,球员们重新开始比赛.                   16'第16分钟，埃弗拉传球，鲁尼禁区左侧小角度劲射被霍华德扑出，试图补射的埃弗拉手球犯规
22'射门!!!曼联球员香川真司大禁区左侧左脚射门,被对方守门员横身扑出.                   22'第22分钟，香川真司强突禁区左肋的射门被霍华德神勇救出，但回放显示日本人有越位嫌疑
24'曼联球员吉格斯大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是拉斐尔.                   22'第22分钟，香川真司强突禁区左肋的射门被霍华德神勇救出，但回放显示日本人有越位嫌疑
27'奥维多将球处理出底线,曼联获得角球.                   27'第27分钟，斯马林禁区右侧小角度射近角偏出
27'曼联球员斯马林球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是鲁尼.                   27'第27分钟，斯马林禁区右侧小角度射近角偏出
29'曼联球员鲁尼大禁区外右脚射门,命中门柱右侧立柱.给他传球的是吉格斯.                   27'第27分钟，斯马林禁区右侧小角度射近角偏出
29'巴克利为埃弗顿赢得一个任意球.                   27'第27分钟，斯马林禁区右侧小角度射近角偏出
29'曼联球员费莱尼拼抢犯规,对手获得控球权.                   27'第27分钟，斯马林禁区右侧小角度射近角偏出
30'埃弗顿球员奥维多拼抢犯规,对手获得控球权.                   27'第27分钟，斯马林禁区右侧小角度射近角偏出
30'拉斐尔为曼联赢得一个任意球.                   27'第27分钟，斯马林禁区右侧小角度射近角偏出
32'曼联球员维迪奇大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是吉格斯.                   32'第32分钟，吉格斯开出角球，维迪奇头球攻门偏出
43'射门!!!曼联球员鲁尼球门线跟前右脚射门,被对方守门员横身扑出.                   43'第43分钟，香川真司禁区左侧传中，维尔贝克和鲁尼近距离均错过机会，皮球被挡回门前，鲁尼近距离钩射被霍华德拿下
44'埃弗顿球员皮纳尔一脚直塞球给米拉拉斯,但是边裁举旗显示后者已经越位.                   43'第43分钟，香川真司禁区左侧传中，维尔贝克和鲁尼近距离均错过机会，皮球被挡回门前，鲁尼近距离钩射被霍华德拿下
45'埃弗顿球员皮纳尔拼抢犯规,对手获得控球权.                   43'第43分钟，香川真司禁区左侧传中，维尔贝克和鲁尼近距离均错过机会，皮球被挡回门前，鲁尼近距离钩射被霍华德拿下
