7'可惜路易斯的传球力量过大，阿扎尔拼尽全力，还是没拿到，球出底线                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
7'不过对于这个传球，阿扎尔还是给路易斯亮出大拇指                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
8'胡尔城的前场进攻，利维摩尔禁区外直接一脚远射，切赫跪在地上将球拿到                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
8'威廉前场拿球，斜传找奥斯卡被后卫挡出                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
8'不过球权还在切尔西球员脚下，奥斯卡右路拿球，强突下底，可惜脚下打滑，球丢啦                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
9'胡尔城的右路反击，艾莫哈马蒂右路强突科尔                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
9'科尔被甩到身后，艾莫哈马蒂带球下底传中                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
9'卡希尔前点将球解围出禁区                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
10'科尔现在一对一防守很吃力啊，看来还是老了哦                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
10'阿扎尔左路拿球，强突一过二，低平球直塞时被第三名上来的胡尔城球员挡出                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
10'拉米雷斯上来将球控制，切尔西前场继续进攻                   7'第7分钟，埃尔默罕迈迪30码处远射被切赫没收
22'威廉拿球，横趟后交给阿兹皮利奎塔                   22'第22分钟，萨格博左路回传，前热刺中场利弗莫尔25码处冷射被切赫扑出
22'阿兹皮利奎塔再直塞找奥斯卡，球被胡尔城球员拦截                   22'第22分钟，萨格博左路回传，前热刺中场利弗莫尔25码处冷射被切赫扑出
22'胡尔城的反击，利维摩尔禁区外突施冷箭，切赫奋力将球扑出底线                   22'第22分钟，萨格博左路回传，前热刺中场利弗莫尔25码处冷射被切赫扑出
