7'博里尼接到队友的传球~一脚远射将球打偏！                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
7'施瓦泽开球门球居然滑倒了                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
7'还好~没有出现重大失误                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
8'桑德兰今天很注意对第二落点的保护                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
8'埃托奥几次想给队友做球都被破坏出去                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
8'切尔西推进到禁区前~                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
9'奥斯卡斜传中路~                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
9'落点显然不太好                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
9'拉米雷斯控制住皮球                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
9'伊万边路插上助攻~                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
10'低平球传中被奥谢解围出去                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
10'桑德兰开场后的防守做得还是不错                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
10'马蒂奇禁区外突然起脚~打在了对方球员的身上                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
11'威廉边路变向~低平球远射被曼诺内接住                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
11'拉尔森前场抢球的时候拉人犯规了                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
11'今天的主裁判是大家都很熟悉的迈克迪恩                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
11'桑德兰只留下了威克姆在前面                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
11'埃托奥突入禁区~                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
11'连续过人~可惜没有机会起脚打门啊                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
12'贝尔吉尼将球铲出底线                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
12'埃托奥~~~                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
12'Gooooooooooooooooooooal~~~                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
13'威廉开出角球~前点的卡特莫尔头球漏顶了~埃托奥门前左脚垫射~首开纪录！                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
13'切尔西取得了一个不错的开局                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
14'桑德兰边线球大力抛入禁区~被伊万头球解围                   11'第11分钟，奥斯卡传球，威廉20码处射出反弹球被曼诺内没收
18'威克姆！！！                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
18'谁都没想到角球开到了禁区线外~                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
18'禁区外远射被施瓦泽扑了一下，而面对威克姆的补射~施瓦泽实在是无能为力了                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
19'淡色烟花_雪残夜00:48  曾经也是很多次在这样的深夜，车子很早进球！结果，不输就平啊！当然连续早进球又不一样---好吧，你担心的事情发生了                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
19'奥斯卡~来了一脚远射，有失水准啊                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
19'直接将球轰上了看台                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
