4'埃托奥尝试传中，被对方破坏出底线，切尔西的角球                   4'第4分钟，马塔开出角球，路易斯小禁区右侧的射门偏出近角
4'角球开出，打出了底线                   4'第4分钟，马塔开出角球，路易斯小禁区右侧的射门偏出近角
5'埃托奥第一次射门，拉米雷斯传中，埃托奥前插抢点头球攻门，稍稍高了一些                   4'第4分钟，马塔开出角球，路易斯小禁区右侧的射门偏出近角
6'埃托奥开场很活跃啊                   4'第4分钟，马塔开出角球，路易斯小禁区右侧的射门偏出近角
6'埃弗顿后场开到前场，出界了，切尔西发界外球                   4'第4分钟，马塔开出角球，路易斯小禁区右侧的射门偏出近角
7'切尔西右路的进攻，埃托奥转身接球被围堵抢断了                   4'第4分钟，马塔开出角球，路易斯小禁区右侧的射门偏出近角
7'切尔西连续前场倒脚，埃弗顿有点压力啊，切尔西开场攻的很猛                   4'第4分钟，马塔开出角球，路易斯小禁区右侧的射门偏出近角
9'埃弗顿反击进攻，奈史密斯突击到前场，传中，耶拉维奇的头球攻门，危险啊                   8'第8分钟，奈史密斯右路传中，耶拉维奇摆脱路易斯后8码处抢在伊万诺维奇之前头球攻门，但皮球正入切赫下怀
9'球被切赫扑到                   8'第8分钟，奈史密斯右路传中，耶拉维奇摆脱路易斯后8码处抢在伊万诺维奇之前头球攻门，但皮球正入切赫下怀
10'开场双方各有一次有威胁的进攻                   8'第8分钟，奈史密斯右路传中，耶拉维奇摆脱路易斯后8码处抢在伊万诺维奇之前头球攻门，但皮球正入切赫下怀
11'埃弗顿右路进攻，被抢断了                    8'第8分钟，奈史密斯右路传中，耶拉维奇摆脱路易斯后8码处抢在伊万诺维奇之前头球攻门，但皮球正入切赫下怀
22'伊万诺维奇回给大卫路易斯，中场压力有点大啊                   22'第22分钟，巴里对路易斯犯规被裁判韦伯口头警告
22'巴里对路易斯犯规了，切尔西任意球                   22'第22分钟，巴里对路易斯犯规被裁判韦伯口头警告
24'巴里今天几次传球非常积极                   22'第22分钟，巴里对路易斯犯规被裁判韦伯口头警告
24'埃弗顿进攻，迪斯汀头球把球顶出了底线                   22'第22分钟，巴里对路易斯犯规被裁判韦伯口头警告
29'霍华德啊，门前一个失误，没注意，差点送给对方一个进球，幸亏巴里回防及时，把埃托奥的进攻挡出了底线                   29'切尔西第29分钟错失良机，霍华德解围失误，许尔勒禁区右侧回传，埃托奥12码处射空门被巴里及时铲堵出底线
30'切尔西角球                   29'切尔西第29分钟错失良机，霍华德解围失误，许尔勒禁区右侧回传，埃托奥12码处射空门被巴里及时铲堵出底线
30'球发到中路，被对方破坏                   29'切尔西第29分钟错失良机，霍华德解围失误，许尔勒禁区右侧回传，埃托奥12码处射空门被巴里及时铲堵出底线
31'伊万诺维奇前插，传前点时被对方破坏出来                   29'切尔西第29分钟错失良机，霍华德解围失误，许尔勒禁区右侧回传，埃托奥12码处射空门被巴里及时铲堵出底线
31'埃弗顿防线落位很快啊                   29'切尔西第29分钟错失良机，霍华德解围失误，许尔勒禁区右侧回传，埃托奥12码处射空门被巴里及时铲堵出底线
32'伊万诺维奇，界外球发到底线，没有机会，米克尔尝试一脚远射，打高了                   29'切尔西第29分钟错失良机，霍华德解围失误，许尔勒禁区右侧回传，埃托奥12码处射空门被巴里及时铲堵出底线
33'打了30分钟切尔西已经有了5脚射正，可惜还没取得进球                   33'埃弗顿第33分钟也错过机会，米拉拉斯右路传中，奈史密斯前点10码处扫射偏出近角
34'米拉拉斯传中，奈史密斯门前一脚扫射，可惜球擦网而出                   33'埃弗顿第33分钟也错过机会，米拉拉斯右路传中，奈史密斯前点10码处扫射偏出近角
35'大卫路易斯长传前场，球出了边线                   33'埃弗顿第33分钟也错过机会，米拉拉斯右路传中，奈史密斯前点10码处扫射偏出近角
35'巴克利前场分边路时，被切尔西断下                   33'埃弗顿第33分钟也错过机会，米拉拉斯右路传中，奈史密斯前点10码处扫射偏出近角
36'埃托奥传中，拉米雷斯接球转身射门，霍华德漂亮的扑救，求出底线                   33'埃弗顿第33分钟也错过机会，米拉拉斯右路传中，奈史密斯前点10码处扫射偏出近角
36'埃弗顿反击，奈史密斯突破，被合围断下                   33'埃弗顿第33分钟也错过机会，米拉拉斯右路传中，奈史密斯前点10码处扫射偏出近角
37'切尔西把球转移到左路，传前场时球有点快，打在对方腿上出界了                   37'第37分钟，埃弗顿解围角球，许尔勒禁区边缘劲射偏出
37'切尔西角球                   37'第37分钟，埃弗顿解围角球，许尔勒禁区边缘劲射偏出
37'许尔勒门前扫射，打偏了，距离不太好                   37'第37分钟，埃弗顿解围角球，许尔勒禁区边缘劲射偏出
38'拉米雷斯突破，被堵，分给左路的许尔勒，打门，球打高了                   37'第37分钟，埃弗顿解围角球，许尔勒禁区边缘劲射偏出
38'许尔勒的打门啊，操之过急有点                   37'第37分钟，埃弗顿解围角球，许尔勒禁区边缘劲射偏出
40'切尔西左路进攻，巴里铲球犯规了                   37'第37分钟，埃弗顿解围角球，许尔勒禁区边缘劲射偏出
40'切尔西前场的角球                   37'第37分钟，埃弗顿解围角球，许尔勒禁区边缘劲射偏出
41'马塔发出角球，伊万诺维奇的头球抢点，打高了                   41'第41分钟，马塔左路任意球传中，但伊万诺维奇小禁区前头球攻门再度高出
41'霍华德把球开到中场，被切尔西控制，埃托奥前场的进攻，转身交中场时没交好，出界了                   41'第41分钟，马塔左路任意球传中，但伊万诺维奇小禁区前头球攻门再度高出
42'大卫路易斯长传，切尔西继续左路进攻，有点堵，被破坏                   41'第41分钟，马塔左路任意球传中，但伊万诺维奇小禁区前头球攻门再度高出
43'马塔中场的突破，没有好的线路，回给大卫路易斯                   41'第41分钟，马塔左路任意球传中，但伊万诺维奇小禁区前头球攻门再度高出
44'大卫路易斯转移到右路，拉米雷斯中场拿球，分到右路时被拜恩斯抢球犯规了                   41'第41分钟，马塔左路任意球传中，但伊万诺维奇小禁区前头球攻门再度高出
48'切尔西的进攻，许尔勒把球传给前场的埃托奥，后者面对多人围抢，把球给给中场                   48'第48分钟，阿什利-科尔头球摆渡，阿扎尔20码处劲射被霍华德勉强扑出，埃托奥禁区左侧10码处补射偏出远角
48'埃弗顿也有意识的回首，打反击了                   48'第48分钟，阿什利-科尔头球摆渡，阿扎尔20码处劲射被霍华德勉强扑出，埃托奥禁区左侧10码处补射偏出远角
49'巴克利前场过人，奈史密斯从后插上射门，打高了                   48'第48分钟，阿什利-科尔头球摆渡，阿扎尔20码处劲射被霍华德勉强扑出，埃托奥禁区左侧10码处补射偏出远角
49'切尔西反击，许尔勒传中，埃托奥抢点头球攻门，点抢的很好，可惜角度太低了                   48'第48分钟，阿什利-科尔头球摆渡，阿扎尔20码处劲射被霍华德勉强扑出，埃托奥禁区左侧10码处补射偏出远角
51'大卫路易斯直塞，阿扎尔传中路找马塔，被两人抢断了                   48'第48分钟，阿什利-科尔头球摆渡，阿扎尔20码处劲射被霍华德勉强扑出，埃托奥禁区左侧10码处补射偏出远角
51'切尔西换人了，许尔勒下，兰帕德上                   48'第48分钟，阿什利-科尔头球摆渡，阿扎尔20码处劲射被霍华德勉强扑出，埃托奥禁区左侧10码处补射偏出远角
55'奥斯卡上来前插进攻，埃弗顿双后卫关门，迪斯汀先碰到了球，抢断下来                   55'第55分钟，许尔勒右路传中，埃托奥前点捅射被霍华德封堵救下
55'伊万诺维奇右路传中，球第一点被破坏                   55'第55分钟，许尔勒右路传中，埃托奥前点捅射被霍华德封堵救下
55'切尔西这边打的比较耐心，不能着急啊                   55'第55分钟，许尔勒右路传中，埃托奥前点捅射被霍华德封堵救下
56'左路奥斯卡带球过人，被逼迫到了中场，传中球，兰帕德插上打门，球力量不够大                   55'第55分钟，许尔勒右路传中，埃托奥前点捅射被霍华德封堵救下
56'拉米雷斯抢断犯规了                   55'第55分钟，许尔勒右路传中，埃托奥前点捅射被霍华德封堵救下
57'切尔西右路进攻，找到中路的阿扎尔，被断了                   55'第55分钟，许尔勒右路传中，埃托奥前点捅射被霍华德封堵救下
58'奥斯卡远射打门，打在对方腿上                   55'第55分钟，许尔勒右路传中，埃托奥前点捅射被霍华德封堵救下
58'切尔西右路进攻，球被对方后卫碰出了底线，切尔西的角球                   55'第55分钟，许尔勒右路传中，埃托奥前点捅射被霍华德封堵救下
57'切尔西右路进攻，找到中路的阿扎尔，被断了                   57'第57分钟，奥斯卡和兰帕德分别换下马塔和许尔勒
58'奥斯卡远射打门，打在对方腿上                   57'第57分钟，奥斯卡和兰帕德分别换下马塔和许尔勒
58'切尔西右路进攻，球被对方后卫碰出了底线，切尔西的角球                   57'第57分钟，奥斯卡和兰帕德分别换下马塔和许尔勒
59'伊万诺维奇手球，裁判给了一张黄牌                   57'第57分钟，奥斯卡和兰帕德分别换下马塔和许尔勒
59'埃弗顿也准备换人了，麦卡锡准备上场                   57'第57分钟，奥斯卡和兰帕德分别换下马塔和许尔勒
68'大卫路易斯发界外球，回给切赫                   68'第68分钟，伊万诺维奇右路传中，拉米雷斯前点捅射打在边网
68'阿扎尔中路突破，被巴里捅了一下，球丢了                   68'第68分钟，伊万诺维奇右路传中，拉米雷斯前点捅射打在边网
68'巴里无处不在啊，各种围追堵截                   68'第68分钟，伊万诺维奇右路传中，拉米雷斯前点捅射打在边网
69'拜恩斯前场把球控制下来，回给麦卡锡，巴克利扣了一下，假动作晃过对方后找前点，没有插上啊队友                   68'第68分钟，伊万诺维奇右路传中，拉米雷斯前点捅射打在边网
70'兰帕德发角球，伊万诺维奇头球抢点，差点捡了一个接力啊，球被霍华德扑出                   68'第68分钟，伊万诺维奇右路传中，拉米雷斯前点捅射打在边网
71'切尔西中路进攻，分左路，大卫路易斯                   68'第68分钟，伊万诺维奇右路传中，拉米雷斯前点捅射打在边网
71'切尔西中路进攻，分左路，大卫路易斯                   71'第71分钟，米拉拉斯25码处任意球直接低射右下角被切赫扑出
72'转移到右路，右路传中打前点，埃托奥非常漂亮的勾射，可惜，差一点角度                   71'第71分钟，米拉拉斯25码处任意球直接低射右下角被切赫扑出
73'比赛已经僵持一段时间了，双方还没有新的建树                   71'第71分钟，米拉拉斯25码处任意球直接低射右下角被切赫扑出
74'科尔曼突破到禁区前，阿扎尔抢断犯规了，裁判出示了一张黄牌                   71'第71分钟，米拉拉斯25码处任意球直接低射右下角被切赫扑出
74'幸亏是禁区前一点啊，否则又是一个点球                   71'第71分钟，米拉拉斯25码处任意球直接低射右下角被切赫扑出
74'埃弗顿前场任意球                   71'第71分钟，米拉拉斯25码处任意球直接低射右下角被切赫扑出
74'巴里开出任意球，找后点进攻，球出底线了                   71'第71分钟，米拉拉斯25码处任意球直接低射右下角被切赫扑出
78'阿扎尔前场很活跃，奈史密斯抢断犯规了                   78'第78分钟，拉米雷斯传中，埃托奥前点射门仍被霍华德扑出
78'切尔西前场任意球，兰帕德开出，被对方破坏                   78'第78分钟，拉米雷斯传中，埃托奥前点射门仍被霍华德扑出
78'埃弗顿把球回给霍华德                   78'第78分钟，拉米雷斯传中，埃托奥前点射门仍被霍华德扑出
79'拉米雷斯走中路，米克尔转移到左路，阿扎尔向前突破被关门抢断了                   78'第78分钟，拉米雷斯传中，埃托奥前点射门仍被霍华德扑出
79'切尔西右路进攻，球没传好，出界了                   78'第78分钟，拉米雷斯传中，埃托奥前点射门仍被霍华德扑出
80'时间不多了，切尔西想要赢球加油啊，最近六次客场打埃弗顿，1胜2平3负啊，今天过后是2胜还是4负？                   78'第78分钟，拉米雷斯传中，埃托奥前点射门仍被霍华德扑出
81'切尔西继续中路进攻，阿扎尔回撤拿球                   78'第78分钟，拉米雷斯传中，埃托奥前点射门仍被霍华德扑出
81'埃托奥传球打在对方身上，埃弗顿直接找前场，被拉米雷斯断下                   78'第78分钟，拉米雷斯传中，埃托奥前点射门仍被霍华德扑出
89'切尔西右路进攻，被破坏出边线，球传的有点大啊                   89'第89分钟，拜恩斯22码处任意球直接射门打中右上角横梁弹出
89'埃弗顿后场控球，中场被抢断                   89'第89分钟，拜恩斯22码处任意球直接射门打中右上角横梁弹出
89'反抢下来，把球回给霍华德                   89'第89分钟，拜恩斯22码处任意球直接射门打中右上角横梁弹出
