4'萨尼亚在右路的传中球，传到远端没有球员拿到。                   4'第4分钟，阿圭罗禁区右侧回传，纳斯里8码处射门被前曼城后卫邓恩封堵
4'阿奎罗刚才在禁区内拿球回做给纳瓦斯打门被后卫挡了出去。                   4'第4分钟，阿圭罗禁区右侧回传，纳斯里8码处射门被前曼城后卫邓恩封堵
5'阿奎罗又是左路带球一路内切进来打门打高了。                   4'第4分钟，阿圭罗禁区右侧回传，纳斯里8码处射门被前曼城后卫邓恩封堵
5'最近阿奎罗的火热状态绝对是曼城的好消息。                   4'第4分钟，阿圭罗禁区右侧回传，纳斯里8码处射门被前曼城后卫邓恩封堵
5'上一场战胜曼联的同城德比战中也是阿奎罗打进的制胜一球。                   4'第4分钟，阿圭罗禁区右侧回传，纳斯里8码处射门被前曼城后卫邓恩封堵
6'纳瓦斯右路再次起球，被尹锡荣挡了出去，角球！                   4'第4分钟，阿圭罗禁区右侧回传，纳斯里8码处射门被前曼城后卫邓恩封堵
7'角球开出来被后卫顶了出去，萨尼亚拿到，给亚亚图雷，图雷禁区内打门打高了。                   4'第4分钟，阿圭罗禁区右侧回传，纳斯里8码处射门被前曼城后卫邓恩封堵
7'图雷最近似乎和巴黎圣日耳曼走的比较近，不过佩莱格里尼否认了这一点。                   4'第4分钟，阿圭罗禁区右侧回传，纳斯里8码处射门被前曼城后卫邓恩封堵
7'角球开出来被后卫顶了出去，萨尼亚拿到，给亚亚图雷，图雷禁区内打门打高了。                   7'第7分钟，萨尼亚传球，亚亚-图雷禁区右侧射门偏出近角
7'图雷最近似乎和巴黎圣日耳曼走的比较近，不过佩莱格里尼否认了这一点。                   7'第7分钟，萨尼亚传球，亚亚-图雷禁区右侧射门偏出近角
8'女王公园进球了！但是奥斯丁越位在先啊，可惜了。                   7'第7分钟，萨尼亚传球，亚亚-图雷禁区右侧射门偏出近角
9'奥斯丁又进了！不过似乎又被吹掉了。                   7'第7分钟，萨尼亚传球，亚亚-图雷禁区右侧射门偏出近角
10'乔哈特直接传球失误给奥斯丁，奥斯丁直接打门球进了。                   7'第7分钟，萨尼亚传球，亚亚-图雷禁区右侧射门偏出近角
10'但是乔哈特应该是直接一脚球开出，他左脚碰了一下右脚再开违例了，太幸运了。                   7'第7分钟，萨尼亚传球，亚亚-图雷禁区右侧射门偏出近角
9'奥斯丁又进了！不过似乎又被吹掉了。                   9'第9分钟，乔-哈特开球失误，奥斯丁远射破门，但裁判麦克-迪恩仍以乔-哈特开球违例判罚进球无效
10'乔哈特直接传球失误给奥斯丁，奥斯丁直接打门球进了。                   9'第9分钟，乔-哈特开球失误，奥斯丁远射破门，但裁判麦克-迪恩仍以乔-哈特开球违例判罚进球无效
10'但是乔哈特应该是直接一脚球开出，他左脚碰了一下右脚再开违例了，太幸运了。                   9'第9分钟，乔-哈特开球失误，奥斯丁远射破门，但裁判麦克-迪恩仍以乔-哈特开球违例判罚进球无效
11'哈特现在也是惊魂未定啊。                   9'第9分钟，乔-哈特开球失误，奥斯丁远射破门，但裁判麦克-迪恩仍以乔-哈特开球违例判罚进球无效
12'阿奎罗禁区内接传球直接射门，被邓恩挡了出去。                   9'第9分钟，乔-哈特开球失误，奥斯丁远射破门，但裁判麦克-迪恩仍以乔-哈特开球违例判罚进球无效
15'女王公园连续获得角球机会。                   15'女王公园巡游者第15分钟险些破门，萨莫拉传球，无人盯防的奥斯丁12码处推射被乔-哈特神勇扑出
15'今天曼城的后防有点梦游啊。                   15'女王公园巡游者第15分钟险些破门，萨莫拉传球，无人盯防的奥斯丁12码处推射被乔-哈特神勇扑出
16'角球开到后点，后卫顶了出来，外围的桑德罗打门，被后卫挡了。                   15'女王公园巡游者第15分钟险些破门，萨莫拉传球，无人盯防的奥斯丁12码处推射被乔-哈特神勇扑出
16'女王公园球员申诉有点球，但是裁判没有吹。                   15'女王公园巡游者第15分钟险些破门，萨莫拉传球，无人盯防的奥斯丁12码处推射被乔-哈特神勇扑出
18'曼城前场的配合有点脱节，传球总是在两人之间。                   15'女王公园巡游者第15分钟险些破门，萨莫拉传球，无人盯防的奥斯丁12码处推射被乔-哈特神勇扑出
21'奥斯丁终于进球了！！！                   21'女王公园巡游者第21分钟取得领先，伊斯拉直传，反越位成功的奥斯丁11码处低射破门
21'今天庆祝了三次啊！                   21'女王公园巡游者第21分钟取得领先，伊斯拉直传，反越位成功的奥斯丁11码处低射破门
21'接到菲尔的传球，没有越位！                   21'女王公园巡游者第21分钟取得领先，伊斯拉直传，反越位成功的奥斯丁11码处低射破门
21'这个球太漂亮了！                   21'女王公园巡游者第21分钟取得领先，伊斯拉直传，反越位成功的奥斯丁11码处低射破门
23'今天奥斯丁绝对是最活跃的球员啊，说句玩笑话已经吗帽子戏法了                   21'女王公园巡游者第21分钟取得领先，伊斯拉直传，反越位成功的奥斯丁11码处低射破门
23'女王公园今天绝对不会让曼城好过，曼城的防线问题太大了。                   21'女王公园巡游者第21分钟取得领先，伊斯拉直传，反越位成功的奥斯丁11码处低射破门
23'巴尔加斯把球传到禁区内，后防球员吧球顶出。                   21'女王公园巡游者第21分钟取得领先，伊斯拉直传，反越位成功的奥斯丁11码处低射破门
24'纳瓦斯禁区边缘的犯规，放倒了尹锡荣。                   21'女王公园巡游者第21分钟取得领先，伊斯拉直传，反越位成功的奥斯丁11码处低射破门
24'这个球很危险啊，差点就是点球了。                   21'女王公园巡游者第21分钟取得领先，伊斯拉直传，反越位成功的奥斯丁11码处低射破门
27'女王公园的进攻层次感非常强啊。                   27'第27分钟，纳瓦斯传球，亚亚-图雷禁区前射门偏出
27'纳瓦斯前场给亚亚图雷，图雷左脚直接打门！                   27'第27分钟，纳瓦斯传球，亚亚-图雷禁区前射门偏出
27'这个球贴着横梁出去，直奔死角，差了一点啊！                   27'第27分钟，纳瓦斯传球，亚亚-图雷禁区前射门偏出
28'图雷的脚法还真是好，同样是周中的比赛，他任意球直接破门也是让对方门将没有办法。                   27'第27分钟，纳瓦斯传球，亚亚-图雷禁区前射门偏出
29'萨莫拉和桑德罗在传球，等待左边尹锡荣的插上。                   27'第27分钟，纳瓦斯传球，亚亚-图雷禁区前射门偏出
34'亚亚图雷又是一脚打门！差了一点啊！                   34'第34分钟，纳瓦斯传球，亚亚-图雷20码处射门再次偏出
34'阿奎罗拿球内切给到纳瓦斯，纳瓦斯回做给亚亚图雷，图雷直接打门稍稍偏出！                   34'第34分钟，纳瓦斯传球，亚亚-图雷20码处射门再次偏出
35'纳瓦斯杀到禁区横传，阿奎罗打门被格林扑出。                   34'第34分钟，纳瓦斯传球，亚亚-图雷20码处射门再次偏出
35'可以看出现在曼城扳平之后非常兴奋啊。                   34'第34分钟，纳瓦斯传球，亚亚-图雷20码处射门再次偏出
36'伊斯拉吃到了一张黄牌。                   34'第34分钟，纳瓦斯传球，亚亚-图雷20码处射门再次偏出
36'[此时此刻值得来杯嘉士伯]                   34'第34分钟，纳瓦斯传球，亚亚-图雷20码处射门再次偏出
37'亚亚图雷禁区前的一个任意球。                   34'第34分钟，纳瓦斯传球，亚亚-图雷20码处射门再次偏出
37'直接打门但是打高了。                   34'第34分钟，纳瓦斯传球，亚亚-图雷20码处射门再次偏出
41'曼城门前头球攻门！来自于曼加拉的打门！                   41'第41分钟，费尔南多传中，曼加拉头球攻门偏出
42'萨尼亚被萨莫拉撞出了场外，但是问题不大。                   41'第41分钟，费尔南多传中，曼加拉头球攻门偏出
43'女王公园的好机会！差点啊！                   41'第41分钟，费尔南多传中，曼加拉头球攻门偏出
43'一个非常好的机会！几乎是必进之球！                   41'第41分钟，费尔南多传中，曼加拉头球攻门偏出
44'但是萨莫拉越位在先了，但是乔哈特这个球反应非常的快！                   41'第41分钟，费尔南多传中，曼加拉头球攻门偏出
48'女王公园的进攻，在曼城禁区前的配合，最后还是被后卫挡出。                   48'第48分钟，纳斯里禁区左侧传中，但亚亚-图雷包抄稍慢半拍，皮球在门线前滑门而过
49'这边曼城的反击特别犀利，但是阿奎罗的下底横传图雷竟让没有碰到皮球，碰到就进啊！                   48'第48分钟，纳斯里禁区左侧传中，但亚亚-图雷包抄稍慢半拍，皮球在门线前滑门而过
50'女王公园的角球，开出来被萨莫拉顶到第一点，但是稍稍偏出了                   48'第48分钟，纳斯里禁区左侧传中，但亚亚-图雷包抄稍慢半拍，皮球在门线前滑门而过
51'下半场这5分钟双方都有机会。                   48'第48分钟，纳斯里禁区左侧传中，但亚亚-图雷包抄稍慢半拍，皮球在门线前滑门而过
53'女王公园又越位了，尹锡荣的打门被后卫挡了一下到了巴尔加斯的脚下，但是这时候巴尔加斯已经处在了越位位置。                   53'第53分钟，费尔传球，尹硕永禁区左侧射门偏出近角
54'奥斯丁的球鞋都掉了，拼得真是很凶啊。                   53'第53分钟，费尔传球，尹硕永禁区左侧射门偏出近角
55'女王公园今天的进攻可以说质量还是很高的，都能打出一定的威胁。                   53'第53分钟，费尔传球，尹硕永禁区左侧射门偏出近角
56'萨莫拉吃到一张黄牌，同时萨尼亚因为之前铲倒了菲尔也是补上了一张黄牌，。                   53'第53分钟，费尔传球，尹硕永禁区左侧射门偏出近角
64'任意球开出来之后还是被后卫控制，但是尹锡荣断了皮球给到底线，传中之后考尔克凌空打门！                   64'第64分钟，瓦尔加斯禁区边缘凌空抽射明显偏出，但皮球打中考尔克偏转而出
64'打到了奥斯丁身上有个折线，也是惊出了哈特一身冷汗啊。                   64'第64分钟，瓦尔加斯禁区边缘凌空抽射明显偏出，但皮球打中考尔克偏转而出
65'这边曼城换人了，哲科换下了费尔南迪尼奥，这是要进攻了。                   64'第64分钟，瓦尔加斯禁区边缘凌空抽射明显偏出，但皮球打中考尔克偏转而出
66'图雷中场的传球出现失误，女王公园今天中场的控制力相当的不错啊                   64'第64分钟，瓦尔加斯禁区边缘凌空抽射明显偏出，但皮球打中考尔克偏转而出
67'巴尔加斯的好机会！出现在禁区里的他接到队友的传球胸部一停直接打门，但是没有打上力量被哈特拿到。                   64'第64分钟，瓦尔加斯禁区边缘凌空抽射明显偏出，但皮球打中考尔克偏转而出
67'哲科上场以后怎么有点一瘸一拐的。                   64'第64分钟，瓦尔加斯禁区边缘凌空抽射明显偏出，但皮球打中考尔克偏转而出
49'这边曼城的反击特别犀利，但是阿奎罗的下底横传图雷竟让没有碰到皮球，碰到就进啊！                   49'但刚刚出场4分钟的哲科又因伤被兰帕德换下
50'女王公园的角球，开出来被萨莫拉顶到第一点，但是稍稍偏出了                   49'但刚刚出场4分钟的哲科又因伤被兰帕德换下
51'下半场这5分钟双方都有机会。                   49'但刚刚出场4分钟的哲科又因伤被兰帕德换下
52'曼城的进攻，亚亚图雷传球到门前，但是还是包抄球员有点慢啊。                   49'但刚刚出场4分钟的哲科又因伤被兰帕德换下
52'之前是阿奎罗的传球他跟慢了，这次正好是掉了个个。                   49'但刚刚出场4分钟的哲科又因伤被兰帕德换下
52'曼加拉的防守总是感觉有点冒失，刚才的争顶又是用力过猛了。                   49'但刚刚出场4分钟的哲科又因伤被兰帕德换下
76'女王公园进球了！！！                   75'第75分钟，瓦尔加斯传中，萨莫拉头球攻门偏出
76'但是不是女王公园的球员进的球，是德米凯利斯的乌龙啊！                   75'第75分钟，瓦尔加斯传中，萨莫拉头球攻门偏出
77'这下曼城不好办了啊，换人名额已经用完了！                   75'第75分钟，瓦尔加斯传中，萨莫拉头球攻门偏出
77'[此时此刻值得来杯嘉士伯]                   75'第75分钟，瓦尔加斯传中，萨莫拉头球攻门偏出
78'女王公园右路的传中球，萨莫拉没有争到，但晃了后边的德米凯利斯一下。                   75'第75分钟，瓦尔加斯传中，萨莫拉头球攻门偏出
78'阿奎罗也获得一个好机会！女王公园的球员头球回顶正好顶到他脚下，但过了格林之后的角度太小了，打门被回来的后卫挡了出去。                   75'第75分钟，瓦尔加斯传中，萨莫拉头球攻门偏出
