1'主裁判吹响了上半场比赛开始的哨音~                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
1'客场作战的利物浦开球                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
1'斯科特尔回传球有些危险~                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
1'米尼奥莱大脚将球开出边线                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
2'两队在中场争抢头球~                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
2'利物浦中场长传找到斯特林~~~                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
2'边路的传中被莱斯特城的后卫解围出来~                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
3'利物浦虽然排出的是433阵型                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
3'不过从球场上的站位来看，更像是三后卫阵型                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
4'一周双赛对于利物浦来说更加不利                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
21'他的传球没有找到本方后卫                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
21'而是传给了坎比亚索~                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
21'面对送上来的大礼，坎比亚索似乎也有些准备不足                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
21'利物浦逃过了一劫                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
22'约翰逊带球长驱直入~在禁区前被抢断了                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
22'乌罗阿~~~                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
22'Goooooooooooooooooooal~~~~                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
22'利物浦被打了反击~~~~                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
23'瓦尔迪反越位面对门将的射门被挡了一下，门前斯科特尔头球解围没能顶出底线~~~被乌罗阿断下之后转身小角度抽射！球应声入网！                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
23'利物浦再一次面对落后的局面                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
24'拉拉纳在前场被放倒了                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
24'利物浦获得了一个远距离的前场定位球                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
24'距离球门起码有35米左右~                   21'莱斯特城第21分钟取得领先，瓦尔迪禁区右侧射门被斯科特尔在空门前勉强顶出，乌略亚禁区右侧小角度射门打中立柱反弹，皮球打在米尼奥莱身上滚入大门
54'杰拉德在中场拉球过人~被绊倒了                   54'利物浦第54分钟反超比分，斯特林禁区左侧传中被摩根勉强挡出，跟进的杰拉德14码处低射破门，2-1
55'杰拉德~~~                   54'利物浦第54分钟反超比分，斯特林禁区左侧传中被摩根勉强挡出，跟进的杰拉德14码处低射破门，2-1
55'Gooooooooooooooooal~~~~                   54'利物浦第54分钟反超比分，斯特林禁区左侧传中被摩根勉强挡出，跟进的杰拉德14码处低射破门，2-1
55'利物浦快速开出定位球，杰拉德分边~                   54'利物浦第54分钟反超比分，斯特林禁区左侧传中被摩根勉强挡出，跟进的杰拉德14码处低射破门，2-1
55'斯特林低平球横敲~后卫解围踢到了点球点附近，正好无人防守~杰拉德迎球推射！将球送入网窝                   54'利物浦第54分钟反超比分，斯特林禁区左侧传中被摩根勉强挡出，跟进的杰拉德14码处低射破门，2-1
56'[此时此刻值得来杯嘉士伯]                   54'利物浦第54分钟反超比分，斯特林禁区左侧传中被摩根勉强挡出，跟进的杰拉德14码处低射破门，2-1
56'乌罗阿~跟坎比亚索的撞墙式配合                   54'利物浦第54分钟反超比分，斯特林禁区左侧传中被摩根勉强挡出，跟进的杰拉德14码处低射破门，2-1
56'禁区弧顶处起脚打门~~~射偏了                   54'利物浦第54分钟反超比分，斯特林禁区左侧传中被摩根勉强挡出，跟进的杰拉德14码处低射破门，2-1
57'莫雷诺背身拿球被放倒~                   54'利物浦第54分钟反超比分，斯特林禁区左侧传中被摩根勉强挡出，跟进的杰拉德14码处低射破门，2-1
