3'亚亚图雷中场分边                   1'比赛第1分钟打出高强度，双方相互都以严密逼抢限制对方
3'阿圭罗得球变向过不了埃姆雷坎                   1'比赛第1分钟打出高强度，双方相互都以严密逼抢限制对方
3'亚亚图雷中场斜长传，哲科胸部停球下来，原来已经越位了                   1'比赛第1分钟打出高强度，双方相互都以严密逼抢限制对方
4'洛夫伦长传球，孔帕尼头球顶到中场                   1'比赛第1分钟打出高强度，双方相互都以严密逼抢限制对方
4'乔阿伦中场断球，横传交给亨德森                   1'比赛第1分钟打出高强度，双方相互都以严密逼抢限制对方
4'球在后场倒，莫雷诺传给库蒂尼奥，费尔南迪尼奥防得很到位                   1'比赛第1分钟打出高强度，双方相互都以严密逼抢限制对方
9'库蒂尼奥左路得球传中被挡出                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
9'库蒂尼奥再得球再传中，拉拉纳停球180度转身挑战球落入远角网内                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
9'不过拉拉纳是先越位了                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
10'哲科拉边接应，洛夫伦铲球出边线                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
10'库蒂尼奥中场推进交给斯特林                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
10'斯特林横敲，左路亨德森比较空，横带一步大力抽向远角命中！                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
10'此时此刻值得来杯嘉士伯！                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
11'亨德森得球横带一步晃开角度大力打远角球进，乔哈特鞭长莫及                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
12'利物浦的稳守反击相当有效                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
12'曼城有机会                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
12'阿圭罗反直接成功接应长传禁区左侧左脚小角度打远角，却击中了立柱！！！                   9'第9分钟，库迪尼奥左路传中，拉拉纳小角度抽射上角入网因越位在先被判无效
13'长传由席尔瓦送出，过顶到对方禁区左侧，阿圭罗的打门相当有质量，却补立柱挡出                   13'曼城第13分钟险些扳平，席尔瓦直传，阿圭罗禁区左侧10码处斜射击中远角立柱弹回
14'阿圭罗前场断球，与席尔瓦打二过一，球被断了                   13'曼城第13分钟险些扳平，席尔瓦直传，阿圭罗禁区左侧10码处斜射击中远角立柱弹回
14'亚亚图雷回传，孔帕尼再回传给门将                   13'曼城第13分钟险些扳平，席尔瓦直传，阿圭罗禁区左侧10码处斜射击中远角立柱弹回
14'曼城是加快了进攻节奏                   13'曼城第13分钟险些扳平，席尔瓦直传，阿圭罗禁区左侧10码处斜射击中远角立柱弹回
15'席尔瓦中场加速，拉拉纳将他绊倒                   13'曼城第13分钟险些扳平，席尔瓦直传，阿圭罗禁区左侧10码处斜射击中远角立柱弹回
15'曼加拉后场转移交给孔帕尼                   13'曼城第13分钟险些扳平，席尔瓦直传，阿圭罗禁区左侧10码处斜射击中远角立柱弹回
16'刚才利物浦的进球就是缘于孔帕尼中场被库蒂尼奥利用速度突破引人领的                   13'曼城第13分钟险些扳平，席尔瓦直传，阿圭罗禁区左侧10码处斜射击中远角立柱弹回
25'曼城的机会                   25'曼城第25分钟扳平比分，席尔瓦传球，阿圭罗右路内切吸引数人防守后直传，哲科11码处低射左下角入网，1-1
26'阿圭罗接应席尔瓦的分边内切到中路直塞，哲科斜插接应转身斜射球门左下角球进！                   25'曼城第25分钟扳平比分，席尔瓦传球，阿圭罗右路内切吸引数人防守后直传，哲科11码处低射左下角入网，1-1
26'此时此刻值得来杯嘉士伯！                   25'曼城第25分钟扳平比分，席尔瓦传球，阿圭罗右路内切吸引数人防守后直传，哲科11码处低射左下角入网，1-1
26'乔阿伦中场拿球被亚亚图雷背后踢倒                   25'曼城第25分钟扳平比分，席尔瓦传球，阿圭罗右路内切吸引数人防守后直传，哲科11码处低射左下角入网，1-1
27'利物浦右路的进攻，马科维奇一打二，加速被费尔南迪尼奥捅出底线                   25'曼城第25分钟扳平比分，席尔瓦传球，阿圭罗右路内切吸引数人防守后直传，哲科11码处低射左下角入网，1-1
27'利物浦获得一个前场右路的角球机会                   25'曼城第25分钟扳平比分，席尔瓦传球，阿圭罗右路内切吸引数人防守后直传，哲科11码处低射左下角入网，1-1
27'库蒂尼奥角球传中过不了第一点                   25'曼城第25分钟扳平比分，席尔瓦传球，阿圭罗右路内切吸引数人防守后直传，哲科11码处低射左下角入网，1-1
28'阿圭罗左路高速推进横传，席尔瓦跟进接应被斯科特尔铲倒                   25'曼城第25分钟扳平比分，席尔瓦传球，阿圭罗右路内切吸引数人防守后直传，哲科11码处低射左下角入网，1-1
28'曼城前场左路的任意球机会                   25'曼城第25分钟扳平比分，席尔瓦传球，阿圭罗右路内切吸引数人防守后直传，哲科11码处低射左下角入网，1-1
