1'上半场比赛开始                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
1'红衣红裤的利物浦开球，从画面的右侧向左进攻                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
1'巴洛特利前场拿球，加德纳上抢犯规                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
2'伊比前场拿球，斜传到禁区                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
2'道森抢在巴洛特利之前，将球解围出禁区                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
3'本场比赛是杰拉德英超第500场比赛                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
3'伊比右路拿球，强突后挑传门前，雅各布将球挡出                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
4'开场几分钟来看，利物浦有点反客为主                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
4'阿尼切贝前场拿球，强突，自己趟球趟大                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
4'利物浦的反击，斯特林拿球，反击被破坏                   1'全场赛前为布拉德福德球场火灾惨案默哀1分钟
55'库蒂尼奥前场拿球，直塞给到约翰逊                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
55'约翰逊停球转身，再分给斯特林                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
55'斯特林横传禁区，巴神得球转身射门被挡出                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
56'库蒂尼奥禁区弧顶拿球，再射，被迈希尔倒地挡出                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
56'亨德森跟进补射，再被迈希尔挡出                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
56'禁区内混战，球被麦考利大脚解围                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
57'布伦特左路拿球，边路强突传中到后点                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
57'加德纳插上倒地铲射，球打在了边网上                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
57'杰拉德后场拿球，横传给到斯科特尔                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
58'斯科特尔直塞交给伊比，伊比带球单骑闯关                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
58'伊比进入禁区，强突下底，可惜趟大，出了底线                   55'利物浦第55分钟错过机会，巴洛特利禁区左侧射门被挡出，库迪尼奥禁区边缘低射被迈希尔扑出，亨德森近距离补射又被迈希尔扑出
64'伊比拿球进入禁区，小禁区左侧的左脚劲射，被迈希尔一扑，击中横梁弹出                   64'西布朗第64分钟险些破门，斯科特尔拦挡贝拉希诺传中失误，莫里森小禁区边缘头球攻门被米尼奥莱扑挡，洛夫伦门线前解围
64'这也是本场比赛利物浦最有威胁的一次进攻                   64'西布朗第64分钟险些破门，斯科特尔拦挡贝拉希诺传中失误，莫里森小禁区边缘头球攻门被米尼奥莱扑挡，洛夫伦门线前解围
65'西布朗换人：19号麦克马纳曼上，换下10号阿尼切贝                   64'西布朗第64分钟险些破门，斯科特尔拦挡贝拉希诺传中失误，莫里森小禁区边缘头球攻门被米尼奥莱扑挡，洛夫伦门线前解围
65'西布朗前场进攻，右路的传中到禁区，斯科特尔解围球没踢远                   64'西布朗第64分钟险些破门，斯科特尔拦挡贝拉希诺传中失误，莫里森小禁区边缘头球攻门被米尼奥莱扑挡，洛夫伦门线前解围
66'后点的莫里森头球攻门顶远角，米尼奥莱侧扑无能为力                   64'西布朗第64分钟险些破门，斯科特尔拦挡贝拉希诺传中失误，莫里森小禁区边缘头球攻门被米尼奥莱扑挡，洛夫伦门线前解围
