1'上半场比赛开始！                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
1'首先开球的是阿森纳                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
1'阿森纳后场拿球回敲                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
1'贝莱林右路拿球，过掉防守球员后将球回敲                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
2'贝莱林右路推进                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
2'拉姆塞拿球还是回敲                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
2'胡尔城这边中场的拦截也是阿森纳送不过去                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
2'阿森纳左路起球送禁区前点                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
2'胡尔城这边将球解围出了底线                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
3'这球最后还是碰了阿森纳的球员                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
3'胡尔城这边前场接球也是越位                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
4'中场的断抢后直接送直塞打阿森纳身后                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
4'恩多耶的前场越位                   1'阿森纳第1分钟控制局面，胡尔城前5分钟仅有5脚传球
28'桑切斯任意球直接轰门，球直窜球门上角球进！                   28'阿森纳第28分钟取得领先，桑切斯突破赢得任意球机会，他20码处直接射门打中道森后偏转飘入上角
28'球是蹭到人墙形成了变形                   28'阿森纳第28分钟取得领先，桑切斯突破赢得任意球机会，他20码处直接射门打中道森后偏转飘入上角
28'门将也是无能为力啊                   28'阿森纳第28分钟取得领先，桑切斯突破赢得任意球机会，他20码处直接射门打中道森后偏转飘入上角
29'哈珀没有任何的办法                   28'阿森纳第28分钟取得领先，桑切斯突破赢得任意球机会，他20码处直接射门打中道森后偏转飘入上角
29'此时此刻值得来杯嘉士伯                   28'阿森纳第28分钟取得领先，桑切斯突破赢得任意球机会，他20码处直接射门打中道森后偏转飘入上角
30'利弗莫尔之前那下也是拿到一张黄牌                   28'阿森纳第28分钟取得领先，桑切斯突破赢得任意球机会，他20码处直接射门打中道森后偏转飘入上角
31'恩多耶中场战术犯规得到一张黄牌！                   28'阿森纳第28分钟取得领先，桑切斯突破赢得任意球机会，他20码处直接射门打中道森后偏转飘入上角
56'阿森纳中场拿球给到边路                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
56'桑切斯得球后大范围转移到了右路                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
56'阿森纳前场推进打了禁区前沿                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
56'拉姆塞停球后捅射了一脚                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
56'这球并没有打正                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
57'1-3！！                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
57'奎因！！                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
58'胡尔城前场拿球撞倒了科斯切尔尼，球还在胡尔城脚下，右路起球送禁区内，奎因头球冲顶将球顶进！                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
58'此时此刻值得来杯嘉士伯                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
58'胡尔城这边扳回一球                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
58'阿森纳会不会再次发力？                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
59'胡尔城进球的时候，阿森纳球员投诉说对方先冲撞了                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
59'胡尔城加强了前场的逼抢                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
59'奎因中场拿球被放倒                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
59'奎因也是很痛苦                   56'胡尔城第56分钟扳回一城，梅勒同科斯切尔尼在禁区前拼抢时倒地，埃尔默罕迈迪右路传中，奎因10码处冲顶入网，1-3
