1'裁判一声哨响，比赛开始！！                   1'曼联第1分钟就控制局面，女王公园收缩防线
1'QPR长传到前场，险些丢球                   1'曼联第1分钟就控制局面，女王公园收缩防线
1'QPR后场转移到左路，球太大了出了边界                   1'曼联第1分钟就控制局面，女王公园收缩防线
1'曼联控制球权                   1'曼联第1分钟就控制局面，女王公园收缩防线
2'两人包夹铲球，破坏掉鲁尼的球                   1'曼联第1分钟就控制局面，女王公园收缩防线
2'天使左路突破传中，被后卫伸脚挡出                   1'曼联第1分钟就控制局面，女王公园收缩防线
3'球又来到天使脚下                   1'曼联第1分钟就控制局面，女王公园收缩防线
3'天使起脚传中，禁区内球被QPR后卫破坏                   1'曼联第1分钟就控制局面，女王公园收缩防线
3'拉斐尔及时回防将危机化解                   1'曼联第1分钟就控制局面，女王公园收缩防线
4'鲁尼禁区内接球，稍微停大了一点，被费迪南德破坏                   1'曼联第1分钟就控制局面，女王公园收缩防线
4'曼联获得角球                   1'曼联第1分钟就控制局面，女王公园收缩防线
4'角球开出，前点被防守队员挡出                   1'曼联第1分钟就控制局面，女王公园收缩防线
4'曼联后场掷出边线球                   1'曼联第1分钟就控制局面，女王公园收缩防线
13'埃雷拉禁区前沿一脚打门，打到了奥斯丁的身上                   13'第13分钟，范佩西传球，埃雷拉20码外射门被费迪南德封堵
14'埃雷拉斜长传出现失误，菲利普斯传球到禁区被门将出击没收了                   13'第13分钟，范佩西传球，埃雷拉20码外射门被费迪南德封堵
14'拉斐尔接范佩西传球后，起脚传中，球被后卫破坏                   13'第13分钟，范佩西传球，埃雷拉20码外射门被费迪南德封堵
14'鲁尼回到中场组织                   13'第13分钟，范佩西传球，埃雷拉20码外射门被费迪南德封堵
16'鲁尼将球转移到中路                   13'第13分钟，范佩西传球，埃雷拉20码外射门被费迪南德封堵
24'曼联获得前场任意球                   24'曼联第24分钟取得领先，迪马利亚右路任意球传中弹地入远角
25'天使一记美丽的弧线，皮球窜进了球网                   24'曼联第24分钟取得领先，迪马利亚右路任意球传中弹地入远角
26'曼联后防还是不能有松懈的                   24'曼联第24分钟取得领先，迪马利亚右路任意球传中弹地入远角
27'迪马利亚中路过人丢球，但随即就反断了回来                   24'曼联第24分钟取得领先，迪马利亚右路任意球传中弹地入远角
27'布雷德禁区内摔倒，跟裁判申请点球，但裁判没有理会                   24'曼联第24分钟取得领先，迪马利亚右路任意球传中弹地入远角
32'曼联后防线险象环生                   32'第32分钟，克拉尼察传球，德赫亚出击失误，但马修-菲利普斯的外围射门被埃文斯及时封堵
33'霍伊莱特反击被范佩西放倒，领到本场比赛第一张黄牌                   32'第32分钟，克拉尼察传球，德赫亚出击失误，但马修-菲利普斯的外围射门被埃文斯及时封堵
34'曼联的领先优势是否可以保持到半场结束                   32'第32分钟，克拉尼察传球，德赫亚出击失误，但马修-菲利普斯的外围射门被埃文斯及时封堵
35'罗霍传球给鲁尼，鲁尼没有领会意图已经前插，球被QPR后卫断下                   32'第32分钟，克拉尼察传球，德赫亚出击失误，但马修-菲利普斯的外围射门被埃文斯及时封堵
45'鲁尼禁区左侧拿球，转身抽射，皮球窜入死角！！3比0！！！                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
46'上半场补时2分钟                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
47'注定是一场大胜啊！！                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
48'上半场比赛结束。                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
46'下半场比赛开始                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
46'大家可以预测下本场比赛的比分！~                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
47'QPR获得前场任意球                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
47'没有造成什么威胁                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
47'曼联组织快速反击，没有好的机会就将球回到后场控制一下                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
48'鲁尼中场拉人犯规                   45'曼联第45分钟锁定胜局，迪马利亚、马塔和埃雷拉连续传球，鲁尼禁区边缘内再射左下角入网，3-0
48'上半场比赛结束。                   48'第48分钟，替补出场的特劳雷传球，克拉尼察外围劲射被德赫亚用腿救出
48'鲁尼中场拉人犯规                   48'第48分钟，替补出场的特劳雷传球，克拉尼察外围劲射被德赫亚用腿救出
49'鲁尼英超进球已经追平了亨利                   48'第48分钟，替补出场的特劳雷传球，克拉尼察外围劲射被德赫亚用腿救出
50'天使斜长传转移给右前场队友                   48'第48分钟，替补出场的特劳雷传球，克拉尼察外围劲射被德赫亚用腿救出
51'法尔考今天能出场吗？？                   48'第48分钟，替补出场的特劳雷传球，克拉尼察外围劲射被德赫亚用腿救出
58'法尔考开始热身                   58'第58分钟，迪马利亚左路斜传，无人防守的马塔小禁区前射入上角，4-0
58'马塔禁区内接球推射空门！！                   58'第58分钟，迪马利亚左路斜传，无人防守的马塔小禁区前射入上角，4-0
59'QPR换人                   58'第58分钟，迪马利亚左路斜传，无人防守的马塔小禁区前射入上角，4-0
60'奥斯丁被换下                   58'第58分钟，迪马利亚左路斜传，无人防守的马塔小禁区前射入上角，4-0
60'鲁尼大脚将球破坏出禁区                   58'第58分钟，迪马利亚左路斜传，无人防守的马塔小禁区前射入上角，4-0
61'QPR外围尝试一脚远射，直接被封堵                   58'第58分钟，迪马利亚左路斜传，无人防守的马塔小禁区前射入上角，4-0
61'QPR获得角球                   58'第58分钟，迪马利亚左路斜传，无人防守的马塔小禁区前射入上角，4-0
61'QPR争到第一点，但球顶高了                   58'第58分钟，迪马利亚左路斜传，无人防守的马塔小禁区前射入上角，4-0
64'鲁尼外围想旋一个远角，没有控制好，偏出了球门                   64'第64分钟，罗霍传球，鲁尼25码处射门偏出
65'天使外脚背挑传给范佩西，范佩西跳起射门，球被格林抱住                   64'第64分钟，罗霍传球，鲁尼25码处射门偏出
66'迪马利亚中场丢球                   64'第64分钟，罗霍传球，鲁尼25码处射门偏出
67'格拉尼察远射，没有形成威胁                   64'第64分钟，罗霍传球，鲁尼25码处射门偏出
67'马特被法尔考换下                   64'第64分钟，罗霍传球，鲁尼25码处射门偏出
67'瓦伦西亚换下拉斐尔                   64'第64分钟，罗霍传球，鲁尼25码处射门偏出
67'格拉尼察远射，没有形成威胁                   67'第67分钟，法尔考换下马塔首次代表曼联出场
67'马特被法尔考换下                   67'第67分钟，法尔考换下马塔首次代表曼联出场
67'瓦伦西亚换下拉斐尔                   67'第67分钟，法尔考换下马塔首次代表曼联出场
68'鲁尼稍微后撤，将前锋位置留给大将军和老虎                   67'第67分钟，法尔考换下马塔首次代表曼联出场
69'鲁尼禁区接球趟大了一点，球被费迪南德破坏                   67'第67分钟，法尔考换下马塔首次代表曼联出场
70'QPR右路传中，第一点被埃文斯顶出去                   67'第67分钟，法尔考换下马塔首次代表曼联出场
71'费迪南德禁区内不敢大意，起脚将球破坏                   71'第71分钟，范佩西禁区左侧传中，皮球打中横梁弹回
72'大将军接法尔考传球，转身打门，打高了                   71'第71分钟，范佩西禁区左侧传中，皮球打中横梁弹回
72'桑德罗受伤倒地                   71'第71分钟，范佩西禁区左侧传中，皮球打中横梁弹回
74'卡尔亨利换下桑德罗                   71'第71分钟，范佩西禁区左侧传中，皮球打中横梁弹回
74'法尔考现在顶在最前面                   71'第71分钟，范佩西禁区左侧传中，皮球打中横梁弹回
78'巴尔加斯禁区内面对门将，起脚打门，皮球擦着左侧立柱出了底线                   78'女王公园第78分钟险些破门，罗霍在马修-菲利普斯逼抢下回传失误，替补出场的瓦尔加斯禁区右肋10码处斜射偏出远角
80'虽然大比分领先，但曼联球员还是很努力的在拼                   78'女王公园第78分钟险些破门，罗霍在马修-菲利普斯逼抢下回传失误，替补出场的瓦尔加斯禁区右肋10码处斜射偏出远角
80'范佩西回撤的非常深                   78'女王公园第78分钟险些破门，罗霍在马修-菲利普斯逼抢下回传失误，替补出场的瓦尔加斯禁区右肋10码处斜射偏出远角
84'曼联放慢了进攻的节奏                   84'第84分钟，瓦伦西亚回传，布林德30码处远射被格林勉强扑出，法尔考小禁区边缘外补射又被格林用腿挡下后没收
85'布林得远射，格林脱手，法尔考跟进射门被门将挡出                   84'第84分钟，瓦伦西亚回传，布林德30码处远射被格林勉强扑出，法尔考小禁区边缘外补射又被格林用腿挡下后没收
86'现在双方都打的不温不火                   84'第84分钟，瓦伦西亚回传，布林德30码处远射被格林勉强扑出，法尔考小禁区边缘外补射又被格林用腿挡下后没收
