9'阿扎尔中路拿球，直塞禁区，科斯塔插上稍慢                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
9'球被法比安斯基倒地扑住                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
9'阿尤挑球找戈麦斯，扛住身体                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
9'到右路，戈麦斯回敲给出了边线                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
10'奥斯卡分球找威廉                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
10'威廉拿球回走，泰勒上抢推人了                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
10'伊万右路助攻，直接远射打高                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
11'阿兹皮利奎塔争顶扛倒了阿尤犯规                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
12'诺顿右路拿球回敲，转移中路                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
12'谢尔维拉到右路，下底传中被门将没收                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
12'马蒂奇拿球，找阿扎尔，直塞                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
23'切尔西进球了！！！                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
23'奥斯卡任意球旋向球门，两点包抄卡希尔和伊万谁都没碰到，直接进！                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
23'切尔西1-0领先斯旺西！                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
24'此时此刻值得来杯嘉士伯                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
24'阿扎尔禁区内背身拿球，没有转身机会                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
24'小法突破分右路，威廉接应                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
24'威廉强行起脚传中被挡出边线                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
