12'皮尔特斯将球碰出边线                   12'第12分钟，主场球迷为病榻上的斯托克城铁杆球迷诺尔斯送上掌声
12'上半场打了10分钟，两队都还没有什么机会                   12'第12分钟，主场球迷为病榻上的斯托克城铁杆球迷诺尔斯送上掌声
12'亨德森右路45度起球，力量大了                   12'第12分钟，主场球迷为病榻上的斯托克城铁杆球迷诺尔斯送上掌声
13'斯托克城前场拿球给到右路                   12'第12分钟，主场球迷为病榻上的斯托克城铁杆球迷诺尔斯送上掌声
13'格伦-约翰逊拿球没有机会将球回敲                   12'第12分钟，主场球迷为病榻上的斯托克城铁杆球迷诺尔斯送上掌声
14'利物浦拿球往禁区里传                   12'第12分钟，主场球迷为病榻上的斯托克城铁杆球迷诺尔斯送上掌声
14'本特克禁区内冲抢没有拿下来                   12'第12分钟，主场球迷为病榻上的斯托克城铁杆球迷诺尔斯送上掌声
15'斯托克城左路传球送禁区                   12'第12分钟，主场球迷为病榻上的斯托克城铁杆球迷诺尔斯送上掌声
15'利物浦这边抢到第一点                   12'第12分钟，主场球迷为病榻上的斯托克城铁杆球迷诺尔斯送上掌声
64' 乔-戈麦斯得到一张黄牌！                   64'斯托克城第64分钟险些破门，查理-亚当右路任意球传中，迪乌夫捅射被米尼奥莱神勇扑出
64'斯托克城前场右路的任意球机会                   64'斯托克城第64分钟险些破门，查理-亚当右路任意球传中，迪乌夫捅射被米尼奥莱神勇扑出
64'任意球送中路                   64'斯托克城第64分钟险些破门，查理-亚当右路任意球传中，迪乌夫捅射被米尼奥莱神勇扑出
64'迪乌夫跟进没有补到                   64'斯托克城第64分钟险些破门，查理-亚当右路任意球传中，迪乌夫捅射被米尼奥莱神勇扑出
64'这球也是非常的危险                   64'斯托克城第64分钟险些破门，查理-亚当右路任意球传中，迪乌夫捅射被米尼奥莱神勇扑出
65'斯托克城的角球机会                   64'斯托克城第64分钟险些破门，查理-亚当右路任意球传中，迪乌夫捅射被米尼奥莱神勇扑出
65'角球送后点，危险并不大                   64'斯托克城第64分钟险些破门，查理-亚当右路任意球传中，迪乌夫捅射被米尼奥莱神勇扑出
67'库蒂尼奥禁区前沿带的有些多                   64'斯托克城第64分钟险些破门，查理-亚当右路任意球传中，迪乌夫捅射被米尼奥莱神勇扑出
67'最后自己又反断下来                   64'斯托克城第64分钟险些破门，查理-亚当右路任意球传中，迪乌夫捅射被米尼奥莱神勇扑出
86'0-1！！！                   86'利物浦第86分钟打破僵局，戈麦斯内切传球，库迪尼奥30码处弧线球射入右上角
86'库蒂尼奥！！                   86'利物浦第86分钟打破僵局，戈麦斯内切传球，库迪尼奥30码处弧线球射入右上角
86'世界波~~！！                   86'利物浦第86分钟打破僵局，戈麦斯内切传球，库迪尼奥30码处弧线球射入右上角
87'库蒂尼奥前场背身接球后摆脱，带了几步后远射，巴特兰德奋力一扑，碰到了球，但还是进了！！                   86'利物浦第86分钟打破僵局，戈麦斯内切传球，库迪尼奥30码处弧线球射入右上角
87'库蒂尼奥这脚球打得很漂亮                   86'利物浦第86分钟打破僵局，戈麦斯内切传球，库迪尼奥30码处弧线球射入右上角
89'斯托克城也是抓紧时间反击                   86'利物浦第86分钟打破僵局，戈麦斯内切传球，库迪尼奥30码处弧线球射入右上角
89'留给他们的时间并不是很多                   86'利物浦第86分钟打破僵局，戈麦斯内切传球，库迪尼奥30码处弧线球射入右上角
89'奥登姆温吉左路带球突破被放倒                   86'利物浦第86分钟打破僵局，戈麦斯内切传球，库迪尼奥30码处弧线球射入右上角
89'裁判给了斯托克城任意球                   86'利物浦第86分钟打破僵局，戈麦斯内切传球，库迪尼奥30码处弧线球射入右上角
