41'林加德禁区前拿球回敲                   39'第39分钟，达米安右路斜传，但马塔小禁区边缘头球攻门偏出
42'斯托克城中场转移球                   39'第39分钟，达米安右路斜传，但马塔小禁区边缘头球攻门偏出
50'沃尔特斯右路传中被封堵                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
50'马夏尔直塞身后                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
50'鲁尼扛开约翰逊，射门                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
50'推人在先了                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
52'皮特斯左路插上，趟大了                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
52'杰克逊左路防守回去                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
53'马塔分左路                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
53'曼联再入一球！                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
53'鲁尼！！                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
53'马夏尔左路接应马塔分球进禁区，直接推后点，鲁尼轻松推射破门！                   50'第50分钟，马夏尔直传，鲁尼禁区左侧小角度射入近角，但裁判判罚他对格伦-约翰逊推人犯规在先，进球无效
