20'斯旺西前场进攻，再次赢得左侧角球机会！                   20'斯旺西第20分钟取得领先，阿尤禁区内的射门被洛夫伦挡出底线
20'西古德松角球开出到门前！！                   20'斯旺西第20分钟取得领先，阿尤禁区内的射门被洛夫伦挡出底线
21'1-0！！！                   20'斯旺西第20分钟取得领先，阿尤禁区内的射门被洛夫伦挡出底线
21'阿尤的进球！！                   20'斯旺西第20分钟取得领先，阿尤禁区内的射门被洛夫伦挡出底线
21'此时此刻值得来杯嘉士伯！！！！                   20'斯旺西第20分钟取得领先，阿尤禁区内的射门被洛夫伦挡出底线
22'西古德松角球开出到门前，阿尤中路甩开防守，头球顶进网窝！！                   20'斯旺西第20分钟取得领先，阿尤禁区内的射门被洛夫伦挡出底线
23'上半场21分钟，斯旺西先进球，主场领先利物浦！！                   20'斯旺西第20分钟取得领先，阿尤禁区内的射门被洛夫伦挡出底线
23'susan_xuecn 在电视上由直播吗（没有哦！！）                   20'斯旺西第20分钟取得领先，阿尤禁区内的射门被洛夫伦挡出底线
27'阿尤抢点打门，再被洛夫伦用身体挡出！！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
27'斯旺西前场再攻，右路的斜传球到禁区！！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
27'劳特里奇背身拿球，靠着史密斯转身起脚打门，被挡出底线！！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
28'史密斯在之前的防守中有个明显的拉扯，被主裁判出示了黄牌警告！！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
28'这也是本场比赛的第一张黄牌！！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
28'斯旺西右侧角球，西古德松开出到前点，阿玛特头球攻门，顶高！！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
29'斯图里奇前场拿球，强突被回防的兰吉尔将球破坏出底线！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
29'利物浦获得右侧角球机会，库蒂尼奥主罚！！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
30'角球开出到禁区，混战中球被斯旺西球员解围！！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
30'尽管比分落后，渣叔在场边还是一脸微笑，表情很轻松啊！！                   27'斯旺西第27分钟险些扩大比分，西古德森右路任意球传中，阿马特近距离头球攻门高出
33'克莱因不敢怠慢，将球解围出边线！！                   33'斯旺西第33分钟扩大比分，科克前场抢断后突破至20码处弧线球射门，皮球紧贴右侧立柱入网，2-0
33'利物浦中场又是失误，西古德松拿球反击                   33'斯旺西第33分钟扩大比分，科克前场抢断后突破至20码处弧线球射门，皮球紧贴右侧立柱入网，2-0
33'2-0！！！                   33'斯旺西第33分钟扩大比分，科克前场抢断后突破至20码处弧线球射门，皮球紧贴右侧立柱入网，2-0
34'科克的进球！！                   33'斯旺西第33分钟扩大比分，科克前场抢断后突破至20码处弧线球射门，皮球紧贴右侧立柱入网，2-0
35'西古德松中场拿球，分球给科克，科克强突到禁区弧顶，面对斯科特尔的上抢，横拨一下，右脚搓出一记弧线球，越过沃德 ，直接钻进网窝！！                   33'斯旺西第33分钟扩大比分，科克前场抢断后突破至20码处弧线球射门，皮球紧贴右侧立柱入网，2-0
35'此时此刻值得来杯嘉士伯！！！！                   33'斯旺西第33分钟扩大比分，科克前场抢断后突破至20码处弧线球射门，皮球紧贴右侧立柱入网，2-0
36'客场作战的利物浦半场没结束，已经2球落后斯旺西啦！！                   33'斯旺西第33分钟扩大比分，科克前场抢断后突破至20码处弧线球射门，皮球紧贴右侧立柱入网，2-0
36'而且从场面上来看，利物浦并不占优！！                   33'斯旺西第33分钟扩大比分，科克前场抢断后突破至20码处弧线球射门，皮球紧贴右侧立柱入网，2-0
65'利物浦的进攻，赢得角球！！                   65'利物浦第65分钟扳回一城，奥乔开出角球，本特克小禁区边缘头球破门，1-2
