5'切尔西后场的过顶长传找特劳雷，力量太大，被瓦西莱夫斯基控制！                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
5'蓝军队长特里因为红牌停赛，本场无缘亮相！！                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
5'场边的蓝军球迷，也是为队长打出横幅，希望球队与其续约！！                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
6'威廉右路拿球，挑传禁区找阿扎尔！！                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
6'福克斯防守，明显手球哦！！                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
6'不过主裁判视线被挡，没看到，并未鸣哨！！                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
7'威廉右路拿球，内切后回传马蒂奇！！                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
7'马蒂奇斜传转移球到左侧给佩德罗！！                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
7'佩德罗拿球内切，一扣晃倒上抢的辛普森                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
8'佩德罗拔脚怒射，打远角，滑门而过，出了底线！！                   5'开场第5分钟，威廉右路传中打在禁区边缘内的富克斯手上，但裁判未予判罚
26'莱斯特前场抢断，马赫雷斯的抽射，打偏！！                   26'第26分钟，切尔西球迷为特里鼓掌，或高举标语表示支持
27'马蒂奇左路拿球，强突下底！！                   26'第26分钟，切尔西球迷为特里鼓掌，或高举标语表示支持
27'辛普森逼抢，马蒂奇回传阿扎尔！！                   26'第26分钟，切尔西球迷为特里鼓掌，或高举标语表示支持
27'阿扎尔的内切，起脚打门，被挡出！！                   26'第26分钟，切尔西球迷为特里鼓掌，或高举标语表示支持
28'现场球迷再次打出标语，26号，约翰-特里！！                   26'第26分钟，切尔西球迷为特里鼓掌，或高举标语表示支持
28'特里坐在看台，起身向球迷竖起了大拇指！！                   26'第26分钟，切尔西球迷为特里鼓掌，或高举标语表示支持
29'特劳雷前场的进攻，远射打偏！！                   26'第26分钟，切尔西球迷为特里鼓掌，或高举标语表示支持
29'瓦西莱夫斯基后场抢断，分球左侧给到福克斯                   26'第26分钟，切尔西球迷为特里鼓掌，或高举标语表示支持
44'马蒂奇再给右路上来的威廉，被摩根解围出边线！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
44'切尔西前场进攻，球进，可惜越位无效！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
45'阿扎尔左路拿球，边路传中到门前，舒梅切尔将球挡出！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
45'上半场比赛已经进入尾声！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
46'上半场比赛补时1分钟！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
46'马赫雷斯前场右路拿球，内切到禁区！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
46'面对切尔西三人围抢，再突，被回防的阿斯皮利奎塔将球破坏出底线！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
46'莱斯特的右侧角球机会！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
47'马赫雷斯角球开出到门前，直接被库尔图瓦拿到！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
46'下半场比赛开始，莱斯特开球！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
47'莱斯特下半场连换2人：20号冈崎慎司和15号施卢普 ，换下的10号安迪-金和22号格雷！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
47'冈崎慎司前场拿球，强突传中，被拉赫曼解围出底线！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
47'莱斯特获得右侧角球机会！1                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
47'角球开出到禁区，第一点被伊万头球解围！！                   44'第44分钟，阿扎尔回传，小法20码处的射门被扑出，巴巴-拉赫曼小禁区左上角吊射远角又被舒梅切尔神勇扑出，威廉右路传射门前，佩德罗的进球因越位在先被判无效
66'小法主罚，骗过舒梅切尔，推射打进！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
66'特里站在场边，起身为小法鼓掌叫好！！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
67'拉涅利起身站在场边，目不转睛观察着场上形势！！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
68'威廉右路拿球，内切被福克斯放铲拦截！！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
68'托默里上来再抢，福克斯解围，打在其身上出了边线！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
69'莱斯特左路进攻，福克斯的传中，被托默里挡出底线！！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
69'莱斯特获得左侧角球机会！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
69'角球开出到前点，瓦尔迪头球，滑门而过！！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
69'拉赫曼后点将球解围！！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
69'马赫雷斯右路拿球，强突下底，拉赫曼防守，球出底线！！                   66'切尔西第66分钟打破僵局，阿扎尔切入禁区左侧传中，亚布拉罕10码处转身射门被挡出，马蒂奇跟进在禁区边缘内被舒鲁普绊倒，小法主罚点球命中
81'现场切尔西球迷全部起身，为这位本赛季英超的MVP鼓掌较好！！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
81'托默里右路拿球，直塞找前插的威廉！！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
81'福克斯回防，卡位将球护送出边线！！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
81'1-1！！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
82'德林克沃特的远射！！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
82'此时此刻值得来杯嘉士伯！！！！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
83'冈崎慎司左路拿球，内切横传给中间的德林克沃特，无人防守，德林克沃特趟一步，起脚打门，球直接钻进了球门左下角！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
83'库尔图瓦尽管做出了扑救动作，但鞭长莫及啊！！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
84'施卢普中场抢断，回传给到摩根！！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
84'摩根再给辛普森，被断啦！！                   81'莱斯特城第81分钟扳平，富克斯传球，舒鲁普回传，德林沃特30码处弧线球射入左下角，1-1
