1'上半场比赛开始！                   1'南安普敦第1分钟率先进入比赛节奏
1'首先开球的是南安普敦                   1'南安普敦第1分钟率先进入比赛节奏
1'马内中场拿球选择了回敲                   1'南安普敦第1分钟率先进入比赛节奏
2'曼联中场断抢下来                   1'南安普敦第1分钟率先进入比赛节奏
2'转移给到了边路                   1'南安普敦第1分钟率先进入比赛节奏
2'马内中场铲球的时候犯规                   1'南安普敦第1分钟率先进入比赛节奏
2'曼联后场长传打到前场                   1'南安普敦第1分钟率先进入比赛节奏
3'边路被南安普敦先破坏了                   1'南安普敦第1分钟率先进入比赛节奏
3'德佩中场拿球被断抢                   1'南安普敦第1分钟率先进入比赛节奏
3'裁判这边先吹了犯规                   1'南安普敦第1分钟率先进入比赛节奏
3'曼联将球转移到了右路                   1'南安普敦第1分钟率先进入比赛节奏
4'南安普敦这边的防守已经站好了位置                   1'南安普敦第1分钟率先进入比赛节奏
4'鲁尼这边前场险些断球下来                   1'南安普敦第1分钟率先进入比赛节奏
13'南安普敦！！1-0！！                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
13'佩莱！！                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
13'此时此刻值得来杯嘉士伯                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
14'南安普敦右路半高球到禁区内，马内推射被德赫亚扑出，第二点，佩莱无人看防的情况下推射破门！                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
14'这球曼联的后防失位比较严重                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
15'看看曼联接下来怎么调整                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
15'曼联的今天的后防也是让人很不放心                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
15'罗霍左路拿球给到前场                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
16'这球给的也不好                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
16'南安普敦打门击中立柱！！                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
16'又是佩莱啊                   13'南安普敦第13分钟取得领先，沃德-普劳斯右路传中，无人防守的马内小禁区前捅射被德赫亚神勇救出，但跟进的佩莱10码处补射入网
16'这球给的也不好                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
16'南安普敦打门击中立柱！！                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
16'又是佩莱啊                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
17'南安普敦前场的逼抢造成了曼联的失误                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
17'佩莱停球转身后摆脱，低射近角被立柱挡出                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
17'这球是非常的危险                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
17'曼联的后防啊                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
17'德佩左路拿球给到禁区内                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
18'马夏尔禁区弧顶远射将球打高了                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
18'这球马夏尔没有压住啊                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
18'马夏尔的这脚打门是曼联全场的第一脚打门                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
18'而南安普敦这边已经有四次打门了                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
19'曼联前场拿球给到左路                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
19'罗霍这边跟进后起球                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
19'这球前点被后卫挡出边线                   16'南安普敦第16分钟险些扩大比分，斯马林后场解围被拦截，罗梅乌传球，佩莱禁区边缘内晃开布林德后捅射击中右侧立柱外侧弹出
