1'上半场比赛开始！！                   1'曼联第1分钟展开积极攻势
1'伊布禁区外围远射                   1'曼联第1分钟展开积极攻势
1'这球打得太正                   1'曼联第1分钟展开积极攻势
2'伯恩利首发：门将：1号希顿；后卫：2号洛顿、5号迈克尔-基恩、6号本-米、23号沃德；中场：7号格雷、13号亨德里克、8号马尔尼、25号古德蒙德森、37号阿尔弗雷德；前锋：9号沃克斯                   1'曼联第1分钟展开积极攻势
3'曼联后场控球                   1'曼联第1分钟展开积极攻势
3'长传转移给到了边路                   1'曼联第1分钟展开积极攻势
3'林加德右路起球送禁区                   1'曼联第1分钟展开积极攻势
3'这球给的落点有些高                   1'曼联第1分钟展开积极攻势
3'曼联左侧重新拿球                   1'曼联第1分钟展开积极攻势
3'博格巴禁区外围远射将球打高                   1'曼联第1分钟展开积极攻势
3'曼联开场后攻势还是很猛的                   1'曼联第1分钟展开积极攻势
16'曼联这边先出一脚将球破坏                   16'曼联第16分钟险些破门，马塔送出直传，伊布10码处单刀顺势推射被希顿及时出击扑出
17'曼联这边有机会                   16'曼联第16分钟险些破门，马塔送出直传，伊布10码处单刀顺势推射被希顿及时出击扑出
17'伊布！！                   16'曼联第16分钟险些破门，马塔送出直传，伊布10码处单刀顺势推射被希顿及时出击扑出
17'面对出击的门将推射被挡了出去！！                   16'曼联第16分钟险些破门，马塔送出直传，伊布10码处单刀顺势推射被希顿及时出击扑出
18'伊布也是好久没有进球了                   16'曼联第16分钟险些破门，马塔送出直传，伊布10码处单刀顺势推射被希顿及时出击扑出
18'现在为止伊布已经有三脚打门了                   16'曼联第16分钟险些破门，马塔送出直传，伊布10码处单刀顺势推射被希顿及时出击扑出
41'第一落点还是被后卫顶出                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
41'禁区外围，埃雷拉远射又是被后卫挡出                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
41'曼联将球转移到左路                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
41'博格巴脚后跟做球给到中路                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
41'伊布推射被后卫头球顶出底线                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
41'这球非常的危险                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
41'曼联右路再来                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
42'斜传球给到禁区中路                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
42'林加德头球攻门又被希顿托出底线！！                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
42'曼联这边继续角球的机会                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
42'角球给到中路                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
42'头球点下来，二点位置并不好                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
43'伯恩利这边换人调整！！                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
44'沃德下，弗拉纳甘上！                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
44'沃德也是因伤下场                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
44'没有办法在坚持了                   41'曼联第41分钟再失进球机会，伊布前传，博格巴禁区左肋脚后跟回敲，但伊布10码处推射仍被希顿没收
61'曼联现在机会很多                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
61'但是进球很难                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
61'达米安右路人球分过被碰了一下                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
61'曼联的角球机会                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
61'战术角球开出                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
61'曼联右路起球送后点                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
62'伊布后点无人看防直接侧身打钩打！！                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
62'直接被希顿用单臂挡出！！                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
62'希顿这次扑救后也是受伤                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
64'经过队医的治疗，问题不太大                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
64'伊布左路拿球给到博格巴                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
64'曼联横向转移                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
64'禁区的抽射被后卫挡出                   61'第61分钟，格维兹门松解围失误，埃雷拉禁区右侧传中，伊布小禁区边缘的腾空扫射又被希顿封出
68'马塔转身的打门击中了立柱！！！                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
68'球出来后到了边路                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
68'弗拉纳甘防守犯规                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
68'弗拉纳甘得到一张黄牌！                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
68'曼联任意球送禁区后点                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
69'伊布高高跃起头球攻门碰到后卫的身上，球折射后击中了横梁！！                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
69'埃雷拉中路失去重心后滑倒后放倒了对方！！                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
70'埃雷拉再次得到一张黄牌！！！                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
70'这样埃雷拉两黄变一红被罚下！！！                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
70'曼联现在是单后腰                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
70'还是需要做一些微调的                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
70'伯恩利现在是11打10                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
70'也是有一些喘息的机会                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
